node_i,node_j,p_value
AMCINInScen,AMDewptCalPl,0.414343598387942
AMCINInScen,AMInsWliScen,0.8274530515563499
AMCINInScen,CapInScen,6.857028911776554e-63
AMCINInScen,CurPropConv,0.8230868974266541
AMCINInScen,Dewpoints,0.7795294223385727
AMCINInScen,InsSclInScen,0.8889083545523534
AMCINInScen,LIfr12ZDENSd,0.4654222693159139
AMCINInScen,LLIW,0.2566685035523693
AMCINInScen,LatestCIN,0.8918665744588743
AMCINInScen,LowLLapse,0.46723857116812884
AMCINInScen,MeanRH,0.7499086189893797
AMCINInScen,MidLLapse,0.605905812534818
AMCINInScen,MvmtFeatures,0.07838719210001648
AMCINInScen,N34StarFcst,0.9113968978225164
AMCINInScen,PlainsFcst,0.78646201744057
AMCINInScen,R5Fcst,0.8361982606475141
AMCINInScen,RHRatio,0.36624440522019375
AMCINInScen,ScenRel3_4,0.999999999999998
AMCINInScen,ScenRelAMIns,0.14900557500552714
AMCINInScen,ScnRelPlFcst,1.0
AMCINInScen,SfcWndShfDis,0.9999992938864991
AMCINInScen,SynForcng,0.30852227918561453
AMCINInScen,TempDis,0.9988418016117575
AMCINInScen,WindAloft,0.8072563156146014
AMCINInScen,WindFieldMt,0.6446334584931724
AMCINInScen,WindFieldPln,0.17272873859355287
AMDewptCalPl,AMInsWliScen,2.839831129390786e-26
AMDewptCalPl,CurPropConv,0.8506585769245092
AMDewptCalPl,Dewpoints,0.8304352145457452
AMDewptCalPl,InsSclInScen,0.5821104801530559
AMDewptCalPl,LLIW,0.34032277563849306
AMDewptCalPl,LatestCIN,0.24475331850995208
AMDewptCalPl,LowLLapse,0.8013453002402855
AMDewptCalPl,MeanRH,0.8186199983529889
AMDewptCalPl,MidLLapse,0.675896910712933
AMDewptCalPl,MvmtFeatures,0.08062303397544617
AMDewptCalPl,N34StarFcst,0.24659139242969283
AMDewptCalPl,PlainsFcst,0.2286282306246251
AMDewptCalPl,R5Fcst,0.9098784001506542
AMDewptCalPl,RHRatio,0.1205233838256077
AMDewptCalPl,ScenRel3_4,0.1687820942647462
AMDewptCalPl,ScnRelPlFcst,0.11545004032041377
AMDewptCalPl,SfcWndShfDis,0.2890190978868503
AMDewptCalPl,SynForcng,0.880730785988599
AMDewptCalPl,TempDis,0.7993402455872304
AMDewptCalPl,WindAloft,0.2375148962253362
AMDewptCalPl,WindFieldMt,0.0654320988887362
AMDewptCalPl,WindFieldPln,0.8833331570427577
AMInsWliScen,CurPropConv,0.9579154296762664
AMInsWliScen,Dewpoints,0.2128902673957176
AMInsWliScen,InsSclInScen,2.694930886378511e-32
AMInsWliScen,LLIW,0.5192694875432307
AMInsWliScen,LatestCIN,0.2546578541259463
AMInsWliScen,LowLLapse,0.43537049230296043
AMInsWliScen,MeanRH,0.8560834072561649
AMInsWliScen,MidLLapse,0.5425813751433453
AMInsWliScen,MvmtFeatures,0.37249707178370584
AMInsWliScen,N34StarFcst,0.5246047995193128
AMInsWliScen,PlainsFcst,0.24072992169261256
AMInsWliScen,R5Fcst,0.12138633181612837
AMInsWliScen,RHRatio,0.9565817958650685
AMInsWliScen,ScenRel3_4,0.11675056082784827
AMInsWliScen,ScnRelPlFcst,1.0
AMInsWliScen,SfcWndShfDis,0.2022459103368915
AMInsWliScen,SynForcng,0.2541767582812568
AMInsWliScen,TempDis,0.1736389807608671
AMInsWliScen,WindAloft,0.2498691825163566
AMInsWliScen,WindFieldMt,0.5574316612924504
AMInsWliScen,WindFieldPln,0.35117538667424764
