node_i,node_j,p_value
AMCINInScen,AMDewptCalPl,0.977107550910512
AMCINInScen,AMInsWliScen,0.3987497340234731
AMCINInScen,CapInScen,2.2042539582869827e-29
AMCINInScen,CurPropConv,0.49227409321124094
AMCINInScen,Dewpoints,0.7435634406877978
AMCINInScen,InsSclInScen,0.23585576460008376
AMCINInScen,LIfr12ZDENSd,0.18976693842352116
AMCINInScen,LLIW,0.5832084682900998
AMCINInScen,LatestCIN,0.5340178535582639
AMCINInScen,LowLLapse,0.34950220311544866
AMCINInScen,MeanRH,0.9680569287733863
AMCINInScen,MidLLapse,0.9353900060336224
AMCINInScen,MvmtFeatures,0.7769179380833408
AMCINInScen,N34StarFcst,0.3053533884173258
AMCINInScen,PlainsFcst,0.26365765561265236
AMCINInScen,R5Fcst,0.709339590695233
AMCINInScen,RHRatio,0.967616704179252
AMCINInScen,ScenRel3_4,0.14101892011329667
AMCINInScen,ScenRelAMIns,0.3476768337597737
AMCINInScen,ScnRelPlFcst,0.33701589406899685
AMCINInScen,SfcWndShfDis,0.15458850695018395
AMCINInScen,SynForcng,0.9576670446744641
AMCINInScen,TempDis,0.35051077759409477
AMCINInScen,WindAloft,0.46807286311863605
AMCINInScen,WindFieldMt,0.44892040318833626
AMCINInScen,WindFieldPln,0.3474810224439117
AMDewptCalPl,AMInsWliScen,0.00508069549581782
AMDewptCalPl,CurPropConv,0.7097684472444732
AMDewptCalPl,Dewpoints,0.8133203743824441
AMDewptCalPl,InsSclInScen,0.613769531114841
AMDewptCalPl,LLIW,0.7599776127772857
AMDewptCalPl,LatestCIN,0.9410604996793477
AMDewptCalPl,LowLLapse,0.38602611975354717
AMDewptCalPl,MeanRH,0.6193269329928917
AMDewptCalPl,MidLLapse,0.7656496678574907
AMDewptCalPl,MvmtFeatures,0.3157088000811149
AMDewptCalPl,N34StarFcst,0.7293029103063835
AMDewptCalPl,PlainsFcst,0.9970798604909524
AMDewptCalPl,R5Fcst,0.06691507715478144
AMDewptCalPl,RHRatio,0.9652608408932148
AMDewptCalPl,ScenRel3_4,0.9800663865909466
AMDewptCalPl,ScnRelPlFcst,0.707634197550112
AMDewptCalPl,SfcWndShfDis,0.25666393876932675
AMDewptCalPl,SynForcng,0.843411595267894
AMDewptCalPl,TempDis,0.2964188036335639
AMDewptCalPl,WindAloft,0.555854314039917
AMDewptCalPl,WindFieldMt,0.3742583503110652
AMDewptCalPl,WindFieldPln,0.1934028217445262
AMInsWliScen,CurPropConv,0.3680001838695023
AMInsWliScen,Dewpoints,0.7373242869289796
AMInsWliScen,InsSclInScen,4.947492347714876e-24
AMInsWliScen,LLIW,0.05246938334834124
AMInsWliScen,LatestCIN,0.587269964721572
AMInsWliScen,LowLLapse,0.656663541741487
AMInsWliScen,MeanRH,0.10717350757163839
AMInsWliScen,MidLLapse,0.9994946312606942
AMInsWliScen,MvmtFeatures,0.5588496113249024
AMInsWliScen,N34StarFcst,0.7791621893652447
AMInsWliScen,PlainsFcst,0.5284887296505925
AMInsWliScen,R5Fcst,0.7596528291214361
AMInsWliScen,RHRatio,0.5491579797304622
AMInsWliScen,ScenRel3_4,0.11755274409445811
AMInsWliScen,ScnRelPlFcst,0.05211742335225803
AMInsWliScen,SfcWndShfDis,0.2084402542724231
AMInsWliScen,SynForcng,0.5161104693331938
AMInsWliScen,TempDis,0.10325314351857912
AMInsWliScen,WindAloft,0.11315053280986884
AMInsWliScen,WindFieldMt,0.9487421889114536
AMInsWliScen,WindFieldPln,0.05134019656030806
AMInstabMt,AMCINInScen,0.8484730053187914
AMInstabMt,AMDewptCalPl,0.7085573116051254
AMInstabMt,AMInsWliScen,0.30023242627935903
AMInstabMt,Boundaries,0.3232146417578988
AMInstabMt,CapChange,0.5130307402686853
AMInstabMt,CapInScen,0.2514021615907097
AMInstabMt,CldShadeConv,0.5182489052219057
AMInstabMt,CompPlFcst,0.5130307402686853
AMInstabMt,CurPropConv,0.2437582826123957
AMInstabMt,Date,0.8212226040931858
AMInstabMt,Dewpoints,0.33869713315622363
AMInstabMt,InsChange,0.5021049046727122
AMInstabMt,InsInMt,2.9267460236534915e-06
AMInstabMt,InsSclInScen,0.5688656838757274
AMInstabMt,LIfr12ZDENSd,0.9865810363446282
AMInstabMt,LLIW,0.18538532086709256
AMInstabMt,LatestCIN,0.36619253156505877
AMInstabMt,LoLevMoistAd,0.6273260629140478
AMInstabMt,LowLLapse,0.5197038375880731
AMInstabMt,MeanRH,0.13099974495580685
AMInstabMt,MidLLapse,0.4363852111424128
AMInstabMt,MorningBound,0.3914984935786333
AMInstabMt,MorningCIN,0.39330438466176565
AMInstabMt,MountainFcst,0.9034935170810371
AMInstabMt,MvmtFeatures,0.28860814941344703
AMInstabMt,N34StarFcst,0.40730012713615826
AMInstabMt,OutflowFrMt,0.06398441600567017
AMInstabMt,PlainsFcst,0.618882790356821
AMInstabMt,R5Fcst,0.06675329842335047
AMInstabMt,RHRatio,0.25907733278837053
AMInstabMt,ScenRel3_4,0.8043627217754754
AMInstabMt,ScenRelAMCIN,0.979376396809138
AMInstabMt,ScenRelAMIns,0.3594077963498424
AMInstabMt,Scenario,0.34006045483859454
AMInstabMt,ScnRelPlFcst,0.34006045483859454
AMInstabMt,SfcWndShfDis,0.3732762099037013
AMInstabMt,SynForcng,0.10362440937950472
AMInstabMt,TempDis,0.04690816488394995
AMInstabMt,WindAloft,0.3843200782191433
AMInstabMt,WindFieldMt,0.6694290433907075
AMInstabMt,WindFieldPln,0.9461809860488012
AMInstabMt,WndHodograph,0.5300443685591902
AreaMeso_ALS,AMCINInScen,0.3052295383094442
AreaMeso_ALS,AMDewptCalPl,0.3149379010668975
AreaMeso_ALS,AMInsWliScen,0.409405684837202
AreaMeso_ALS,AMInstabMt,0.7579506732283087
AreaMeso_ALS,AreaMoDryAir,0.999724303552196
AreaMeso_ALS,Boundaries,0.12118173864825317
AreaMeso_ALS,CapChange,0.5393231838127073
AreaMeso_ALS,CapInScen,0.18218061461039328
AreaMeso_ALS,CldShadeConv,0.1928234869581777
AreaMeso_ALS,CldShadeOth,0.9979714677058905
AreaMeso_ALS,CombClouds,0.4513587916702042
AreaMeso_ALS,CombMoisture,0.7439520172814647
AreaMeso_ALS,CompPlFcst,0.5393231838127073
AreaMeso_ALS,CurPropConv,0.9984334479242507
AreaMeso_ALS,Date,0.5831037179487382
AreaMeso_ALS,Dewpoints,0.2040944301564747
AreaMeso_ALS,IRCloudCover,0.4532711490613811
AreaMeso_ALS,InsChange,0.11925966975523918
AreaMeso_ALS,InsInMt,0.8985556328630916
AreaMeso_ALS,InsSclInScen,0.7548318626847238
AreaMeso_ALS,LIfr12ZDENSd,0.8978440699835084
AreaMeso_ALS,LLIW,0.2067529355974919
AreaMeso_ALS,LatestCIN,0.3196952126081814
AreaMeso_ALS,LoLevMoistAd,0.9730686218856427
AreaMeso_ALS,LowLLapse,0.8993316769691095
AreaMeso_ALS,MeanRH,0.3064416676669165
AreaMeso_ALS,MidLLapse,0.7822980621841982
AreaMeso_ALS,MorningBound,0.826185254552564
AreaMeso_ALS,MorningCIN,0.4716301247651241
AreaMeso_ALS,MountainFcst,0.5881025834484639
AreaMeso_ALS,MvmtFeatures,0.6235308204292089
AreaMeso_ALS,N34StarFcst,0.16728579668085997
AreaMeso_ALS,OutflowFrMt,0.38583937010268704
AreaMeso_ALS,PlainsFcst,0.18030863026724653
AreaMeso_ALS,R5Fcst,0.8951280142029858
AreaMeso_ALS,RHRatio,0.17642543468422722
AreaMeso_ALS,RaoContMoist,0.5844854130183026
AreaMeso_ALS,SatContMoist,0.5783331220061162
AreaMeso_ALS,ScenRel3_4,0.17525163315660428
AreaMeso_ALS,ScenRelAMCIN,0.12997720451816927
AreaMeso_ALS,ScenRelAMIns,0.40906336537961113
AreaMeso_ALS,Scenario,0.5669468008087899
AreaMeso_ALS,ScnRelPlFcst,0.5669468008087899
AreaMeso_ALS,SfcWndShfDis,0.39892254749840383
AreaMeso_ALS,SynForcng,0.9785855831417929
AreaMeso_ALS,TempDis,0.7285792441686696
AreaMeso_ALS,VISCloudCov,0.41541275952568074
AreaMeso_ALS,WindAloft,0.9052247566530987
AreaMeso_ALS,WindFieldMt,0.44295400784554706
AreaMeso_ALS,WindFieldPln,0.14257962636627816
AreaMeso_ALS,WndHodograph,0.9855572723117149
AreaMoDryAir,AMCINInScen,0.48112979166600744
AreaMoDryAir,AMDewptCalPl,0.734954088592161
AreaMoDryAir,AMInsWliScen,0.11349270173893558
AreaMoDryAir,AMInstabMt,0.9696936136844492
AreaMoDryAir,Boundaries,0.8351371201693556
AreaMoDryAir,CapChange,0.39280062288842904
AreaMoDryAir,CapInScen,0.956845734676006
AreaMoDryAir,CldShadeConv,0.4527991180686437
AreaMoDryAir,CldShadeOth,0.10736394169540513
AreaMoDryAir,CombClouds,0.6502764394176861
AreaMoDryAir,CompPlFcst,0.39280062288842904
AreaMoDryAir,CurPropConv,0.8192828228729037
AreaMoDryAir,Date,0.5618349795262229
AreaMoDryAir,Dewpoints,0.5679152357960822
AreaMoDryAir,IRCloudCover,0.11180465891497508
AreaMoDryAir,InsChange,0.2807229652000084
AreaMoDryAir,InsInMt,0.4659667646102231
AreaMoDryAir,InsSclInScen,0.23797596655799388
AreaMoDryAir,LIfr12ZDENSd,0.9205571156731824
AreaMoDryAir,LLIW,0.9007267666746988
AreaMoDryAir,LatestCIN,0.8937060005644833
AreaMoDryAir,LoLevMoistAd,0.29731389650634005
AreaMoDryAir,LowLLapse,0.7928949555896233
AreaMoDryAir,MeanRH,0.32896315197566617
AreaMoDryAir,MidLLapse,0.8475179633624467
AreaMoDryAir,MorningBound,0.597797729562721
AreaMoDryAir,MorningCIN,0.8040974168356597
AreaMoDryAir,MountainFcst,0.30975259313606146
AreaMoDryAir,MvmtFeatures,0.813539676431439
AreaMoDryAir,N34StarFcst,0.966295468028015
AreaMoDryAir,OutflowFrMt,0.1192344443090985
AreaMoDryAir,PlainsFcst,0.8298549235016143
AreaMoDryAir,R5Fcst,0.33789576858268383
AreaMoDryAir,RHRatio,0.5950914067189255
AreaMoDryAir,ScenRel3_4,0.4723258663643578
AreaMoDryAir,ScenRelAMCIN,0.6120578379284227
AreaMoDryAir,ScenRelAMIns,0.8421011245814283
AreaMoDryAir,Scenario,0.9141431677810747
AreaMoDryAir,ScnRelPlFcst,0.9141431677810747
AreaMoDryAir,SfcWndShfDis,0.3512625629752709
AreaMoDryAir,SynForcng,0.40191775003281877
AreaMoDryAir,TempDis,0.9987434678953069
AreaMoDryAir,VISCloudCov,0.5211359475428723
AreaMoDryAir,WindAloft,0.9325917150447511
AreaMoDryAir,WindFieldMt,0.7149467040911683
AreaMoDryAir,WindFieldPln,0.8231252620634287
AreaMoDryAir,WndHodograph,0.08675076751111488
Boundaries,AMCINInScen,0.5723204268816735
Boundaries,AMDewptCalPl,0.1934395147108679
Boundaries,AMInsWliScen,0.2728980357001937
Boundaries,CapChange,0.3305946870787753
Boundaries,CapInScen,0.6636132832750363
Boundaries,CldShadeConv,0.2075809556834884
Boundaries,CompPlFcst,0.3305946870787753
Boundaries,CurPropConv,0.7627179887220867
Boundaries,Date,0.5067689081496637
Boundaries,Dewpoints,0.6600927461070223
Boundaries,InsChange,0.23634364033391703
Boundaries,InsSclInScen,0.2873208881867095
Boundaries,LIfr12ZDENSd,0.14776877889587364
Boundaries,LLIW,0.8451681264688988
Boundaries,LatestCIN,0.8989497661111844
Boundaries,LoLevMoistAd,0.40316084286942033
Boundaries,LowLLapse,0.6703734637902097
Boundaries,MeanRH,0.8527623184784036
Boundaries,MidLLapse,0.1740197915769262
Boundaries,MorningCIN,0.74433370331772
Boundaries,MountainFcst,0.12698866015040228
Boundaries,MvmtFeatures,0.5087828382826853
Boundaries,N34StarFcst,0.6267239915287326
Boundaries,PlainsFcst,0.4429205756492044
Boundaries,R5Fcst,0.07775743847805909
Boundaries,RHRatio,0.5945646880590183
Boundaries,ScenRel3_4,0.7345474424165694
Boundaries,ScenRelAMCIN,0.3879692315940012
Boundaries,ScenRelAMIns,0.6404885941063259
Boundaries,Scenario,0.8056007139895571
Boundaries,ScnRelPlFcst,0.8056007139895571
Boundaries,SfcWndShfDis,0.9570764585600922
Boundaries,SynForcng,0.561065141759397
Boundaries,TempDis,0.6190916217915908
Boundaries,WindAloft,0.4017933165649722
Boundaries,WindFieldMt,0.39115388862490574
