node_i,node_j,p_value
AMCINInScen,AMDewptCalPl,0.1124574939054777
AMCINInScen,AMInsWliScen,0.6838445980655563
AMCINInScen,CapInScen,1.194253404575918e-44
AMCINInScen,CurPropConv,0.574506890854348
AMCINInScen,Dewpoints,0.44561075882749257
AMCINInScen,InsSclInScen,0.6892196174479044
AMCINInScen,LIfr12ZDENSd,0.3932309826023192
AMCINInScen,LLIW,0.8999229009320957
AMCINInScen,LatestCIN,0.250802616439224
AMCINInScen,LowLLapse,0.7921108117047013
AMCINInScen,MeanRH,0.289400449248918
AMCINInScen,MidLLapse,0.5893381204154375
AMCINInScen,MvmtFeatures,0.5858722490947126
AMCINInScen,N34StarFcst,0.16073032134455836
AMCINInScen,PlainsFcst,0.15528442122893002
AMCINInScen,R5Fcst,0.19001887690582336
AMCINInScen,RHRatio,0.11999113498978312
AMCINInScen,ScenRel3_4,0.8210484339657961
AMCINInScen,ScenRelAMIns,0.9512346339818897
AMCINInScen,ScnRelPlFcst,0.9999998787524379
AMCINInScen,SfcWndShfDis,0.9672261259170857
AMCINInScen,SynForcng,0.21192930434134546
AMCINInScen,TempDis,0.6314284647535141
AMCINInScen,WindAloft,0.18746439019244787
AMCINInScen,WindFieldMt,0.9744268704863496
AMCINInScen,WindFieldPln,0.11324074495801664
AMDewptCalPl,AMInsWliScen,2.1601575890853894e-20
AMDewptCalPl,CurPropConv,0.07581652196646478
AMDewptCalPl,Dewpoints,0.43404115087837836
AMDewptCalPl,InsSclInScen,0.4511723373547506
AMDewptCalPl,LLIW,0.4358102866983916
AMDewptCalPl,LatestCIN,0.8593262250905598
AMDewptCalPl,LowLLapse,0.5822126006099668
AMDewptCalPl,MeanRH,0.3003998037839824
AMDewptCalPl,MidLLapse,0.3109293328090375
AMDewptCalPl,MvmtFeatures,0.062388556272519234
AMDewptCalPl,N34StarFcst,0.11788953085065457
AMDewptCalPl,PlainsFcst,0.2545599068095835
AMDewptCalPl,R5Fcst,0.17482346076071004
AMDewptCalPl,RHRatio,0.05494225658831393
AMDewptCalPl,ScenRel3_4,0.6108815379194972
AMDewptCalPl,ScnRelPlFcst,0.4924703799717326
AMDewptCalPl,SfcWndShfDis,0.6707526627940749
AMDewptCalPl,SynForcng,0.07590603667563113
AMDewptCalPl,TempDis,0.5110730355442771
AMDewptCalPl,WindAloft,0.2106244484536388
AMDewptCalPl,WindFieldMt,0.46506281780368186
AMDewptCalPl,WindFieldPln,0.291635942858206
AMInsWliScen,CurPropConv,0.6330861839699693
AMInsWliScen,Dewpoints,0.07912020629417625
AMInsWliScen,InsSclInScen,2.846104767891185e-28
AMInsWliScen,LLIW,0.971496399274536
AMInsWliScen,LatestCIN,0.5538757514815082
AMInsWliScen,LowLLapse,0.2124247147330654
AMInsWliScen,MeanRH,0.35237189917773687
