node_i,node_j,condition,p_value
N0_7muVerMo,SubjVertMo,,0.7060410360036096
N0_7muVerMo,QGVertMotion,,0.8131889553888191
N0_7muVerMo,CombVerMo,,6.847917674041423e-33
N0_7muVerMo,AreaMeso_ALS,,6.847917674041423e-33
N0_7muVerMo,SatContMoist,,0.9353291640542023
N0_7muVerMo,RaoContMoist,,0.624077289333848
N0_7muVerMo,CombMoisture,,0.38871010433983566
N0_7muVerMo,AreaMoDryAir,,0.012649180398650768
N0_7muVerMo,VISCloudCov,,0.3753484581249676
N0_7muVerMo,IRCloudCover,,0.3126296766813803
N0_7muVerMo,CombClouds,,0.5505030024294006
N0_7muVerMo,CldShadeOth,,0.05284875186042355
N0_7muVerMo,AMInstabMt,,0.820301153930184
N0_7muVerMo,InsInMt,,0.860055493337534
N0_7muVerMo,WndHodograph,,0.9923018673462365
N0_7muVerMo,OutflowFrMt,,0.6211613390770294
N0_7muVerMo,MorningBound,,0.9249114388586617
N0_7muVerMo,Boundaries,,0.23624460666429942
N0_7muVerMo,CldShadeConv,,0.9425154729219494
N0_7muVerMo,CompPlFcst,,0.09043509340415248
N0_7muVerMo,CapChange,,0.09043509340415248
N0_7muVerMo,LoLevMoistAd,,0.6226102615710472
N0_7muVerMo,InsChange,,0.8271031376317467
N0_7muVerMo,MountainFcst,,0.14001780640293596
N0_7muVerMo,Date,,0.6966515565713227
N0_7muVerMo,Scenario,,0.3394863191334643
N0_7muVerMo,ScenRelAMCIN,,0.4051363054964511
N0_7muVerMo,MorningCIN,,0.9566461350030081
N0_7muVerMo,AMCINInScen,,0.32143058707945915
N0_7muVerMo,CapInScen,,0.591326985560511
N0_7muVerMo,ScenRelAMIns,,0.8582825247789481
N0_7muVerMo,LIfr12ZDENSd,,0.8934075960694862
N0_7muVerMo,AMDewptCalPl,,0.2654205570251247
N0_7muVerMo,AMInsWliScen,,0.9856939128077686
N0_7muVerMo,InsSclInScen,,0.6902279727130625
N0_7muVerMo,ScenRel3_4,,0.10504073141612615
N0_7muVerMo,LatestCIN,,0.4719426222016837
N0_7muVerMo,LLIW,,0.8748998415007324
N0_7muVerMo,CurPropConv,,0.7817230303763515
N0_7muVerMo,ScnRelPlFcst,,0.3394863191334643
N0_7muVerMo,PlainsFcst,,0.9514447182826771
N0_7muVerMo,N34StarFcst,,0.9637702123987316
N0_7muVerMo,R5Fcst,,0.38197065038813877
N0_7muVerMo,Dewpoints,,0.52585897911432
N0_7muVerMo,LowLLapse,,0.8682161530216406
N0_7muVerMo,MeanRH,,0.8059734916678547
N0_7muVerMo,MidLLapse,,0.46761586875445227
N0_7muVerMo,MvmtFeatures,,0.19412498914728624
N0_7muVerMo,RHRatio,,0.9884351831342051
N0_7muVerMo,SfcWndShfDis,,0.04294220099227485
N0_7muVerMo,SynForcng,,0.03792887561923687
N0_7muVerMo,TempDis,,0.6372623369291774
N0_7muVerMo,WindAloft,,0.5589805708642378
N0_7muVerMo,WindFieldMt,,0.6794031359386221
N0_7muVerMo,WindFieldPln,,0.2547698210817898
SubjVertMo,QGVertMotion,,0.7042064509744077
SubjVertMo,CombVerMo,,1.1075990398281424e-21
SubjVertMo,AreaMeso_ALS,,1.1075990398281424e-21
SubjVertMo,SatContMoist,,0.4108638076014944
SubjVertMo,RaoContMoist,,0.7624795151544786
SubjVertMo,CombMoisture,,0.06920852182345638
SubjVertMo,AreaMoDryAir,,0.035607932768504914
SubjVertMo,VISCloudCov,,0.7256375449786618
SubjVertMo,IRCloudCover,,0.009557048034938174
SubjVertMo,CombClouds,,0.4364748179846789
SubjVertMo,CldShadeOth,,0.42257498421151746
SubjVertMo,AMInstabMt,,0.08564290934173997
SubjVertMo,InsInMt,,0.3225092547680648
SubjVertMo,WndHodograph,,0.13998329949530575
SubjVertMo,OutflowFrMt,,0.16404703662270503
SubjVertMo,MorningBound,,0.5856257024770744
SubjVertMo,Boundaries,,0.29609440950688337
SubjVertMo,CldShadeConv,,0.5311816523779147
SubjVertMo,CompPlFcst,,0.2638254188980171
SubjVertMo,CapChange,,0.2638254188980171
SubjVertMo,LoLevMoistAd,,0.9682675588094768
SubjVertMo,InsChange,,0.08506680961758317
SubjVertMo,MountainFcst,,0.7058674354302962
SubjVertMo,Date,,0.696058866808184
SubjVertMo,Scenario,,0.921758576748885
SubjVertMo,ScenRelAMCIN,,0.617293709183709
SubjVertMo,MorningCIN,,0.8714206508101284
SubjVertMo,AMCINInScen,,0.5395806877113758
SubjVertMo,CapInScen,,0.3465278061875614
SubjVertMo,ScenRelAMIns,,0.79762280492822
SubjVertMo,LIfr12ZDENSd,,0.5465172521942596
SubjVertMo,AMDewptCalPl,,0.18772975816567897
SubjVertMo,AMInsWliScen,,0.14698197362028464
SubjVertMo,InsSclInScen,,0.0494829746682752
SubjVertMo,ScenRel3_4,,0.603595389644098
SubjVertMo,LatestCIN,,0.5458659697242441
SubjVertMo,LLIW,,0.00022468860682984168
SubjVertMo,CurPropConv,,0.02719964684910663
SubjVertMo,ScnRelPlFcst,,0.921758576748885
SubjVertMo,PlainsFcst,,0.5735071736798996
SubjVertMo,N34StarFcst,,0.6628450387031954
SubjVertMo,R5Fcst,,0.8907956491621194
SubjVertMo,Dewpoints,,0.6952152094632581
SubjVertMo,LowLLapse,,0.5961398226933646
SubjVertMo,MeanRH,,0.25111783747575483
SubjVertMo,MidLLapse,,0.39819877710048956
SubjVertMo,MvmtFeatures,,0.7993364629445555
SubjVertMo,RHRatio,,0.8918031993318298
SubjVertMo,SfcWndShfDis,,0.5965924081996052
SubjVertMo,SynForcng,,0.5040125836001916
SubjVertMo,TempDis,,0.44493782885993116
SubjVertMo,WindAloft,,0.20124034430657003
SubjVertMo,WindFieldMt,,0.8774368423052054
SubjVertMo,WindFieldPln,,0.41707958307585496
QGVertMotion,CombVerMo,,9.429371145777038e-26
QGVertMotion,AreaMeso_ALS,,9.429371145777038e-26
QGVertMotion,SatContMoist,,0.6579053579850569
QGVertMotion,RaoContMoist,,0.5592089928913097
QGVertMotion,CombMoisture,,0.12941037623763302
QGVertMotion,AreaMoDryAir,,0.005776172265840075
QGVertMotion,VISCloudCov,,0.6480586206188861
QGVertMotion,IRCloudCover,,0.8926155063232696
QGVertMotion,CombClouds,,0.2119906541062615
QGVertMotion,CldShadeOth,,0.054327874267853016
QGVertMotion,AMInstabMt,,0.11623987698115994
QGVertMotion,InsInMt,,0.8235626319301587
QGVertMotion,WndHodograph,,0.3919055341151901
QGVertMotion,OutflowFrMt,,0.5416446268750759
QGVertMotion,MorningBound,,0.4528592221953095
QGVertMotion,Boundaries,,0.7106434572925416
QGVertMotion,CldShadeConv,,0.7593375375443586
QGVertMotion,CompPlFcst,,0.15059809331723154
QGVertMotion,CapChange,,0.15059809331723154
QGVertMotion,LoLevMoistAd,,0.6344609761285769
QGVertMotion,InsChange,,0.7337130341467668
QGVertMotion,MountainFcst,,0.6214710408151973
QGVertMotion,Date,,0.9373512126189034
QGVertMotion,Scenario,,0.20833872093584938
QGVertMotion,ScenRelAMCIN,,0.05449989943499439
QGVertMotion,MorningCIN,,0.9511409036846656
QGVertMotion,AMCINInScen,,0.4731777268224694
QGVertMotion,CapInScen,,0.8559416969927415
QGVertMotion,ScenRelAMIns,,0.056715049361517444
QGVertMotion,LIfr12ZDENSd,,0.31592200355570477
QGVertMotion,AMDewptCalPl,,0.35204009135973474
QGVertMotion,AMInsWliScen,,0.10254495171114829
QGVertMotion,InsSclInScen,,0.009300240159951772
QGVertMotion,ScenRel3_4,,0.09504722930303286
QGVertMotion,LatestCIN,,0.38568721642910386
QGVertMotion,LLIW,,0.5740563071837299
QGVertMotion,CurPropConv,,0.20111844813917684
QGVertMotion,ScnRelPlFcst,,0.20833872093584938
QGVertMotion,PlainsFcst,,0.5488011908549146
QGVertMotion,N34StarFcst,,0.5098387146063246
QGVertMotion,R5Fcst,,0.7648770516095518
QGVertMotion,Dewpoints,,0.21519991981020262
QGVertMotion,LowLLapse,,0.14154202912088468
QGVertMotion,MeanRH,,0.11214035959249655
QGVertMotion,MidLLapse,,0.7245499246379479
QGVertMotion,MvmtFeatures,,0.52963184754654
QGVertMotion,RHRatio,,0.48157538008045686
QGVertMotion,SfcWndShfDis,,0.3337277402798096
QGVertMotion,SynForcng,,0.954292869333863
QGVertMotion,TempDis,,0.009605584243461827
QGVertMotion,WindAloft,,0.5067190858304629
QGVertMotion,WindFieldMt,,0.8747279861909815
QGVertMotion,WindFieldPln,,0.15884678273255345
CombVerMo,AreaMeso_ALS,,1.0715053147605e-310
CombVerMo,SatContMoist,,0.7789426082978498
CombVerMo,RaoContMoist,,0.5189958751953045
CombVerMo,CombMoisture,,0.25110018796012396
CombVerMo,AreaMoDryAir,,1.1130919486507248e-11
CombVerMo,VISCloudCov,,0.5958271695064874
CombVerMo,IRCloudCover,,0.34900625018311693
CombVerMo,CombClouds,,0.6823686846371306
CombVerMo,CldShadeOth,,8.015935041889317e-10
CombVerMo,AMInstabMt,,0.6434840386290268
CombVerMo,InsInMt,,0.871016704288944
CombVerMo,WndHodograph,,0.9316791378307056
CombVerMo,OutflowFrMt,,0.48139258354749825
CombVerMo,MorningBound,,0.7630863262576297
CombVerMo,Boundaries,,0.33387462263224366
CombVerMo,CldShadeConv,,0.1085931001132002
CombVerMo,CompPlFcst,,0.00013486840379328338
CombVerMo,CapChange,,0.00013486840379328338
CombVerMo,LoLevMoistAd,,0.7335052713699537
CombVerMo,InsChange,,0.701872835453407
