node_i,node_j,p_value
AMCINInScen,AMDewptCalPl,0.7276879516885053
AMCINInScen,AMInsWliScen,0.8490233132432227
AMCINInScen,CapInScen,1.1056582031672804e-23
AMCINInScen,CurPropConv,0.9246446277995597
AMCINInScen,Dewpoints,0.5298770991837871
AMCINInScen,InsSclInScen,0.4553713673716737
AMCINInScen,LIfr12ZDENSd,0.19706590030174614
AMCINInScen,LLIW,0.8820379740443177
AMCINInScen,LatestCIN,0.43585224337780515
AMCINInScen,LowLLapse,0.8657963337732167
AMCINInScen,MeanRH,0.9760223415628448
AMCINInScen,MidLLapse,0.6489009876832412
AMCINInScen,MvmtFeatures,0.288764622712944
AMCINInScen,N34StarFcst,0.200739409652361
AMCINInScen,PlainsFcst,0.3724658994621547
AMCINInScen,R5Fcst,0.6655522387876773
AMCINInScen,RHRatio,0.980466507860967
AMCINInScen,ScenRel3_4,0.2346389557275854
AMCINInScen,ScenRelAMIns,0.9858807852836446
AMCINInScen,ScnRelPlFcst,0.7141631958321008
AMCINInScen,SfcWndShfDis,0.16927818846572276
AMCINInScen,SynForcng,0.8479574942084828
AMCINInScen,TempDis,0.6911970033073085
AMCINInScen,WindAloft,0.42556817870522323
AMCINInScen,WindFieldMt,0.3001852719058251
AMCINInScen,WindFieldPln,0.17237224462494669
AMDewptCalPl,AMInsWliScen,0.031374040185063595
AMDewptCalPl,CurPropConv,0.8884182180399517
AMDewptCalPl,Dewpoints,0.7691638585901774
AMDewptCalPl,InsSclInScen,0.5594617619232396
AMDewptCalPl,LLIW,0.5835148540330319
AMDewptCalPl,LatestCIN,0.46511015598540073
AMDewptCalPl,LowLLapse,0.41735159661089943
AMDewptCalPl,MeanRH,0.5442680077858957
AMDewptCalPl,MidLLapse,0.8407972151069204
AMDewptCalPl,MvmtFeatures,0.5976160759381883
AMDewptCalPl,N34StarFcst,0.8686260678576323
AMDewptCalPl,PlainsFcst,0.9620653404634857
AMDewptCalPl,R5Fcst,0.12200746777218051
AMDewptCalPl,RHRatio,0.778019336137818
AMDewptCalPl,ScenRel3_4,0.8335940846349956
AMDewptCalPl,ScnRelPlFcst,0.7837464327439609
AMDewptCalPl,SfcWndShfDis,0.24851507744607157
AMDewptCalPl,SynForcng,0.40285273017079404
AMDewptCalPl,TempDis,0.34138573148696216
AMDewptCalPl,WindAloft,0.7915649727168239
AMDewptCalPl,WindFieldMt,0.8538576315263258
AMDewptCalPl,WindFieldPln,0.55252505681755
AMInsWliScen,CurPropConv,0.054450026878054114
AMInsWliScen,Dewpoints,0.856019473995705
AMInsWliScen,InsSclInScen,5.673930781367726e-39
AMInsWliScen,LLIW,0.11579510035294965
AMInsWliScen,LatestCIN,0.44898998392059297
AMInsWliScen,LowLLapse,0.7440498450028674
AMInsWliScen,MeanRH,0.6461764151147271
AMInsWliScen,MidLLapse,0.9336684440125929
AMInsWliScen,MvmtFeatures,0.33275411227113555
AMInsWliScen,N34StarFcst,0.07112764261330187
AMInsWliScen,PlainsFcst,0.12530728840581776
AMInsWliScen,R5Fcst,0.6752002630577776
AMInsWliScen,RHRatio,0.5998836160760966
AMInsWliScen,ScenRel3_4,0.9999980904960437
AMInsWliScen,ScnRelPlFcst,1.0
AMInsWliScen,SfcWndShfDis,0.09960228900203515
AMInsWliScen,SynForcng,0.7729798839578513
AMInsWliScen,TempDis,0.26115886242391023
AMInsWliScen,WindAloft,0.2040796650143681
AMInsWliScen,WindFieldMt,0.8794144304038571
AMInsWliScen,WindFieldPln,0.2653537128502519
AMInstabMt,AMCINInScen,0.9696080173669328
AMInstabMt,AMDewptCalPl,0.754616292799763
AMInstabMt,AMInsWliScen,0.4071894260069404
AMInstabMt,Boundaries,0.41523752254767066
AMInstabMt,CapChange,0.34555169119383045
AMInstabMt,CapInScen,0.8183841479711997
AMInstabMt,CldShadeConv,0.7219406260888552
AMInstabMt,CompPlFcst,0.34555169119383045
AMInstabMt,CurPropConv,0.29319232555103253
AMInstabMt,Date,0.9981332422332512
AMInstabMt,Dewpoints,0.45250700149010215
AMInstabMt,InsChange,0.33160309245231917
AMInstabMt,InsInMt,1.6896271033115402e-06
AMInstabMt,InsSclInScen,0.17472783446565723
AMInstabMt,LIfr12ZDENSd,0.794845596304333
AMInstabMt,LLIW,0.19230764858068905
AMInstabMt,LatestCIN,0.5024101511488694
AMInstabMt,LoLevMoistAd,0.5911285755580593
AMInstabMt,LowLLapse,0.3955726742399879
AMInstabMt,MeanRH,0.4249940721071792
AMInstabMt,MidLLapse,0.7748537738170856
AMInstabMt,MorningBound,0.09060482928742121
AMInstabMt,MorningCIN,0.617701349768362
AMInstabMt,MountainFcst,0.07085658782934384
AMInstabMt,MvmtFeatures,0.4471616945486553
AMInstabMt,N34StarFcst,0.37695055269914834
AMInstabMt,OutflowFrMt,0.14087694779259308
AMInstabMt,PlainsFcst,0.5753050724030698
AMInstabMt,R5Fcst,0.09403101004743661
AMInstabMt,RHRatio,0.2462308499532194
AMInstabMt,ScenRel3_4,0.374078095412303
AMInstabMt,ScenRelAMCIN,0.7941745287395574
AMInstabMt,ScenRelAMIns,0.422433012431642
AMInstabMt,Scenario,0.17894317280216038
AMInstabMt,ScnRelPlFcst,0.17894317280216038
AMInstabMt,SfcWndShfDis,0.6853533951787804
AMInstabMt,SynForcng,0.16454809240853083
AMInstabMt,TempDis,0.08312048709007487
AMInstabMt,WindAloft,0.9088275742521624
AMInstabMt,WindFieldMt,0.6810757134433747
AMInstabMt,WindFieldPln,0.5885023121238067
AMInstabMt,WndHodograph,0.856183025860008
AreaMeso_ALS,AMCINInScen,0.7938647671136199
AreaMeso_ALS,AMDewptCalPl,0.13581999293873334
AreaMeso_ALS,AMInsWliScen,0.8390857347198745
AreaMeso_ALS,AMInstabMt,0.4657236757748352
AreaMeso_ALS,AreaMoDryAir,0.27057661857277177
AreaMeso_ALS,Boundaries,0.26066502429766475
AreaMeso_ALS,CapChange,0.07051980766746793
AreaMeso_ALS,CapInScen,0.2482852555629917
AreaMeso_ALS,CldShadeConv,0.7041025568270018
AreaMeso_ALS,CldShadeOth,0.051718212810980047
AreaMeso_ALS,CombClouds,0.8432250423306004
AreaMeso_ALS,CombMoisture,0.5606016509835909
AreaMeso_ALS,CompPlFcst,0.07051980766746793
AreaMeso_ALS,CurPropConv,0.9993183028266276
AreaMeso_ALS,Date,0.14037761041151717
AreaMeso_ALS,Dewpoints,0.29567135938266376
AreaMeso_ALS,IRCloudCover,0.8198467990563838
AreaMeso_ALS,InsChange,0.16905990452259334
AreaMeso_ALS,InsInMt,0.9006129224325656
AreaMeso_ALS,InsSclInScen,0.8885168248329036
AreaMeso_ALS,LIfr12ZDENSd,0.7945434095063569
AreaMeso_ALS,LLIW,0.27977753884036427
AreaMeso_ALS,LatestCIN,0.27061474629468163
AreaMeso_ALS,LoLevMoistAd,0.9377699770815683
AreaMeso_ALS,LowLLapse,0.7390362009099567
AreaMeso_ALS,MeanRH,0.05618657028072327
AreaMeso_ALS,MidLLapse,0.9200562734188198
AreaMeso_ALS,MorningBound,0.6834668578547293
