node_i,node_j,condition,p_value
N0_7muVerMo,SubjVertMo,,0.5981879119484163
N0_7muVerMo,QGVertMotion,,0.6401236357980149
N0_7muVerMo,CombVerMo,,4.2947234328388686e-18
N0_7muVerMo,AreaMeso_ALS,,4.2947234328388686e-18
N0_7muVerMo,SatContMoist,,0.6960138745557549
N0_7muVerMo,RaoContMoist,,0.753476563932958
N0_7muVerMo,CombMoisture,,0.6387267586040768
N0_7muVerMo,AreaMoDryAir,,0.017313192511605083
N0_7muVerMo,VISCloudCov,,0.5507398393670506
N0_7muVerMo,IRCloudCover,,0.5984056230913901
N0_7muVerMo,CombClouds,,0.8759048882420368
N0_7muVerMo,CldShadeOth,,0.5773007857675012
N0_7muVerMo,AMInstabMt,,0.47387107392214733
N0_7muVerMo,InsInMt,,0.8753545790540961
N0_7muVerMo,WndHodograph,,0.6682040585263194
N0_7muVerMo,OutflowFrMt,,0.8774202158170307
N0_7muVerMo,MorningBound,,0.6196131204438227
N0_7muVerMo,Boundaries,,0.4937280604881623
N0_7muVerMo,CldShadeConv,,0.9699018958822274
N0_7muVerMo,CompPlFcst,,0.18650276643559086
N0_7muVerMo,CapChange,,0.18650276643559086
N0_7muVerMo,LoLevMoistAd,,0.3013498239648036
N0_7muVerMo,InsChange,,0.5754126242978546
N0_7muVerMo,MountainFcst,,0.11286031837413892
N0_7muVerMo,Date,,0.345445490517848
N0_7muVerMo,Scenario,,0.7825235832043361
N0_7muVerMo,ScenRelAMCIN,,0.5502742461367616
N0_7muVerMo,MorningCIN,,0.9903234500733428
N0_7muVerMo,AMCINInScen,,0.41993423344504177
N0_7muVerMo,CapInScen,,0.6876814842276622
N0_7muVerMo,ScenRelAMIns,,0.970281634638012
N0_7muVerMo,LIfr12ZDENSd,,0.5421428699799479
N0_7muVerMo,AMDewptCalPl,,0.8954785284943841
N0_7muVerMo,AMInsWliScen,,0.9046741155283639
N0_7muVerMo,InsSclInScen,,0.5360076357707002
N0_7muVerMo,ScenRel3_4,,0.386665182613398
N0_7muVerMo,LatestCIN,,0.6423666723910604
N0_7muVerMo,LLIW,,0.9829914013270851
N0_7muVerMo,CurPropConv,,0.48560526366701406
N0_7muVerMo,ScnRelPlFcst,,0.7825235832043361
N0_7muVerMo,PlainsFcst,,0.5381359563326369
N0_7muVerMo,N34StarFcst,,0.6527116032509337
N0_7muVerMo,R5Fcst,,0.5567910066785209
N0_7muVerMo,Dewpoints,,0.453411132471614
N0_7muVerMo,LowLLapse,,0.24142185133388155
N0_7muVerMo,MeanRH,,0.29935887761869046
N0_7muVerMo,MidLLapse,,0.6005616558872278
N0_7muVerMo,MvmtFeatures,,0.35621851617648553
N0_7muVerMo,RHRatio,,0.8951868834265961
N0_7muVerMo,SfcWndShfDis,,0.048496047612718717
N0_7muVerMo,SynForcng,,0.2251852978927099
N0_7muVerMo,TempDis,,0.5739772518545028
N0_7muVerMo,WindAloft,,0.5512191476569799
N0_7muVerMo,WindFieldMt,,0.8381304450796327
N0_7muVerMo,WindFieldPln,,0.6251609256689814
SubjVertMo,QGVertMotion,,0.8539785847251138
SubjVertMo,CombVerMo,,1.2436808768588258e-13
SubjVertMo,AreaMeso_ALS,,1.2436808768588258e-13
SubjVertMo,SatContMoist,,0.2115585271376515
SubjVertMo,RaoContMoist,,0.5252037727467586
SubjVertMo,CombMoisture,,0.07818231386971464
SubjVertMo,AreaMoDryAir,,0.2204112330803499
SubjVertMo,VISCloudCov,,0.9802695540076194
SubjVertMo,IRCloudCover,,0.04347712261037166
SubjVertMo,CombClouds,,0.4319418127298923
SubjVertMo,CldShadeOth,,0.47240364657193523
SubjVertMo,AMInstabMt,,0.1398269248180947
SubjVertMo,InsInMt,,0.6137178549458733
SubjVertMo,WndHodograph,,0.7592639912012
SubjVertMo,OutflowFrMt,,0.22644257601254988
SubjVertMo,MorningBound,,0.6895123741770515
SubjVertMo,Boundaries,,0.27286296951257566
SubjVertMo,CldShadeConv,,0.050620045225047844
SubjVertMo,CompPlFcst,,0.04345889397904933
SubjVertMo,CapChange,,0.04345889397904933
SubjVertMo,LoLevMoistAd,,0.8946424300710768
SubjVertMo,InsChange,,0.6831050441871749
SubjVertMo,MountainFcst,,0.352380891701938
SubjVertMo,Date,,0.2540388412997332
SubjVertMo,Scenario,,0.9698942377559723
SubjVertMo,ScenRelAMCIN,,0.8797384287851377
SubjVertMo,MorningCIN,,0.8362422523880882
SubjVertMo,AMCINInScen,,0.7893388820084316
SubjVertMo,CapInScen,,0.4117199945474342
SubjVertMo,ScenRelAMIns,,0.9135639083795133
SubjVertMo,LIfr12ZDENSd,,0.7311416987907383
SubjVertMo,AMDewptCalPl,,0.49260885148354316
SubjVertMo,AMInsWliScen,,0.685309655183364
SubjVertMo,InsSclInScen,,0.4569420871083777
SubjVertMo,ScenRel3_4,,0.7713034854146702
SubjVertMo,LatestCIN,,0.2674251636502614
SubjVertMo,LLIW,,0.016523910129749703
SubjVertMo,CurPropConv,,0.0985787693783813
SubjVertMo,ScnRelPlFcst,,0.9698942377559723
SubjVertMo,PlainsFcst,,0.5114416915351474
SubjVertMo,N34StarFcst,,0.6320549797161454
SubjVertMo,R5Fcst,,0.37630875275633163
SubjVertMo,Dewpoints,,0.7056770343911836
SubjVertMo,LowLLapse,,0.4011740692790622
SubjVertMo,MeanRH,,0.3734525206189833
SubjVertMo,MidLLapse,,0.6289029572292133
SubjVertMo,MvmtFeatures,,0.8343648608743293
SubjVertMo,RHRatio,,0.9731351710713642
SubjVertMo,SfcWndShfDis,,0.10005796492117645
SubjVertMo,SynForcng,,0.7171624909035912
SubjVertMo,TempDis,,0.12751030970952973
SubjVertMo,WindAloft,,0.4397780513683638
SubjVertMo,WindFieldMt,,0.9217042923983296
SubjVertMo,WindFieldPln,,0.4198455073652449
QGVertMotion,CombVerMo,,2.2739003086962626e-09
QGVertMotion,AreaMeso_ALS,,2.2739003086962626e-09
QGVertMotion,SatContMoist,,0.5150993044321157
QGVertMotion,RaoContMoist,,0.8158538261138497
QGVertMotion,CombMoisture,,0.26406121718257297
QGVertMotion,AreaMoDryAir,,0.14739099287736215
QGVertMotion,VISCloudCov,,0.7321483934109811
QGVertMotion,IRCloudCover,,0.5101246276732301
QGVertMotion,CombClouds,,0.281282261272762
QGVertMotion,CldShadeOth,,0.1255512642534744
QGVertMotion,AMInstabMt,,0.5127217655472327
QGVertMotion,InsInMt,,0.848341794704289
QGVertMotion,WndHodograph,,0.46817643382069063
QGVertMotion,OutflowFrMt,,0.8827985702611583
QGVertMotion,MorningBound,,0.8387870684972069
QGVertMotion,Boundaries,,0.9245698536522065
QGVertMotion,CldShadeConv,,0.5264928226325187
