node_i,node_j,p_value
ANAPHYLAXIS,ARTCO2,0.3749923359237072
ANAPHYLAXIS,BP,0.8890463922049565
ANAPHYLAXIS,CATECHOL,0.1955746778280674
ANAPHYLAXIS,CO,0.14120675178687322
ANAPHYLAXIS,DISCONNECT,0.3091874610359264
ANAPHYLAXIS,EXPCO2,0.5471724987543127
ANAPHYLAXIS,FIO2,0.9753519742127007
ANAPHYLAXIS,HR,0.3824255622566984
ANAPHYLAXIS,INTUBATION,0.6686846995519069
ANAPHYLAXIS,KINKEDTUBE,0.49573668692794104
ANAPHYLAXIS,MINVOL,0.7584197781011588
ANAPHYLAXIS,MINVOLSET,0.7783458600107931
ANAPHYLAXIS,PAP,0.6731023220545034
ANAPHYLAXIS,PRESS,0.792052927411081
ANAPHYLAXIS,PULMEMBOLUS,0.8837566091518421
ANAPHYLAXIS,PVSAT,0.7671814714983689
ANAPHYLAXIS,SAO2,0.6692310524164637
ANAPHYLAXIS,SHUNT,0.25410144353951397
ANAPHYLAXIS,TPR,2.651498226650326e-29
ANAPHYLAXIS,VENTALV,0.8374849930195286
ANAPHYLAXIS,VENTLUNG,0.9556363542490776
ANAPHYLAXIS,VENTMACH,0.9117544064512473
ANAPHYLAXIS,VENTTUBE,0.5498468280462727
ARTCO2,BP,0.07556176979422581
ARTCO2,CATECHOL,3.108784552431921e-09
ARTCO2,CO,0.24729507741061243
ARTCO2,HR,0.8440255892227282
CATECHOL,BP,0.2384518271492681
CATECHOL,CO,0.0916050371402074
CATECHOL,HR,0.0
CO,BP,2.5997330922779027e-237
CVP,ANAPHYLAXIS,0.8640772982003488
CVP,ARTCO2,0.6395109945243345
CVP,BP,0.45198005107491834
CVP,CATECHOL,0.24525330679991364
CVP,CO,0.6437853491654142
CVP,DISCONNECT,0.8064017531393095
CVP,ERRCAUTER,0.7086645856714529
CVP,ERRLOWOUTPUT,0.9153013501556279
CVP,EXPCO2,0.11665855202697596
CVP,FIO2,0.6470049861544355
CVP,HR,0.647000602958175
CVP,HRBP,0.8338587930872593
CVP,HREKG,0.8664207083816269
CVP,HRSAT,0.8733309619983342
CVP,HYPOVOLEMIA,0.1802615764695149
CVP,INSUFFANESTH,0.07798294998471497
CVP,INTUBATION,0.5282628196709862
CVP,KINKEDTUBE,0.9758577410289214
CVP,LVEDVOLUME,0.0
CVP,LVFAILURE,0.0
CVP,MINVOL,0.2501335978863702
CVP,MINVOLSET,0.5939382632167278
CVP,PAP,0.6918526599371766
CVP,PCWP,0.09259032775216565
CVP,PRESS,0.7515938445447222
CVP,PULMEMBOLUS,0.6639602773773654
CVP,PVSAT,0.9890683585718327
CVP,SAO2,0.7397249262272145
CVP,SHUNT,0.1275357503420727
CVP,STROKEVOLUME,0.18411854247974235
CVP,TPR,0.8725972222702587
CVP,VENTALV,0.5776883646116622
CVP,VENTLUNG,0.9176334275520454
CVP,VENTMACH,0.8680862177248925
CVP,VENTTUBE,0.6734647787675591
DISCONNECT,ARTCO2,0.9277901840333332
DISCONNECT,BP,0.06699669519115266
DISCONNECT,CATECHOL,0.9596180883956009
DISCONNECT,CO,0.0655451780424617
DISCONNECT,HR,0.4347119600201217
DISCONNECT,MINVOLSET,0.2902023685022543
DISCONNECT,VENTALV,0.49807857705173164
DISCONNECT,VENTLUNG,0.4309623586014348
DISCONNECT,VENTMACH,0.8588380469284218
DISCONNECT,VENTTUBE,0.0
ERRCAUTER,ANAPHYLAXIS,0.8486265169015972
ERRCAUTER,ARTCO2,0.17465936226249443
ERRCAUTER,BP,0.07163833623673868
ERRCAUTER,CATECHOL,0.14613339487790725
ERRCAUTER,CO,0.6044735654915911
ERRCAUTER,DISCONNECT,0.2265690715629719
ERRCAUTER,EXPCO2,0.2485357061328659
ERRCAUTER,FIO2,0.8036227981162825
ERRCAUTER,HR,0.10716194339946304
ERRCAUTER,HRSAT,0.0
ERRCAUTER,INSUFFANESTH,0.8245142827929752
ERRCAUTER,INTUBATION,0.5623294775858554
ERRCAUTER,KINKEDTUBE,0.25315955063009754
ERRCAUTER,MINVOL,0.24029754858139163
ERRCAUTER,MINVOLSET,0.5790919913150352
ERRCAUTER,PAP,0.3459116513920101
ERRCAUTER,PRESS,0.5125101390424953
ERRCAUTER,PULMEMBOLUS,0.13186182547121295
ERRCAUTER,PVSAT,0.6646685829932164
ERRCAUTER,SAO2,0.5956533813012569
ERRCAUTER,SHUNT,0.17145859679148956
ERRCAUTER,TPR,0.16868191023356632
ERRCAUTER,VENTALV,0.3827173657100113
ERRCAUTER,VENTLUNG,0.21994647707972334
ERRCAUTER,VENTMACH,0.775852519565126
ERRCAUTER,VENTTUBE,0.36588558860772924
ERRLOWOUTPUT,ANAPHYLAXIS,0.5465236026501286
ERRLOWOUTPUT,ARTCO2,0.2426455090357195
ERRLOWOUTPUT,BP,0.11537048938279512
ERRLOWOUTPUT,CATECHOL,0.5315402818057766
ERRLOWOUTPUT,CO,0.7875461180887984
ERRLOWOUTPUT,DISCONNECT,0.7199450734023989
ERRLOWOUTPUT,ERRCAUTER,0.8663773128098734
ERRLOWOUTPUT,EXPCO2,0.14162775046061665
ERRLOWOUTPUT,FIO2,0.2909382953413561
ERRLOWOUTPUT,HR,0.9780016327556026
ERRLOWOUTPUT,HRBP,0.0
ERRLOWOUTPUT,HREKG,0.5479713710251258
ERRLOWOUTPUT,HRSAT,0.9916861961279156
ERRLOWOUTPUT,INSUFFANESTH,0.48364360856569577
ERRLOWOUTPUT,INTUBATION,0.9988923255947113
ERRLOWOUTPUT,KINKEDTUBE,0.972046622099134
ERRLOWOUTPUT,MINVOL,0.7743027416963257
ERRLOWOUTPUT,MINVOLSET,0.08786583546403895
ERRLOWOUTPUT,PAP,0.1888615413285977
ERRLOWOUTPUT,PRESS,0.12291373971640035
ERRLOWOUTPUT,PULMEMBOLUS,0.20159081538798562
ERRLOWOUTPUT,PVSAT,0.5148983822781625
ERRLOWOUTPUT,SAO2,0.3929581059177532
ERRLOWOUTPUT,SHUNT,0.8239456082983148
ERRLOWOUTPUT,TPR,0.505819426816974
ERRLOWOUTPUT,VENTALV,0.8087635366883933
ERRLOWOUTPUT,VENTLUNG,0.5203410994101891
ERRLOWOUTPUT,VENTMACH,0.3661102716900765
ERRLOWOUTPUT,VENTTUBE,0.6043686983184844
EXPCO2,ARTCO2,0.0
EXPCO2,BP,0.1322176969033278
EXPCO2,CATECHOL,0.4431588806905745
EXPCO2,CO,0.6601086965177181
EXPCO2,DISCONNECT,0.9205680011426854
EXPCO2,FIO2,0.7418779007209685
EXPCO2,HR,0.17957098939330232
EXPCO2,INTUBATION,0.3894697044922829
EXPCO2,KINKEDTUBE,0.5719182832854501
EXPCO2,MINVOL,0.9991113512432401
EXPCO2,MINVOLSET,0.4426758749179051
EXPCO2,PAP,0.6870307111413505
EXPCO2,PRESS,0.8315117640535543
EXPCO2,PULMEMBOLUS,0.6827745690231628
EXPCO2,PVSAT,0.32440291029179114
EXPCO2,SAO2,0.679984312389758
EXPCO2,SHUNT,0.6165135410585076
EXPCO2,VENTALV,5.011408642575826e-261
EXPCO2,VENTLUNG,0.0
EXPCO2,VENTMACH,0.35153819795279034
EXPCO2,VENTTUBE,0.13981327381040645
FIO2,ARTCO2,0.9744284357933976
FIO2,BP,0.4481165585628817
FIO2,CATECHOL,0.3423040050922368
FIO2,CO,0.8937781810172389
FIO2,DISCONNECT,0.9618200473972155
FIO2,HR,0.6299769457910884
FIO2,INTUBATION,0.4364136177108655
FIO2,MINVOLSET,0.31452191000752067
FIO2,PAP,0.6411462342368464
FIO2,PRESS,0.32838301475006315
FIO2,PULMEMBOLUS,0.16837955486000386
FIO2,PVSAT,8.024742515784627e-169
FIO2,SAO2,0.01773452236751542
FIO2,SHUNT,0.28279034321721197
FIO2,VENTALV,0.3026110979272873
FIO2,VENTLUNG,0.5178481370481838
FIO2,VENTMACH,0.4843609600917371
FIO2,VENTTUBE,0.6165885863555476
HISTORY,ANAPHYLAXIS,0.6517656355535455
HISTORY,ARTCO2,0.5196393354389492
HISTORY,BP,0.8341667517413645
HISTORY,CATECHOL,0.17658674717053957
HISTORY,CO,0.7874875090785313
HISTORY,CVP,0.42587359556798987
HISTORY,DISCONNECT,0.82975857720794
HISTORY,ERRCAUTER,0.3369115011593762
HISTORY,ERRLOWOUTPUT,0.44788271280660963
HISTORY,EXPCO2,0.4333514100991557
HISTORY,FIO2,0.5337608256922575
HISTORY,HR,0.5870307082916515
HISTORY,HRBP,0.4733658664891873
HISTORY,HREKG,0.34097245462559267
HISTORY,HRSAT,0.36547990915010875
HISTORY,HYPOVOLEMIA,0.6535861998611399
HISTORY,INSUFFANESTH,0.6528340343372172
HISTORY,INTUBATION,0.7527303494445509
HISTORY,KINKEDTUBE,0.858515214970063
HISTORY,LVEDVOLUME,0.09903002897774041
HISTORY,LVFAILURE,0.0
HISTORY,MINVOL,0.8309562982004599
HISTORY,MINVOLSET,0.2881255221535045
HISTORY,PAP,0.31770305947556865
HISTORY,PCWP,0.7942727783964337
HISTORY,PRESS,0.6354298351614953
HISTORY,PULMEMBOLUS,0.26486561226302063
HISTORY,PVSAT,0.6269306358840195
HISTORY,SAO2,0.7646681859741101
HISTORY,SHUNT,0.7620817735614325
HISTORY,STROKEVOLUME,0.9127386226913228
HISTORY,TPR,0.9377868005255607
HISTORY,VENTALV,0.7678858145800479
HISTORY,VENTLUNG,0.8447888499873599
HISTORY,VENTMACH,0.2792798978432951
HISTORY,VENTTUBE,0.7638062084223264
HR,BP,0.1181078524540277
HR,CO,1.4974245945648493e-139
HRBP,ANAPHYLAXIS,0.09048710781263872
HRBP,ARTCO2,0.5529630673346768
HRBP,BP,0.9092336035311526
HRBP,CATECHOL,0.5086716254211547
HRBP,CO,0.5076550220940257
HRBP,DISCONNECT,0.7788135874903759
HRBP,ERRCAUTER,0.18530032656566323
HRBP,EXPCO2,0.10900585650889189
HRBP,FIO2,0.23706880290526583
HRBP,HR,0.0
HRBP,HREKG,0.4408552812179991
HRBP,HRSAT,0.49916060084186265
HRBP,INSUFFANESTH,0.562218753269043
