node_i,node_j,p_value
ANAPHYLAXIS,ARTCO2,0.7721145730142451
ANAPHYLAXIS,BP,0.6288802615009847
ANAPHYLAXIS,CATECHOL,0.2409963849890484
ANAPHYLAXIS,CO,0.8410894969558786
ANAPHYLAXIS,DISCONNECT,0.8816633283856148
ANAPHYLAXIS,EXPCO2,0.07809980906171558
ANAPHYLAXIS,FIO2,0.5227327563016018
ANAPHYLAXIS,HR,0.7440127916605999
ANAPHYLAXIS,INTUBATION,0.17070965242075814
ANAPHYLAXIS,KINKEDTUBE,0.8228540361008141
ANAPHYLAXIS,MINVOL,0.2576141193408662
ANAPHYLAXIS,MINVOLSET,0.2269644275589667
ANAPHYLAXIS,PAP,0.14108550312021126
ANAPHYLAXIS,PRESS,0.1888203014690805
ANAPHYLAXIS,PULMEMBOLUS,0.7325631612661261
ANAPHYLAXIS,PVSAT,0.46450756929191894
ANAPHYLAXIS,SAO2,0.16408885726133426
ANAPHYLAXIS,SHUNT,0.5235855304626629
ANAPHYLAXIS,TPR,6.623690874933341e-25
ANAPHYLAXIS,VENTALV,0.18353224978049712
ANAPHYLAXIS,VENTLUNG,0.13861484839090057
ANAPHYLAXIS,VENTMACH,0.08360494476010671
ANAPHYLAXIS,VENTTUBE,0.027218642644539878
ARTCO2,BP,0.10798108920224128
ARTCO2,CATECHOL,0.7604425496078147
ARTCO2,CO,0.24688316255506448
ARTCO2,HR,0.17314893525418312
CATECHOL,BP,0.2154403207286021
CATECHOL,CO,0.21087541616952704
CATECHOL,HR,0.0
CO,BP,5.612626912279465e-172
CVP,ANAPHYLAXIS,0.3924635430657199
CVP,ARTCO2,0.5296447150264201
CVP,BP,0.6128240606031723
CVP,CATECHOL,0.29483834947050686
CVP,CO,0.38507010912014655
CVP,DISCONNECT,0.8980925914786958
CVP,ERRCAUTER,0.5389681394029622
CVP,ERRLOWOUTPUT,0.9618166674218634
CVP,EXPCO2,0.8851466790483018
CVP,FIO2,0.5328798106280787
CVP,HR,0.05809017684082141
CVP,HRBP,0.2118543828524111
CVP,HREKG,0.12210249178933517
CVP,HRSAT,0.12073343222709351
CVP,HYPOVOLEMIA,0.845977036384235
CVP,INSUFFANESTH,0.12961950585611884
CVP,INTUBATION,0.32576387505771726
CVP,KINKEDTUBE,0.4550774195690158
CVP,LVEDVOLUME,0.0
CVP,LVFAILURE,0.21357939029986583
CVP,MINVOL,0.9173624112219922
CVP,MINVOLSET,0.5207993118377019
CVP,PAP,0.08479344124053975
CVP,PCWP,0.060282295595266704
CVP,PRESS,0.6746434237357255
CVP,PULMEMBOLUS,0.3413677578142958
CVP,PVSAT,0.7904404129411426
CVP,SAO2,0.9261214901476373
CVP,SHUNT,0.4200947369549042
CVP,STROKEVOLUME,0.5356946017932398
CVP,TPR,0.9513453158015481
CVP,VENTALV,0.7967694738128641
CVP,VENTLUNG,0.8824956878611089
CVP,VENTMACH,0.7853447274354558
CVP,VENTTUBE,0.21945390037397644
DISCONNECT,ARTCO2,0.37403846916516137
DISCONNECT,BP,0.14993652560108645
DISCONNECT,CATECHOL,0.7445961751977336
DISCONNECT,CO,0.5098959506954415
DISCONNECT,HR,0.5668355875950501
DISCONNECT,MINVOLSET,0.7681962361872225
DISCONNECT,VENTALV,0.8498805789530761
DISCONNECT,VENTLUNG,0.12095733889300503
DISCONNECT,VENTMACH,0.35070516060006157
DISCONNECT,VENTTUBE,0.0
ERRCAUTER,ANAPHYLAXIS,0.3277669844666068
ERRCAUTER,ARTCO2,0.4926054579902861
ERRCAUTER,BP,0.24212719718942688
ERRCAUTER,CATECHOL,0.7551536770809594
ERRCAUTER,CO,0.6496984178304925
ERRCAUTER,DISCONNECT,0.302422168194564
ERRCAUTER,EXPCO2,0.6683294820385897
ERRCAUTER,FIO2,0.08489455961708585
ERRCAUTER,HR,0.6032153437930918
ERRCAUTER,HRSAT,3.7030784860589317e-300
ERRCAUTER,INSUFFANESTH,0.4469086958674323
ERRCAUTER,INTUBATION,0.5155210094971276
ERRCAUTER,KINKEDTUBE,0.779680059601747
ERRCAUTER,MINVOL,0.9344063279186585
ERRCAUTER,MINVOLSET,0.19489643734094694
ERRCAUTER,PAP,0.9641024800281445
ERRCAUTER,PRESS,0.293057721815654
ERRCAUTER,PULMEMBOLUS,0.10098159057663811
ERRCAUTER,PVSAT,0.4717950742335878
ERRCAUTER,SAO2,0.2809877241002291
ERRCAUTER,SHUNT,0.13429502693512468
ERRCAUTER,TPR,0.6796945515051729
ERRCAUTER,VENTALV,0.7665935415904546
ERRCAUTER,VENTLUNG,0.509901649484966
ERRCAUTER,VENTMACH,0.5133949428324529
ERRCAUTER,VENTTUBE,0.19828307123448172
ERRLOWOUTPUT,ANAPHYLAXIS,0.9682015209730834
ERRLOWOUTPUT,ARTCO2,0.971449707078384
ERRLOWOUTPUT,BP,0.8408928505915507
ERRLOWOUTPUT,CATECHOL,0.3524105637532009
ERRLOWOUTPUT,CO,0.40352174249123784
ERRLOWOUTPUT,DISCONNECT,0.4741318966770883
ERRLOWOUTPUT,ERRCAUTER,0.7543450961140247
ERRLOWOUTPUT,EXPCO2,0.9919099325240408
ERRLOWOUTPUT,FIO2,0.7609408616715715
ERRLOWOUTPUT,HR,0.4076597969100655
ERRLOWOUTPUT,HRBP,0.0
ERRLOWOUTPUT,HREKG,0.8535027541899668
ERRLOWOUTPUT,HRSAT,0.8126701378255351
ERRLOWOUTPUT,INSUFFANESTH,0.30440307883609763
ERRLOWOUTPUT,INTUBATION,0.8961948644415465
ERRLOWOUTPUT,KINKEDTUBE,0.4904609509151975
ERRLOWOUTPUT,MINVOL,0.6736565165993056
ERRLOWOUTPUT,MINVOLSET,0.10770607480966475
ERRLOWOUTPUT,PAP,0.6455678935555187
ERRLOWOUTPUT,PRESS,0.5085065231702512
ERRLOWOUTPUT,PULMEMBOLUS,0.3227644829983955
ERRLOWOUTPUT,PVSAT,0.9033818181238488
ERRLOWOUTPUT,SAO2,0.9543682901618983
ERRLOWOUTPUT,SHUNT,0.4273769308885844
ERRLOWOUTPUT,TPR,0.6689240464491191
ERRLOWOUTPUT,VENTALV,0.9722783732352809
ERRLOWOUTPUT,VENTLUNG,0.9770258286301055
ERRLOWOUTPUT,VENTMACH,0.043389926830709864
ERRLOWOUTPUT,VENTTUBE,0.20206468791521084
EXPCO2,ARTCO2,9.837229962983252e-234
EXPCO2,BP,0.18024989380008008
EXPCO2,CATECHOL,0.16039613933363578
EXPCO2,CO,0.5614980596355832
EXPCO2,DISCONNECT,0.35902160514788045
EXPCO2,FIO2,0.407592150470379
EXPCO2,HR,0.23358374798187673
EXPCO2,INTUBATION,0.05972074855746094
EXPCO2,KINKEDTUBE,0.3290459323793624
EXPCO2,MINVOL,0.10714074990849644
EXPCO2,MINVOLSET,0.8647076739017667
EXPCO2,PAP,0.26007260426365036
EXPCO2,PRESS,0.5997040158567939
EXPCO2,PULMEMBOLUS,0.5727475545968286
EXPCO2,PVSAT,0.23245678638376197
EXPCO2,SAO2,0.07464040523530686
EXPCO2,SHUNT,0.18640458255414843
EXPCO2,VENTALV,2.653696831432422e-126
EXPCO2,VENTLUNG,6.962299647835221e-140
EXPCO2,VENTMACH,0.1638117199361582
EXPCO2,VENTTUBE,0.4281863979984939
FIO2,ARTCO2,0.7894973078460719
FIO2,BP,0.631785168961887
FIO2,CATECHOL,0.27569602402546084
FIO2,CO,0.1412628286191634
FIO2,DISCONNECT,0.9463450011989647
FIO2,HR,0.31645590876041774
FIO2,INTUBATION,0.09555794658318177
FIO2,MINVOLSET,0.6468946699659861
FIO2,PAP,0.09085570091253956
FIO2,PRESS,0.7332463412822903
FIO2,PULMEMBOLUS,0.13322784651469016
FIO2,PVSAT,1.1915251201949735e-38
FIO2,SAO2,0.09998937605971908
FIO2,SHUNT,0.12103379821677791
FIO2,VENTALV,0.6552453781183969
FIO2,VENTLUNG,0.9488706775464888
FIO2,VENTMACH,0.9027039373742957
FIO2,VENTTUBE,0.5796513243213737
HISTORY,ANAPHYLAXIS,0.8728757824979285
HISTORY,ARTCO2,0.3820158032478353
HISTORY,BP,0.30579332887775934
HISTORY,CATECHOL,0.6686256920908439
HISTORY,CO,0.1737128838952958
HISTORY,CVP,0.341515259365502
HISTORY,DISCONNECT,0.2324466991672223
HISTORY,ERRCAUTER,0.6655390926352942
HISTORY,ERRLOWOUTPUT,0.8510125718198543
HISTORY,EXPCO2,0.88976669615683
HISTORY,FIO2,0.8143490086807997
HISTORY,HR,0.20854099929405337
HISTORY,HRBP,0.12540297385218552
HISTORY,HREKG,0.44759667764461963
HISTORY,HRSAT,0.28625868315947617
HISTORY,HYPOVOLEMIA,0.9695542296476231
HISTORY,INSUFFANESTH,0.3188462144748553
HISTORY,INTUBATION,0.8747364483678914
HISTORY,KINKEDTUBE,0.8224665404135231
HISTORY,LVEDVOLUME,0.5661031083457516
HISTORY,LVFAILURE,0.0
HISTORY,MINVOL,0.1793648605643387
HISTORY,MINVOLSET,0.5421797548669597
HISTORY,PAP,0.6008040099338916
HISTORY,PCWP,0.17302331604798826
HISTORY,PRESS,0.6437405780584606
HISTORY,PULMEMBOLUS,0.240998374695278
HISTORY,PVSAT,0.7976297045190756
HISTORY,SAO2,0.8228438244991125
HISTORY,SHUNT,0.7642381542304022
HISTORY,STROKEVOLUME,3.618503963263702e-291
HISTORY,TPR,0.8439226490981226
HISTORY,VENTALV,0.348890933418876
HISTORY,VENTLUNG,0.3448197957272701
HISTORY,VENTMACH,0.7440438817293908
HISTORY,VENTTUBE,0.1194725087799278
HR,BP,0.9891074695642904
HR,CO,3.877555580269237e-38
HRBP,ANAPHYLAXIS,0.3355269399723595
HRBP,ARTCO2,0.08774323445867349
HRBP,BP,0.8552530948960799
HRBP,CATECHOL,0.17496681892544988
HRBP,CO,0.2089151226279275
HRBP,DISCONNECT,0.6077582608101497
HRBP,ERRCAUTER,0.21605669792514207
HRBP,EXPCO2,0.7354650020766048
HRBP,FIO2,0.1513272279813679
HRBP,HR,0.0
HRBP,HREKG,0.9486632804268842
HRBP,HRSAT,0.4318399387609651
HRBP,INSUFFANESTH,0.8618763631456259
HRBP,INTUBATION,0.1260332729390882
HRBP,KINKEDTUBE,0.6236348997568223
HRBP,MINVOL,0.5286863177323216
HRBP,MINVOLSET,0.5546570109057976
HRBP,PAP,0.123774526409587
HRBP,PRESS,0.887036026879419
HRBP,PULMEMBOLUS,0.7758849030214474
HRBP,PVSAT,0.4751334060604645
HRBP,SAO2,0.5105089604088628
HRBP,SHUNT,0.6182227301388856
HRBP,TPR,0.7293581575918907
HRBP,VENTALV,0.16012341196354637
HRBP,VENTLUNG,0.8567134279585951
HRBP,VENTMACH,0.5196937331070518
HRBP,VENTTUBE,0.6263687990233775
HREKG,ANAPHYLAXIS,0.5905834229071674
HREKG,ARTCO2,0.31287415137633584
HREKG,BP,0.4117241572817069
HREKG,CATECHOL,0.48825212483794544
HREKG,CO,0.7996866821516733
HREKG,DISCONNECT,0.16654006624476858
HREKG,ERRCAUTER,9.28445369547317e-219
HREKG,EXPCO2,0.7135994050726937
HREKG,FIO2,0.09877642983400871
HREKG,HR,0.0
HREKG,HRSAT,0.03500827223585236
HREKG,INSUFFANESTH,0.8789721103893338
HREKG,INTUBATION,0.17658896706296442
HREKG,KINKEDTUBE,0.9352273308731245
HREKG,MINVOL,0.13361237003534213
HREKG,MINVOLSET,0.8398189193973628
HREKG,PAP,0.28469551131482856
HREKG,PRESS,0.0923926438191047
HREKG,PULMEMBOLUS,0.25256373870560456
HREKG,PVSAT,0.4216896408792901
HREKG,SAO2,0.06724523587481201
HREKG,SHUNT,0.0911468251865548
HREKG,TPR,0.572598623031811
HREKG,VENTALV,0.29833812532394727
HREKG,VENTLUNG,0.09020643703722582
HREKG,VENTMACH,0.5539898602598551
HREKG,VENTTUBE,0.39144607891552685
HRSAT,ANAPHYLAXIS,0.4008558835168722
HRSAT,ARTCO2,0.8928788251817075
HRSAT,BP,0.906701047949558
HRSAT,CATECHOL,0.6246732227670888
HRSAT,CO,0.7643645598415818
HRSAT,DISCONNECT,0.5145962341416661
HRSAT,EXPCO2,0.6475203902915088
HRSAT,FIO2,0.10336475033230254
HRSAT,HR,0.0
HRSAT,INSUFFANESTH,0.5995718400300369
HRSAT,INTUBATION,0.27848661052159396
HRSAT,KINKEDTUBE,0.851858596141487
HRSAT,MINVOL,0.9678461473027438
HRSAT,MINVOLSET,0.4006176664549401
HRSAT,PAP,0.13400264014060298
HRSAT,PRESS,0.46462782006299286
HRSAT,PULMEMBOLUS,0.2792975423093305
HRSAT,PVSAT,0.7652399653427456
HRSAT,SAO2,0.6488836094622858
HRSAT,SHUNT,0.15947544101297728
HRSAT,TPR,0.68209491392299
HRSAT,VENTALV,0.9267935871617632
HRSAT,VENTLUNG,0.9891956826583145
HRSAT,VENTMACH,0.7813249114015889
HRSAT,VENTTUBE,0.8900183608258964
HYPOVOLEMIA,ANAPHYLAXIS,0.389303380222046
HYPOVOLEMIA,ARTCO2,0.74667012159913
HYPOVOLEMIA,BP,0.7093000009721899
HYPOVOLEMIA,CATECHOL,0.5465772251415661
HYPOVOLEMIA,CO,0.3647843067100157
HYPOVOLEMIA,DISCONNECT,0.14604715343316477
HYPOVOLEMIA,ERRCAUTER,0.13440476322353592
HYPOVOLEMIA,ERRLOWOUTPUT,0.6596526280454071
HYPOVOLEMIA,EXPCO2,0.9643426849634339
HYPOVOLEMIA,FIO2,0.15333371992379013
HYPOVOLEMIA,HR,0.15257458098107468
HYPOVOLEMIA,HRBP,0.3268791088907381
HYPOVOLEMIA,HREKG,0.40948128827855856
HYPOVOLEMIA,HRSAT,0.32304973708023854
HYPOVOLEMIA,INSUFFANESTH,0.9343149325022243
HYPOVOLEMIA,INTUBATION,0.2978652588591001
HYPOVOLEMIA,KINKEDTUBE,0.3066162873466844
HYPOVOLEMIA,LVEDVOLUME,0.0
HYPOVOLEMIA,LVFAILURE,0.5867681226715817
HYPOVOLEMIA,MINVOL,0.19798728829823753
HYPOVOLEMIA,MINVOLSET,0.4985526523728008
HYPOVOLEMIA,PAP,0.1114410242289888
HYPOVOLEMIA,PRESS,0.8718504739389142
HYPOVOLEMIA,PULMEMBOLUS,0.8328844995896034
HYPOVOLEMIA,PVSAT,0.9441013345838434
HYPOVOLEMIA,SAO2,0.9017686060205831
HYPOVOLEMIA,SHUNT,0.0680415278630368
HYPOVOLEMIA,STROKEVOLUME,0.0
HYPOVOLEMIA,TPR,0.5709359983364908
HYPOVOLEMIA,VENTALV,0.16560856922447942
HYPOVOLEMIA,VENTLUNG,0.8708473902560092
HYPOVOLEMIA,VENTMACH,0.7722443181853981
HYPOVOLEMIA,VENTTUBE,0.9795684583708638
INSUFFANESTH,ANAPHYLAXIS,0.11987085731894397
INSUFFANESTH,ARTCO2,0.334688802585327
INSUFFANESTH,BP,0.5110521367365506
INSUFFANESTH,CATECHOL,0.5961328276882956
INSUFFANESTH,CO,0.9855819185776051
INSUFFANESTH,DISCONNECT,0.16584642039159797
INSUFFANESTH,EXPCO2,0.07528324244423444
INSUFFANESTH,FIO2,0.3011047660531416
INSUFFANESTH,HR,0.3683477787678482
INSUFFANESTH,INTUBATION,0.34306548327414405
INSUFFANESTH,KINKEDTUBE,0.3934216506351351
INSUFFANESTH,MINVOL,0.3968653382141186
