node_i,node_j,p_value
Accident,Airbag,0.961870853456139
Accident,AntiTheft,0.15062928967941383
Accident,Antilock,0.429256227510469
Accident,CarValue,0.15344395580767317
Accident,Cushioning,0.8205625249163173
Accident,DrivHist,0.43536480731601457
Accident,DrivQuality,0.9919456027105058
Accident,DrivingSkill,0.971490174362494
Accident,HomeBase,0.4400862556735631
Accident,ILiCost,0.11417833169062074
Accident,MakeModel,0.9543006028640616
Accident,MedCost,0.8816398763382645
Accident,Mileage,0.06396300937639206
Accident,OtherCar,0.061064831223098345
Accident,OtherCarCost,2.3377406885472877e-226
Accident,PropCost,0.3621000821204527
Accident,SeniorTrain,0.427320888598003
Accident,Theft,0.8861991542946684
Accident,ThisCarCost,0.09428359100046581
Age,Accident,0.15430410410955922
Age,Airbag,0.292953974550143
Age,AntiTheft,0.20437666585491046
Age,Antilock,0.182004664267262
Age,CarValue,0.9046266390190003
Age,Cushioning,0.21084947646667893
Age,DrivHist,0.1670042675259762
Age,DrivQuality,0.7489323050075575
Age,DrivingSkill,0.07429162354155473
Age,HomeBase,0.059867435678137404
Age,ILiCost,0.7805670976967107
Age,MakeModel,0.15610279739755228
Age,MedCost,0.07624995088677614
Age,Mileage,0.7302015427887136
Age,OtherCar,0.7575891488975169
Age,OtherCarCost,0.45072770202553647
Age,PropCost,0.31807251536312836
Age,RiskAversion,6.080459387079529e-33
Age,RuggedAuto,0.09060589568564058
Age,SeniorTrain,2.571579473960601e-110
Age,SocioEcon,7.578872713783058e-11
Age,Theft,0.6006435307790058
Age,ThisCarCost,0.5005131356371384
Age,ThisCarDam,0.11457106996595606
Age,VehicleYear,0.24037135589445255
Airbag,DrivHist,0.3547576259735692
Airbag,ILiCost,0.3245446644268359
AntiTheft,Airbag,0.43085166095872574
AntiTheft,Cushioning,0.05341137496746847
AntiTheft,DrivHist,0.4890739413661347
AntiTheft,ILiCost,0.11093384485819109
AntiTheft,MedCost,0.751462333159124
AntiTheft,OtherCar,0.6701143560816771
AntiTheft,OtherCarCost,0.6313212650079504
AntiTheft,PropCost,0.08701138794555928
Antilock,Airbag,0.2083159587887538
Antilock,AntiTheft,0.6848794916261303
Antilock,CarValue,0.08486156233082894
Antilock,Cushioning,0.10047308880641383
Antilock,DrivHist,0.09877884852000544
Antilock,DrivingSkill,0.32346090308115094
Antilock,HomeBase,0.3806850634800272
Antilock,ILiCost,0.4087606829973639
Antilock,MedCost,0.3754872614249732
Antilock,OtherCar,0.848475395913272
Antilock,OtherCarCost,0.9215869089835138
Antilock,PropCost,0.9056654106946842
Antilock,SeniorTrain,0.1070645324361408
Antilock,Theft,0.062105839381878414
Antilock,ThisCarCost,0.5806107596683663
CarValue,Airbag,8.97472634119318e-72
CarValue,AntiTheft,0.9948622399202675
CarValue,Cushioning,0.706600728118739
CarValue,DrivHist,0.4507574445558249
CarValue,HomeBase,0.23262348157646107
CarValue,ILiCost,0.07314097110432696
CarValue,MedCost,0.5631040595546145
CarValue,OtherCar,0.5265249364689417
CarValue,OtherCarCost,0.1293785922011429
CarValue,PropCost,0.06271721732630735
Cushioning,Airbag,5.060981427002907e-121
Cushioning,DrivHist,0.5387789675837353
Cushioning,ILiCost,0.2763832627631274
DrivQuality,Airbag,0.507230892307444
DrivQuality,AntiTheft,0.4135429961727224
DrivQuality,Antilock,0.1409075221676364
DrivQuality,CarValue,0.11836805741804085
DrivQuality,Cushioning,0.8969852628180501
DrivQuality,DrivHist,0.2158904434085892
DrivQuality,DrivingSkill,4.030666555809596e-173
DrivQuality,HomeBase,0.11454316942158929
DrivQuality,ILiCost,0.1603087448517139
DrivQuality,MedCost,0.05450067511359308
DrivQuality,Mileage,0.5527757888877909
DrivQuality,OtherCar,0.8204862414303488
DrivQuality,OtherCarCost,0.6675519827168492
DrivQuality,PropCost,0.3296720927252021
