node_i,node_j,p_value
Accident,Airbag,0.534146316071404
Accident,AntiTheft,0.45776115967034503
Accident,Antilock,0.05075805968526563
Accident,CarValue,0.390148655731548
Accident,Cushioning,0.6813620380265918
Accident,DrivHist,0.16397775596739084
Accident,DrivQuality,0.7150511752134374
Accident,DrivingSkill,0.985996741873504
Accident,HomeBase,0.35697136821250425
Accident,ILiCost,0.47900172189197116
Accident,MakeModel,0.9999097980814154
Accident,MedCost,0.9998479461544834
Accident,Mileage,0.7801000210815219
Accident,OtherCar,0.06254043309254506
Accident,OtherCarCost,3.8011824662551216e-265
Accident,PropCost,0.3129373716439417
Accident,SeniorTrain,0.2879921503690514
Accident,Theft,0.5245922973985304
Accident,ThisCarCost,0.08246113969257884
Age,Accident,0.3970304455605877
Age,Airbag,0.30447895360077387
Age,AntiTheft,0.11205873270393296
Age,Antilock,0.20352904490061516
Age,CarValue,0.5550753463973523
Age,Cushioning,0.8033934656298174
Age,DrivHist,0.5105147496414179
Age,DrivQuality,0.07369231977610913
Age,DrivingSkill,0.2047161787343518
Age,HomeBase,0.16956380710080743
Age,ILiCost,0.15094783044658305
Age,MakeModel,0.38121189641330394
Age,MedCost,0.4072959115261222
Age,Mileage,0.49990114891991577
Age,OtherCar,0.6284047155281098
Age,OtherCarCost,0.6299218914725351
Age,PropCost,0.21203623221559556
Age,RiskAversion,4.007012873784411e-10
Age,RuggedAuto,0.5746545637665266
Age,SeniorTrain,6.876966248718413e-65
Age,SocioEcon,0.0006646655473795595
Age,Theft,0.2922433230168651
Age,ThisCarCost,0.6210568515998072
Age,ThisCarDam,0.7203724046522422
Age,VehicleYear,0.22333450050447404
Airbag,DrivHist,0.2500636262864972
Airbag,ILiCost,0.4987747577959314
AntiTheft,Airbag,0.5476981223912569
AntiTheft,Cushioning,0.4763887330805342
AntiTheft,DrivHist,0.270162214204109
AntiTheft,ILiCost,0.5091748671975931
AntiTheft,MedCost,0.16676473946616904
AntiTheft,OtherCar,0.2158177617606519
AntiTheft,OtherCarCost,0.7335344355035536
AntiTheft,PropCost,0.13470852397042168
Antilock,Airbag,0.5606815659709916
Antilock,AntiTheft,0.9004717223370937
Antilock,CarValue,0.2887833595133128
Antilock,Cushioning,0.8146382143842281
Antilock,DrivHist,0.7897099287617981
Antilock,DrivingSkill,0.5248792354503395
Antilock,HomeBase,0.6493187118078652
Antilock,ILiCost,0.11627385290214967
Antilock,MedCost,0.11602098124227939
Antilock,OtherCar,0.13327314415561836
Antilock,OtherCarCost,0.1239454421134596
Antilock,PropCost,0.17233422909245882
Antilock,SeniorTrain,0.195695371320218
Antilock,Theft,0.6036690143632326
Antilock,ThisCarCost,0.14241481857856836
CarValue,Airbag,0.09952359067256089
CarValue,AntiTheft,0.9442891734687203
CarValue,Cushioning,0.5209866055511945
CarValue,DrivHist,0.4730310439844768
CarValue,HomeBase,0.1610963644763854
CarValue,ILiCost,0.3866156848513165
CarValue,MedCost,0.7708410620289247
CarValue,OtherCar,0.6777535524557097
CarValue,OtherCarCost,0.8005488419948424
CarValue,PropCost,0.9999840380751839
Cushioning,Airbag,4.266856494022557e-55
Cushioning,DrivHist,0.7357886570088441
Cushioning,ILiCost,0.31063572484480034
DrivQuality,Airbag,0.6365837231997877
DrivQuality,AntiTheft,0.07193422968485932
DrivQuality,Antilock,0.10092694675534075
DrivQuality,CarValue,0.1604324121062272
DrivQuality,Cushioning,0.9231064823989689
DrivQuality,DrivHist,0.8388646298009966
DrivQuality,DrivingSkill,1.0343626414166305e-64
DrivQuality,HomeBase,0.11005946522611001
DrivQuality,ILiCost,0.051159160009371554
DrivQuality,MedCost,0.10595630410451197
DrivQuality,Mileage,0.6580209686094598
DrivQuality,OtherCar,0.775155933855877
DrivQuality,OtherCarCost,0.16713150629757703
DrivQuality,PropCost,0.09116728528938572
DrivQuality,SeniorTrain,0.016989556436375716
DrivQuality,Theft,0.04223721012884393
DrivQuality,ThisCarCost,0.31742139696875377
DrivingSkill,Airbag,0.4879531872084134
DrivingSkill,AntiTheft,0.2978665719331543
DrivingSkill,CarValue,0.21298570409481618
DrivingSkill,Cushioning,0.4104072327226566
DrivingSkill,DrivHist,2.5714860317800666e-185
DrivingSkill,HomeBase,0.8008778148959923
DrivingSkill,ILiCost,0.05562988288589756
DrivingSkill,MedCost,0.09911296547274259
DrivingSkill,OtherCar,0.7821623551465667
DrivingSkill,OtherCarCost,0.20769495260769313
DrivingSkill,PropCost,0.14326413788803133
DrivingSkill,SeniorTrain,0.13532055621942596
DrivingSkill,Theft,0.15769166447420943
DrivingSkill,ThisCarCost,0.09668197138275211
GoodStudent,Accident,0.2795541505266971
GoodStudent,Age,1.272169124140975e-131
GoodStudent,Airbag,0.0640796470739541
GoodStudent,AntiTheft,0.23487072286653402
GoodStudent,Antilock,0.29312906743097095
GoodStudent,CarValue,0.055382667126404515
GoodStudent,Cushioning,0.1877463662059746
GoodStudent,DrivHist,0.5917648922939153
GoodStudent,DrivQuality,0.48367806575923533
GoodStudent,DrivingSkill,0.69734215665278
GoodStudent,HomeBase,0.2362448514225326
GoodStudent,ILiCost,0.6808749336638951
GoodStudent,MakeModel,0.06579858578714004
GoodStudent,MedCost,0.10351104854688081
GoodStudent,Mileage,0.6564542505374735
GoodStudent,OtherCar,0.3570640537120828
GoodStudent,OtherCarCost,0.9363812059278946
GoodStudent,PropCost,0.17602258057050138
GoodStudent,RiskAversion,0.052590663615958724
GoodStudent,RuggedAuto,0.20692022293385398
GoodStudent,SeniorTrain,0.41528808249532756
GoodStudent,SocioEcon,3.6633194950829235e-23
GoodStudent,Theft,0.10102400763062103
GoodStudent,ThisCarCost,0.46881214002480853
GoodStudent,ThisCarDam,0.16393363871321015
GoodStudent,VehicleYear,0.2681468794805893
HomeBase,Airbag,0.6775667292000683
HomeBase,AntiTheft,0.00030789559792533655
HomeBase,Cushioning,0.18065050887091091
HomeBase,DrivHist,0.21296180510150745
HomeBase,ILiCost,0.47706453686219763
HomeBase,MedCost,0.9582838657034974
HomeBase,OtherCar,0.8524874542492714
HomeBase,OtherCarCost,0.21521541343573594
HomeBase,PropCost,0.22742201335574896
ILiCost,DrivHist,0.9901991898628917
MakeModel,Airbag,0.18705946359639908
MakeModel,AntiTheft,0.9807228700463142
MakeModel,Antilock,5.663957474899345e-44
MakeModel,CarValue,2.591510203920967e-131
MakeModel,Cushioning,0.08233608526004373
MakeModel,DrivHist,0.9501477143243291
MakeModel,DrivQuality,0.2663055252672014
MakeModel,DrivingSkill,0.509683546088666
MakeModel,HomeBase,0.1534897737950381
MakeModel,ILiCost,0.663716112382813
MakeModel,MedCost,0.21265679051855257
MakeModel,Mileage,0.3056022015197599
MakeModel,OtherCar,0.5985757743175191
MakeModel,OtherCarCost,0.8695805603692021
MakeModel,PropCost,0.70018716353901
MakeModel,SeniorTrain,0.3721356142949839
MakeModel,Theft,0.06533282555701364
MakeModel,ThisCarCost,0.40059390976105175
MedCost,Airbag,0.8045445575102127
MedCost,Cushioning,1.7807048163754632e-28
MedCost,DrivHist,0.11302023153294857
MedCost,ILiCost,0.25885752171516674
Mileage,Airbag,0.6636016803965947
Mileage,AntiTheft,0.4768538724750496
Mileage,Antilock,0.3310611439583054
Mileage,CarValue,9.067551940437714e-36
Mileage,Cushioning,0.24487601952558286
Mileage,DrivHist,0.691364228822678
Mileage,DrivingSkill,0.7890888358546427
Mileage,HomeBase,0.4703693961157225
Mileage,ILiCost,0.17350633433322984
Mileage,MedCost,0.22431049878867884
Mileage,OtherCar,0.432099946111255
Mileage,OtherCarCost,0.051281273449810476
Mileage,PropCost,0.6219776605185219
Mileage,SeniorTrain,0.09906082218316814
Mileage,Theft,0.8489450621253928
Mileage,ThisCarCost,0.4205247499418276
OtherCar,Airbag,0.4702210913588242
OtherCar,Cushioning,0.09456293355348348
OtherCar,DrivHist,0.12681867691472645
OtherCar,ILiCost,0.310154436942671
OtherCar,MedCost,0.7481766896493331
OtherCarCost,Airbag,0.052082403318389404
OtherCarCost,Cushioning,0.9566321140592103
OtherCarCost,DrivHist,0.055711633763170405
OtherCarCost,ILiCost,0.013835088281731913
OtherCarCost,MedCost,0.19019713569477198
OtherCarCost,OtherCar,0.906430654620882
PropCost,Airbag,0.45062981132874735
PropCost,Cushioning,0.40702324695010267
PropCost,DrivHist,0.13368092945317564
PropCost,ILiCost,0.0978267327639328
PropCost,MedCost,0.7667945101742505
PropCost,OtherCar,0.2852617966465604
PropCost,OtherCarCost,5.18838179640258e-251
RiskAversion,Accident,0.40172261859093805
RiskAversion,Airbag,0.8305560684996492
RiskAversion,AntiTheft,5.0214954505077183e-231
RiskAversion,Antilock,0.16514154808955683
RiskAversion,CarValue,0.36748901424278746
RiskAversion,Cushioning,0.059794182901600386
RiskAversion,DrivHist,2.6868568130923165e-36
RiskAversion,DrivQuality,0.15103673583274765
RiskAversion,DrivingSkill,7.896828140800803e-76
RiskAversion,HomeBase,1.378613835768818e-97
RiskAversion,ILiCost,0.6739625406683385
RiskAversion,MakeModel,0.7000214999030416
RiskAversion,MedCost,0.4296877655445052
RiskAversion,Mileage,0.2978372020221866
RiskAversion,OtherCar,0.06578473251344742
RiskAversion,OtherCarCost,0.997238678051988
RiskAversion,PropCost,0.3695708528810178
RiskAversion,RuggedAuto,0.43548130440206173
RiskAversion,SeniorTrain,1.2356387036718242e-06
RiskAversion,Theft,0.3077785962460621
RiskAversion,ThisCarCost,0.2989751926795243
RiskAversion,ThisCarDam,0.7015432839017278
RiskAversion,VehicleYear,0.4910523663148273
RuggedAuto,Accident,0.9204773053978355
RuggedAuto,Airbag,0.05083922180053356
