node_i,node_j,p_value
asia,bronc,0.23243385767730837
asia,dysp,0.9700469677587311
asia,either,0.33416738605143237
asia,lung,0.8049101145286905
asia,smoke,0.8024136715837746
asia,tub,0.001426622053576991
asia,xray,0.8708518339476738
bronc,dysp,0.0
bronc,either,0.9780288355325771
bronc,xray,0.39332609042865063
either,dysp,0.7324642309336928
either,xray,6.316915774833591e-258
lung,bronc,0.7160933246779821
lung,dysp,0.9644422145857386
lung,either,0.0
lung,xray,0.1455316000153948
smoke,bronc,8.95742813032502e-149
smoke,dysp,0.4779356214405498
smoke,either,0.3002099390876501
smoke,lung,8.0826021501938e-157
smoke,xray,0.06705854584723644
tub,bronc,0.8608971094277051
tub,dysp,0.9455279718306344
tub,either,8.390556746751881e-247
tub,lung,0.6573947235262181
tub,smoke,0.9770548142613897
tub,xray,0.13268124981904875
xray,dysp,0.7960680067391425
