node_i,node_j,p_value
asia,bronc,0.556627296654892
asia,dysp,0.5707243216380518
asia,either,0.638726599896188
asia,lung,0.8903503209205031
asia,smoke,0.6411767455113851
asia,tub,0.16788377857815945
asia,xray,0.741674510926045
bronc,dysp,0.0
bronc,either,0.9229479121727473
bronc,xray,0.5239380052473853
either,dysp,0.731957426740279
either,xray,0.008617070978134952
lung,bronc,0.6039607780865583
lung,dysp,0.7275090840985639
lung,either,0.0
lung,xray,0.19462980785661216
smoke,bronc,2.5168818710161226e-88
smoke,dysp,0.4708682995236225
smoke,either,0.3462413117694231
smoke,lung,1.162835804194978e-72
smoke,xray,0.4052980724678307
tub,bronc,0.8395078242285003
tub,dysp,0.6796344410294437
tub,either,3.569871916099864e-37
tub,lung,0.2666271311255406
tub,smoke,0.730859715526798
tub,xray,0.2019192352042398
xray,dysp,0.5439520085413555
