node_i,node_j,p_value
asia,bronc,0.34023640526728555
asia,dysp,0.5810466219676143
asia,either,0.4273122946312
asia,lung,0.11348404651174565
asia,smoke,0.05503732769120716
asia,tub,4.895378927379489e-06
asia,xray,0.6335486294828583
bronc,dysp,0.0
bronc,either,0.29405924041333786
bronc,xray,0.5429594984175106
either,dysp,0.5475628701396857
either,xray,6.897952889708974e-240
lung,bronc,0.3756884518403996
lung,dysp,0.4728888282096678
lung,either,0.0
lung,xray,0.18568952617665418
smoke,bronc,9.72915325479071e-176
smoke,dysp,0.8813790732220841
smoke,either,0.3424212403408457
smoke,lung,6.454765615836962e-109
smoke,xray,0.9319667965973094
tub,bronc,0.11733615882110779
tub,dysp,0.4202020635992496
tub,either,4.848164562562686e-230
tub,lung,0.44736418134329226
tub,smoke,0.6973538604594329
tub,xray,0.19036819424175322
xray,dysp,0.1940278814030312
