node_i,node_j,condition,p_value
asia,tub,,0.00023672403458651028
asia,smoke,,0.04984107143520662
asia,lung,,0.5276862357257751
asia,bronc,,0.13683380974915374
asia,either,,0.05243244655732234
asia,xray,,0.25981162548798664
asia,dysp,,0.5387914915119331
tub,smoke,,0.661212527077907
tub,lung,,0.8955614116559116
tub,bronc,,0.9302906766091995
tub,either,,4.0662915975691734e-248
tub,xray,,9.434931820553588e-184
tub,dysp,,2.4212088894372844e-26
smoke,lung,,9.227737922360944e-197
smoke,bronc,,0.0
smoke,either,,2.8125029352442385e-160
smoke,xray,,8.991795952818692e-91
smoke,dysp,,3.058728009214277e-244
lung,bronc,,1.1942862816084825e-12
lung,either,,0.0
lung,xray,,0.0
lung,dysp,,3.139650160076152e-149
bronc,either,,6.066461741077775e-11
bronc,xray,,4.150689185620861e-10
bronc,dysp,,0.0
either,xray,,0.0
either,dysp,,5.15555331456469e-174
xray,dysp,,9.889886750926987e-106
asia,tub,smoke,8.594049681296839e-05
asia,smoke,tub,0.047831797843211905
tub,either,xray,1.3604400290464394e-65
tub,either,xray,1.3604400290464394e-65
tub,either,xray,1.3604400290464394e-65
tub,xray,either,0.09482187853017475
tub,dysp,either,0.9431053876262672
tub,dysp,either,0.9431053876262672
smoke,lung,bronc,2.4674995558461224e-184
smoke,lung,bronc,2.4674995558461224e-184
smoke,lung,bronc,2.4674995558461224e-184
smoke,lung,bronc,2.4674995558461224e-184
smoke,lung,bronc,2.4674995558461224e-184
smoke,bronc,xray,0.0
smoke,bronc,xray,0.0
smoke,bronc,xray,0.0
smoke,bronc,xray,0.0
smoke,bronc,xray,0.0
smoke,either,lung,0.3100935763859464
smoke,either,lung,0.3100935763859464
smoke,xray,lung,0.26002066369442156
smoke,xray,lung,0.26002066369442156
smoke,dysp,bronc,1.1057086791562452e-14
smoke,dysp,bronc,1.1057086791562452e-14
smoke,dysp,bronc,1.1057086791562452e-14
smoke,dysp,bronc,1.1057086791562452e-14
smoke,dysp,bronc,1.1057086791562452e-14
lung,bronc,smoke,0.26145960258670503
lung,either,xray,0.0
lung,either,xray,0.0
lung,either,xray,0.0
lung,either,xray,0.0
lung,xray,either,0.08233819899832368
lung,xray,either,0.08233819899832368
lung,dysp,either,0.8003522252828779
lung,dysp,either,0.8003522252828779
bronc,either,smoke,0.32608761025245936
bronc,xray,smoke,0.24056878413733312
bronc,dysp,xray,0.0
bronc,dysp,xray,0.0
bronc,dysp,xray,0.0
bronc,dysp,xray,0.0
either,xray,bronc,0.0
either,xray,bronc,0.0
either,xray,bronc,0.0
either,xray,bronc,0.0
either,xray,bronc,0.0
either,dysp,bronc,1.936274107802413e-243
either,dysp,bronc,1.936274107802413e-243
either,dysp,bronc,1.936274107802413e-243
either,dysp,bronc,1.936274107802413e-243
either,dysp,bronc,1.936274107802413e-243
xray,dysp,bronc,2.214191951190827e-150
xray,dysp,bronc,2.214191951190827e-150
xray,dysp,bronc,2.214191951190827e-150
xray,dysp,bronc,2.214191951190827e-150
xray,dysp,bronc,2.214191951190827e-150
smoke,lung,"asia,bronc",7.559072297051685e-181
smoke,lung,"asia,bronc",7.559072297051685e-181
smoke,lung,"asia,bronc",7.559072297051685e-181
smoke,bronc,"asia,lung",0.0
smoke,bronc,"asia,lung",0.0
smoke,bronc,"asia,lung",0.0
smoke,dysp,"bronc,lung",0.8243815878230757
either,xray,"dysp,lung",1.9232038132464396e-218
either,xray,"dysp,lung",1.9232038132464396e-218
either,xray,"dysp,lung",1.9232038132464396e-218
either,dysp,"lung,tub",0.4568571379256158
