node_i,node_j,p_value
asia,bronc,0.5189222177389969
asia,dysp,0.4285294539176807
asia,either,0.7524334632563845
asia,lung,0.8127397705066537
asia,smoke,0.6437958420952404
asia,tub,0.0984519622150778
asia,xray,0.6210600224831211
bronc,dysp,0.0
bronc,either,0.7516549886763924
bronc,xray,0.4769999554917125
either,dysp,0.729202089163296
either,xray,0.0
lung,bronc,0.7725796892148478
lung,dysp,0.8353339584866699
lung,either,0.0
lung,xray,0.20470412885943354
smoke,bronc,8.605080180310137e-100
smoke,dysp,0.5275505977610522
smoke,either,0.33550006121832604
smoke,lung,9.070356296028482e-94
smoke,xray,0.2299530549103761
tub,bronc,0.6965727291086559
tub,dysp,0.7970312272986496
tub,either,6.335760558441118e-148
tub,lung,0.6153715262469671
tub,smoke,0.7714766001590054
tub,xray,0.20465828713185905
xray,dysp,0.4852077545417205
