node_i,node_j,condition,p_value
asia,tub,,0.17091367099191418
asia,smoke,,0.5400142731163509
asia,lung,,0.8977189746938784
asia,bronc,,0.14770931319315525
asia,either,,0.6093236865501179
asia,xray,,0.7920746557255616
asia,dysp,,0.9991694310011757
tub,smoke,,0.7825339187475495
tub,lung,,0.7829223235790402
tub,bronc,,0.3865693313646955
tub,either,,5.923582934316895e-202
tub,xray,,2.5882510213043697e-153
tub,dysp,,4.886783821558263e-18
smoke,lung,,4.335962514845769e-134
smoke,bronc,,7.462489805804904e-251
smoke,either,,5.015770519938081e-106
smoke,xray,,2.2564768380723064e-64
smoke,dysp,,2.9081395739040506e-157
lung,bronc,,4.877377432458257e-10
lung,either,,0.0
lung,xray,,0.0
lung,dysp,,3.3061709302158755e-101
bronc,either,,1.4215105811334324e-07
bronc,xray,,0.0004202583270756278
bronc,dysp,,0.0
either,xray,,0.0
either,dysp,,1.7260010699257202e-118
xray,dysp,,3.2217017275812704e-58
tub,either,xray,8.209389958913835e-50
tub,either,xray,8.209389958913835e-50
tub,xray,either,0.20050382812914413
tub,xray,either,0.20050382812914413
tub,dysp,either,0.5307834731570874
tub,dysp,either,0.5307834731570874
smoke,lung,either,5.056316861294846e-29
smoke,lung,either,5.056316861294846e-29
smoke,lung,either,5.056316861294846e-29
smoke,lung,either,5.056316861294846e-29
smoke,bronc,either,2.4103233547342864e-243
smoke,bronc,either,2.4103233547342864e-243
smoke,bronc,either,2.4103233547342864e-243
smoke,bronc,either,2.4103233547342864e-243
smoke,either,lung,0.32358960074773013
smoke,xray,lung,0.07368012637179443
smoke,dysp,either,5.569542100597835e-119
smoke,dysp,either,5.569542100597835e-119
smoke,dysp,either,5.569542100597835e-119
smoke,dysp,either,5.569542100597835e-119
lung,bronc,smoke,0.7948434000557549
lung,either,xray,0.0
lung,either,xray,0.0
lung,either,xray,0.0
lung,either,xray,0.0
lung,xray,either,0.20259139009059016
lung,xray,either,0.20259139009059016
lung,xray,either,0.20259139009059016
lung,xray,either,0.20259139009059016
lung,dysp,either,0.5329945171023085
lung,dysp,either,0.5329945171023085
lung,dysp,either,0.5329945171023085
lung,dysp,either,0.5329945171023085
bronc,either,lung,0.6685284587186591
bronc,xray,lung,0.4859342835514572
bronc,dysp,either,0.0
bronc,dysp,either,0.0
bronc,dysp,either,0.0
bronc,dysp,either,0.0
either,xray,bronc,0.0
either,xray,bronc,0.0
either,xray,bronc,0.0
either,xray,bronc,0.0
either,xray,bronc,0.0
either,dysp,bronc,1.6743365434184538e-164
either,dysp,bronc,1.6743365434184538e-164
either,dysp,bronc,1.6743365434184538e-164
either,dysp,bronc,1.6743365434184538e-164
either,dysp,bronc,1.6743365434184538e-164
xray,dysp,either,0.641495432878525
xray,dysp,either,0.641495432878525
smoke,lung,"bronc,dysp",1.4485305551911928e-109
smoke,bronc,"dysp,lung",7.0818978141489125e-121
smoke,dysp,"bronc,lung",0.4190039178312617
either,xray,"dysp,lung",5.488797818412253e-182
either,xray,"dysp,lung",5.488797818412253e-182
either,xray,"dysp,lung",5.488797818412253e-182
either,dysp,"lung,tub",0.7441618385769804
