node_i,node_j,p_value
Akt,Erk,0.0
Akt,Jnk,0.05977835335214427
Akt,Mek,0.0
Akt,P38,0.31757662281161725
Akt,PIP2,0.816059260941497
Akt,PIP3,0.2058120515689735
Akt,PKA,0.0
Akt,PKC,0.5063297977125234
Akt,Plcg,0.9955647582334974
Akt,Raf,0.41385194515834056
Erk,Jnk,0.18534602294429067
Erk,Mek,0.0
Erk,P38,0.2243735201092913
Erk,PIP2,0.6772848681853074
Erk,PIP3,0.17438564798689393
Erk,PKA,0.0
Erk,PKC,0.2546833967324077
Erk,Plcg,0.9970379014838272
Erk,Raf,0.6709258754735179
Jnk,Mek,0.00017950078429928318
Jnk,P38,0.1785922566736016
Jnk,PIP2,0.7600367200046445
Jnk,PIP3,0.22248000438947543
Jnk,PKA,0.0
Jnk,PKC,0.0
Jnk,Plcg,0.1928080480662985
Jnk,Raf,0.26322265713891274
Mek,P38,0.07378294666436196
Mek,PIP2,0.9766342796529028
Mek,PIP3,0.5127491240323794
Mek,PKA,0.0
Mek,PKC,1.355360606238605e-306
Mek,Plcg,0.8327577678569911
Mek,Raf,0.0
P38,PIP2,0.18683817287615456
P38,PIP3,0.20758885476775446
P38,PKA,0.0
P38,PKC,0.0
P38,Plcg,0.14176193934908995
P38,Raf,0.4188160399003576
PIP2,PIP3,3.5983336510695716e-113
PIP2,PKA,0.7993000104087873
PIP2,PKC,0.23533455268373304
PIP2,Plcg,0.0
PIP2,Raf,0.5515262821323118
PIP3,PKA,0.06138149244411441
PIP3,PKC,0.8156894772142296
PIP3,Plcg,0.0
PIP3,Raf,0.23797925785246393
PKA,PKC,0.0
PKA,Plcg,0.5493459046040884
PKA,Raf,2.407503300434558e-230
PKC,Plcg,0.7252131179208654
PKC,Raf,0.0
Plcg,Raf,0.09590314254254655
