node_i,node_j,condition,p_value
Akt,Erk,,0.0
Akt,Jnk,,0.0
Akt,Mek,,0.0
Akt,P38,,0.0
Akt,PIP2,,0.7503782692475383
Akt,PIP3,,0.8293487512394386
Akt,PKA,,0.0
Akt,PKC,,0.0
Akt,Plcg,,0.41553481711406437
Akt,Raf,,0.0
Erk,Jnk,,2.1489133095875042e-261
Erk,Mek,,0.0
Erk,P38,,0.0
Erk,PIP2,,0.8939705496481516
Erk,PIP3,,0.09391719762979527
Erk,PKA,,0.0
Erk,PKC,,3.3271061552553835e-170
Erk,Plcg,,0.29000237041294624
Erk,Raf,,0.0
Jnk,Mek,,0.0
Jnk,P38,,0.0
Jnk,PIP2,,0.555631050936509
Jnk,PIP3,,0.8979339954706187
Jnk,PKA,,0.0
Jnk,PKC,,0.0
Jnk,Plcg,,0.2972675480421246
Jnk,Raf,,0.0
Mek,P38,,0.0
Mek,PIP2,,0.5447652567693557
Mek,PIP3,,0.5085221776702664
Mek,PKA,,0.0
Mek,PKC,,0.0
Mek,Plcg,,0.4373868122052017
Mek,Raf,,0.0
P38,PIP2,,0.9096775504824423
P38,PIP3,,0.47824410494938085
P38,PKA,,0.0
P38,PKC,,0.0
P38,Plcg,,0.6490626990891536
P38,Raf,,0.0
PIP2,PIP3,,5.0373304362154834e-139
PIP2,PKA,,0.5677005832223752
PIP2,PKC,,0.4177508080056376
PIP2,Plcg,,0.0
PIP2,Raf,,0.5672190379313538
PIP3,PKA,,0.9741366650500582
PIP3,PKC,,0.6409917252864284
PIP3,Plcg,,0.0
PIP3,Raf,,0.8748073121002687
PKA,PKC,,0.0
PKA,Plcg,,0.8547986426660229
PKA,Raf,,0.0
PKC,Plcg,,0.8926418621910273
PKC,Raf,,0.0
Plcg,Raf,,0.5879436734651251
Akt,Erk,P38,0.0
Akt,Erk,P38,0.0
Akt,Erk,P38,0.0
Akt,Erk,P38,0.0
Akt,Erk,P38,0.0
Akt,Erk,P38,0.0
Akt,Jnk,P38,3.619795232569219e-252
Akt,Jnk,P38,3.619795232569219e-252
Akt,Jnk,P38,3.619795232569219e-252
Akt,Jnk,P38,3.619795232569219e-252
Akt,Jnk,P38,3.619795232569219e-252
Akt,Jnk,P38,3.619795232569219e-252
Akt,Mek,P38,0.0
Akt,Mek,P38,0.0
Akt,Mek,P38,0.0
Akt,Mek,P38,0.0
Akt,Mek,P38,0.0
Akt,Mek,P38,0.0
Akt,P38,Jnk,0.0
Akt,P38,Jnk,0.0
Akt,P38,Jnk,0.0
Akt,P38,Jnk,0.0
Akt,P38,Jnk,0.0
Akt,P38,Jnk,0.0
Akt,PKA,P38,0.0
Akt,PKA,P38,0.0
Akt,PKA,P38,0.0
Akt,PKA,P38,0.0
Akt,PKA,P38,0.0
Akt,PKA,P38,0.0
Akt,PKC,P38,4.575752919267093e-209
Akt,PKC,P38,4.575752919267093e-209
Akt,PKC,P38,4.575752919267093e-209
Akt,PKC,P38,4.575752919267093e-209
Akt,PKC,P38,4.575752919267093e-209
Akt,PKC,P38,4.575752919267093e-209
Akt,Raf,P38,0.0
Akt,Raf,P38,0.0
Akt,Raf,P38,0.0
Akt,Raf,P38,0.0
Akt,Raf,P38,0.0
Akt,Raf,P38,0.0
Erk,Jnk,P38,4.668371771197062e-109
Erk,Jnk,P38,4.668371771197062e-109
Erk,Jnk,P38,4.668371771197062e-109
Erk,Jnk,P38,4.668371771197062e-109
Erk,Jnk,P38,4.668371771197062e-109
Erk,Jnk,P38,4.668371771197062e-109
Erk,Mek,P38,0.0
Erk,Mek,P38,0.0
Erk,Mek,P38,0.0
Erk,Mek,P38,0.0
Erk,Mek,P38,0.0
Erk,Mek,P38,0.0
Erk,P38,Akt,5.422033099941868e-196
Erk,P38,Akt,5.422033099941868e-196
Erk,P38,Akt,5.422033099941868e-196
Erk,P38,Akt,5.422033099941868e-196
Erk,P38,Akt,5.422033099941868e-196
Erk,P38,Akt,5.422033099941868e-196
Erk,PKA,P38,0.0
Erk,PKA,P38,0.0
Erk,PKA,P38,0.0
Erk,PKA,P38,0.0
Erk,PKA,P38,0.0
Erk,PKA,P38,0.0
Erk,PKC,P38,1.2656276490905336e-50
Erk,PKC,P38,1.2656276490905336e-50
Erk,PKC,P38,1.2656276490905336e-50
Erk,PKC,P38,1.2656276490905336e-50
Erk,PKC,P38,1.2656276490905336e-50
Erk,PKC,P38,1.2656276490905336e-50
Erk,Raf,P38,9.749530563188861e-151
Erk,Raf,P38,9.749530563188861e-151
Erk,Raf,P38,9.749530563188861e-151
Erk,Raf,P38,9.749530563188861e-151
Erk,Raf,P38,9.749530563188861e-151
Erk,Raf,P38,9.749530563188861e-151
Jnk,Mek,P38,0.0
Jnk,Mek,P38,0.0
Jnk,Mek,P38,0.0
Jnk,Mek,P38,0.0
Jnk,Mek,P38,0.0
Jnk,Mek,P38,0.0
Jnk,P38,Akt,0.0
Jnk,P38,Akt,0.0
Jnk,P38,Akt,0.0
Jnk,P38,Akt,0.0
Jnk,P38,Akt,0.0
Jnk,P38,Akt,0.0
Jnk,PKA,P38,0.0
Jnk,PKA,P38,0.0
Jnk,PKA,P38,0.0
Jnk,PKA,P38,0.0
Jnk,PKA,P38,0.0
Jnk,PKA,P38,0.0
Jnk,PKC,P38,0.0
Jnk,PKC,P38,0.0
Jnk,PKC,P38,0.0
Jnk,PKC,P38,0.0
Jnk,PKC,P38,0.0
Jnk,PKC,P38,0.0
Jnk,Raf,P38,0.0
Jnk,Raf,P38,0.0
Jnk,Raf,P38,0.0
Jnk,Raf,P38,0.0
Jnk,Raf,P38,0.0
Jnk,Raf,P38,0.0
Mek,P38,Akt,0.0
Mek,P38,Akt,0.0
Mek,P38,Akt,0.0
Mek,P38,Akt,0.0
Mek,P38,Akt,0.0
Mek,P38,Akt,0.0
Mek,PKA,P38,0.0
Mek,PKA,P38,0.0
Mek,PKA,P38,0.0
Mek,PKA,P38,0.0
Mek,PKA,P38,0.0
Mek,PKA,P38,0.0
Mek,PKC,P38,0.0
Mek,PKC,P38,0.0
Mek,PKC,P38,0.0
Mek,PKC,P38,0.0
Mek,PKC,P38,0.0
Mek,PKC,P38,0.0
Mek,Raf,P38,0.0
Mek,Raf,P38,0.0
Mek,Raf,P38,0.0
Mek,Raf,P38,0.0
Mek,Raf,P38,0.0
Mek,Raf,P38,0.0
P38,PKA,Akt,0.0
P38,PKA,Akt,0.0
P38,PKA,Akt,0.0
P38,PKA,Akt,0.0
P38,PKA,Akt,0.0
P38,PKA,Akt,0.0
P38,PKC,Akt,0.0
P38,PKC,Akt,0.0
P38,PKC,Akt,0.0
P38,PKC,Akt,0.0
P38,PKC,Akt,0.0
P38,PKC,Akt,0.0
P38,Raf,Akt,0.0
P38,Raf,Akt,0.0
P38,Raf,Akt,0.0
P38,Raf,Akt,0.0
P38,Raf,Akt,0.0
P38,Raf,Akt,0.0
PIP2,PIP3,Plcg,0.0
PIP2,Plcg,PIP3,0.0
PIP3,Plcg,PIP2,0.0
PKA,PKC,P38,0.0
PKA,PKC,P38,0.0
PKA,PKC,P38,0.0
PKA,PKC,P38,0.0
PKA,PKC,P38,0.0
PKA,PKC,P38,0.0
PKA,Raf,P38,0.0
PKA,Raf,P38,0.0
PKA,Raf,P38,0.0
PKA,Raf,P38,0.0
PKA,Raf,P38,0.0
PKA,Raf,P38,0.0
PKC,Raf,P38,0.0
PKC,Raf,P38,0.0
PKC,Raf,P38,0.0
PKC,Raf,P38,0.0
PKC,Raf,P38,0.0
PKC,Raf,P38,0.0
