node_i,node_j,condition,p_value
Akt,Erk,,0.0
Akt,Jnk,,0.0
Akt,Mek,,0.0
Akt,P38,,0.0
Akt,PIP2,,0.9983569367724756
Akt,PIP3,,0.3266226156317853
Akt,PKA,,0.0
Akt,PKC,,0.0
Akt,Plcg,,0.8927294645396613
Akt,Raf,,0.0
Erk,Jnk,,1.0778962475566099e-199
Erk,Mek,,0.0
Erk,P38,,4.5300229644514095e-244
Erk,PIP2,,0.11937633897533984
Erk,PIP3,,0.8546817878846551
Erk,PKA,,0.0
Erk,PKC,,3.2061848832390726e-122
Erk,Plcg,,0.8150621684888117
Erk,Raf,,1.38743696498825e-253
Jnk,Mek,,0.0
Jnk,P38,,0.0
Jnk,PIP2,,0.9695668534250961
Jnk,PIP3,,0.8554301888411554
Jnk,PKA,,0.0
Jnk,PKC,,0.0
Jnk,Plcg,,0.690091922687996
Jnk,Raf,,0.0
Mek,P38,,0.0
Mek,PIP2,,0.7943204698998096
Mek,PIP3,,0.7222929754888516
Mek,PKA,,0.0
Mek,PKC,,0.0
Mek,Plcg,,0.7069529458650559
Mek,Raf,,0.0
P38,PIP2,,0.5799579463689647
P38,PIP3,,0.10774357279150018
P38,PKA,,0.0
P38,PKC,,0.0
P38,Plcg,,0.3241713253287568
P38,Raf,,0.0
PIP2,PIP3,,1.7444419051182038e-90
PIP2,PKA,,0.7131451437937246
PIP2,PKC,,0.448007857862626
PIP2,Plcg,,0.0
PIP2,Raf,,0.28327147464341274
PIP3,PKA,,0.44041760542566755
PIP3,PKC,,0.6505133556589058
PIP3,Plcg,,6.516503690110234e-288
PIP3,Raf,,0.568943411700539
PKA,PKC,,0.0
PKA,Plcg,,0.41844540844985745
PKA,Raf,,0.0
PKC,Plcg,,0.362082523371819
PKC,Raf,,0.0
Plcg,Raf,,0.8682070618807247
Akt,Erk,Jnk,0.0
Akt,Erk,Jnk,0.0
Akt,Erk,Jnk,0.0
Akt,Erk,Jnk,0.0
Akt,Erk,Jnk,0.0
Akt,Erk,Jnk,0.0
Akt,Jnk,Raf,9.385331755927155e-92
Akt,Jnk,Raf,9.385331755927155e-92
Akt,Jnk,Raf,9.385331755927155e-92
Akt,Jnk,Raf,9.385331755927155e-92
Akt,Jnk,Raf,9.385331755927155e-92
Akt,Jnk,Raf,9.385331755927155e-92
Akt,Mek,Jnk,0.0
Akt,Mek,Jnk,0.0
Akt,Mek,Jnk,0.0
Akt,Mek,Jnk,0.0
Akt,Mek,Jnk,0.0
Akt,Mek,Jnk,0.0
Akt,P38,Jnk,0.0
Akt,P38,Jnk,0.0
Akt,P38,Jnk,0.0
Akt,P38,Jnk,0.0
Akt,P38,Jnk,0.0
Akt,P38,Jnk,0.0
Akt,PKA,Jnk,0.0
Akt,PKA,Jnk,0.0
Akt,PKA,Jnk,0.0
Akt,PKA,Jnk,0.0
Akt,PKA,Jnk,0.0
Akt,PKA,Jnk,0.0
Akt,PKC,Jnk,7.013805918411706e-259
Akt,PKC,Jnk,7.013805918411706e-259
Akt,PKC,Jnk,7.013805918411706e-259
Akt,PKC,Jnk,7.013805918411706e-259
Akt,PKC,Jnk,7.013805918411706e-259
Akt,PKC,Jnk,7.013805918411706e-259
Akt,Raf,Jnk,0.0
Akt,Raf,Jnk,0.0
Akt,Raf,Jnk,0.0
Akt,Raf,Jnk,0.0
Akt,Raf,Jnk,0.0
Akt,Raf,Jnk,0.0
Erk,Jnk,Raf,3.3732219267865296e-96
Erk,Jnk,Raf,3.3732219267865296e-96
Erk,Jnk,Raf,3.3732219267865296e-96
Erk,Jnk,Raf,3.3732219267865296e-96
Erk,Jnk,Raf,3.3732219267865296e-96
Erk,Jnk,Raf,3.3732219267865296e-96
Erk,Mek,Jnk,0.0
Erk,Mek,Jnk,0.0
Erk,Mek,Jnk,0.0
Erk,Mek,Jnk,0.0
Erk,Mek,Jnk,0.0
Erk,Mek,Jnk,0.0
Erk,P38,Jnk,7.045669990468949e-132
Erk,P38,Jnk,7.045669990468949e-132
Erk,P38,Jnk,7.045669990468949e-132
Erk,P38,Jnk,7.045669990468949e-132
Erk,P38,Jnk,7.045669990468949e-132
Erk,P38,Jnk,7.045669990468949e-132
Erk,PKA,Jnk,0.0
Erk,PKA,Jnk,0.0
Erk,PKA,Jnk,0.0
Erk,PKA,Jnk,0.0
Erk,PKA,Jnk,0.0
Erk,PKA,Jnk,0.0
Erk,PKC,Jnk,1.8125328337829407e-60
Erk,PKC,Jnk,1.8125328337829407e-60
Erk,PKC,Jnk,1.8125328337829407e-60
Erk,PKC,Jnk,1.8125328337829407e-60
Erk,PKC,Jnk,1.8125328337829407e-60
Erk,PKC,Jnk,1.8125328337829407e-60
Erk,Raf,Jnk,3.753535704102103e-149
Erk,Raf,Jnk,3.753535704102103e-149
Erk,Raf,Jnk,3.753535704102103e-149
Erk,Raf,Jnk,3.753535704102103e-149
Erk,Raf,Jnk,3.753535704102103e-149
Erk,Raf,Jnk,3.753535704102103e-149
Jnk,Mek,Raf,3.983882358480578e-167
Jnk,Mek,Raf,3.983882358480578e-167
Jnk,Mek,Raf,3.983882358480578e-167
Jnk,Mek,Raf,3.983882358480578e-167
Jnk,Mek,Raf,3.983882358480578e-167
Jnk,Mek,Raf,3.983882358480578e-167
Jnk,P38,Raf,1.41875864039515e-197
Jnk,P38,Raf,1.41875864039515e-197
Jnk,P38,Raf,1.41875864039515e-197
Jnk,P38,Raf,1.41875864039515e-197
Jnk,P38,Raf,1.41875864039515e-197
Jnk,P38,Raf,1.41875864039515e-197
Jnk,PKA,Raf,0.0
Jnk,PKA,Raf,0.0
Jnk,PKA,Raf,0.0
Jnk,PKA,Raf,0.0
Jnk,PKA,Raf,0.0
Jnk,PKA,Raf,0.0
Jnk,PKC,Raf,0.0
Jnk,PKC,Raf,0.0
Jnk,PKC,Raf,0.0
Jnk,PKC,Raf,0.0
Jnk,PKC,Raf,0.0
Jnk,PKC,Raf,0.0
Jnk,Raf,P38,1.4071224054284495e-227
Jnk,Raf,P38,1.4071224054284495e-227
Jnk,Raf,P38,1.4071224054284495e-227
Jnk,Raf,P38,1.4071224054284495e-227
Jnk,Raf,P38,1.4071224054284495e-227
Jnk,Raf,P38,1.4071224054284495e-227
Mek,P38,Jnk,0.0
Mek,P38,Jnk,0.0
Mek,P38,Jnk,0.0
Mek,P38,Jnk,0.0
Mek,P38,Jnk,0.0
Mek,P38,Jnk,0.0
Mek,PKA,Jnk,0.0
Mek,PKA,Jnk,0.0
Mek,PKA,Jnk,0.0
Mek,PKA,Jnk,0.0
Mek,PKA,Jnk,0.0
Mek,PKA,Jnk,0.0
Mek,PKC,Jnk,0.0
Mek,PKC,Jnk,0.0
Mek,PKC,Jnk,0.0
Mek,PKC,Jnk,0.0
Mek,PKC,Jnk,0.0
Mek,PKC,Jnk,0.0
Mek,Raf,Jnk,0.0
Mek,Raf,Jnk,0.0
Mek,Raf,Jnk,0.0
Mek,Raf,Jnk,0.0
Mek,Raf,Jnk,0.0
Mek,Raf,Jnk,0.0
P38,PKA,Jnk,0.0
P38,PKA,Jnk,0.0
P38,PKA,Jnk,0.0
P38,PKA,Jnk,0.0
P38,PKA,Jnk,0.0
P38,PKA,Jnk,0.0
P38,PKC,Jnk,0.0
P38,PKC,Jnk,0.0
P38,PKC,Jnk,0.0
P38,PKC,Jnk,0.0
P38,PKC,Jnk,0.0
P38,PKC,Jnk,0.0
P38,Raf,Jnk,0.0
P38,Raf,Jnk,0.0
P38,Raf,Jnk,0.0
P38,Raf,Jnk,0.0
P38,Raf,Jnk,0.0
P38,Raf,Jnk,0.0
PIP2,PIP3,Plcg,1.59247535090366e-310
PIP2,Plcg,PIP3,0.0
PIP3,Plcg,PIP2,0.0
PKA,PKC,Jnk,0.0
PKA,PKC,Jnk,0.0
PKA,PKC,Jnk,0.0
PKA,PKC,Jnk,0.0
PKA,PKC,Jnk,0.0
PKA,PKC,Jnk,0.0
PKA,Raf,Jnk,0.0
PKA,Raf,Jnk,0.0
PKA,Raf,Jnk,0.0
PKA,Raf,Jnk,0.0
PKA,Raf,Jnk,0.0
PKA,Raf,Jnk,0.0
PKC,Raf,Jnk,0.0
PKC,Raf,Jnk,0.0
PKC,Raf,Jnk,0.0
PKC,Raf,Jnk,0.0
PKC,Raf,Jnk,0.0
PKC,Raf,Jnk,0.0
