node_i,node_j,p_value
Akt,Erk,0.0
Akt,Jnk,0.2853637980718785
Akt,Mek,2.712076038131747e-06
Akt,P38,0.17430554648561647
Akt,PIP2,0.6091415138968136
Akt,PIP3,0.6920333698972603
Akt,PKA,2.3108261929951514e-209
Akt,PKC,0.4019483274774387
Akt,Plcg,0.3033973039504317
Akt,Raf,0.05149542947924692
Erk,Jnk,0.33897332248294587
Erk,Mek,0.0
Erk,P38,0.35878546794389826
Erk,PIP2,0.8193605796217496
Erk,PIP3,0.29264070119585334
Erk,PKA,0.0
Erk,PKC,0.12884631219893591
Erk,Plcg,0.8126534717345053
Erk,Raf,0.7637363934535363
Jnk,Mek,0.0013670909527704717
Jnk,P38,0.10277714031732126
Jnk,PIP2,0.7321861817288596
Jnk,PIP3,0.8533118841723059
Jnk,PKA,0.0
Jnk,PKC,0.0
Jnk,Plcg,0.2196616912926242
Jnk,Raf,0.5708229593012165
Mek,P38,0.13057773714027027
Mek,PIP2,0.8611656882782097
Mek,PIP3,0.5976898223265643
Mek,PKA,0.0
Mek,PKC,9.73384080951236e-182
Mek,Plcg,0.5137739065036049
Mek,Raf,0.0
P38,PIP2,0.3727780547802497
P38,PIP3,0.4617418883896117
P38,PKA,0.0
P38,PKC,1.0405493358938773e-259
P38,Plcg,0.5874639952462124
P38,Raf,0.1260833547331193
PIP2,PIP3,8.700881443292707e-137
PIP2,PKA,0.18295416069076825
PIP2,PKC,0.32476512110389416
PIP2,Plcg,0.0
PIP2,Raf,0.23347110979437694
PIP3,PKA,0.10643778254430056
PIP3,PKC,0.45557996595123484
PIP3,Plcg,0.0
PIP3,Raf,0.07578051970641073
PKA,PKC,0.0
PKA,Plcg,0.058832248571790535
PKA,Raf,0.0
PKC,Plcg,0.7195609828764609
PKC,Raf,0.0
Plcg,Raf,0.6509392758313006
