node_i,node_j,p_value
Akt,Erk,0.0
Akt,Jnk,9.385331755927155e-92
Akt,Mek,0.0
Akt,P38,0.0
Akt,PIP2,0.9983569367724756
Akt,PIP3,0.3266226156317853
Akt,PKA,0.0
Akt,PKC,7.013805918411706e-259
Akt,Plcg,0.8927294645396613
Akt,Raf,0.0
Erk,Jnk,3.3732219267865296e-96
Erk,Mek,0.0
Erk,P38,7.045669990468949e-132
Erk,PIP2,0.11937633897533984
Erk,PIP3,0.8546817878846551
Erk,PKA,0.0
Erk,PKC,1.8125328337829407e-60
Erk,Plcg,0.8150621684888117
Erk,Raf,3.753535704102103e-149
Jnk,Mek,3.983882358480578e-167
Jnk,P38,1.41875864039515e-197
Jnk,PIP2,0.9695668534250961
Jnk,PIP3,0.8554301888411554
Jnk,PKA,0.0
Jnk,PKC,0.0
Jnk,Plcg,0.690091922687996
Jnk,Raf,1.4071224054284495e-227
Mek,P38,0.0
Mek,PIP2,0.7943204698998096
Mek,PIP3,0.7222929754888516
Mek,PKA,0.0
Mek,PKC,0.0
Mek,Plcg,0.7069529458650559
Mek,Raf,0.0
P38,PIP2,0.5799579463689647
P38,PIP3,0.10774357279150018
P38,PKA,0.0
P38,PKC,0.0
P38,Plcg,0.3241713253287568
P38,Raf,0.0
PIP2,PIP3,1.7444419051182038e-90
PIP2,PKA,0.7131451437937246
PIP2,PKC,0.448007857862626
PIP2,Plcg,0.0
PIP2,Raf,0.28327147464341274
PIP3,PKA,0.44041760542566755
PIP3,PKC,0.6505133556589058
PIP3,Plcg,6.516503690110234e-288
PIP3,Raf,0.568943411700539
PKA,PKC,0.0
PKA,Plcg,0.41844540844985745
PKA,Raf,0.0
PKC,Plcg,0.362082523371819
PKC,Raf,0.0
Plcg,Raf,0.8682070618807247
