node_i,node_j,p_value
ANAPHYLAXIS,ARTCO2,0.6010426032829758
ANAPHYLAXIS,BP,0.7378775126151911
ANAPHYLAXIS,CATECHOL,0.05164146274583603
ANAPHYLAXIS,CO,0.47211204879969315
ANAPHYLAXIS,DISCONNECT,0.33539420483195015
ANAPHYLAXIS,EXPCO2,0.06479039878605343
ANAPHYLAXIS,FIO2,0.8644333715282735
ANAPHYLAXIS,HR,0.7426630325153215
ANAPHYLAXIS,INTUBATION,0.3224423461635526
ANAPHYLAXIS,KINKEDTUBE,0.7802703536374893
ANAPHYLAXIS,MINVOL,0.21238385189880882
ANAPHYLAXIS,MINVOLSET,0.2960733326374872
ANAPHYLAXIS,PAP,0.21638060744323392
ANAPHYLAXIS,PRESS,0.6783892037277717
ANAPHYLAXIS,PULMEMBOLUS,0.9776981939577812
ANAPHYLAXIS,PVSAT,0.3174111631812875
ANAPHYLAXIS,SAO2,0.3387346853565087
ANAPHYLAXIS,SHUNT,0.9440800743268937
ANAPHYLAXIS,TPR,5.001793124051149e-93
ANAPHYLAXIS,VENTALV,0.11962841349590711
ANAPHYLAXIS,VENTLUNG,0.14529562772808005
ANAPHYLAXIS,VENTMACH,0.30333535275040635
ANAPHYLAXIS,VENTTUBE,0.05280231324731204
ARTCO2,BP,0.5972832156550947
ARTCO2,CATECHOL,0.22260380705304897
ARTCO2,CO,0.11058191390309126
ARTCO2,HR,0.6175443796787079
CATECHOL,BP,0.21970055138575892
CATECHOL,CO,0.4139610805966842
CATECHOL,HR,0.0
CO,BP,9.452901651777979e-239
CVP,ANAPHYLAXIS,0.7174177616727608
CVP,ARTCO2,0.49812912358788
CVP,BP,0.344739865846332
CVP,CATECHOL,0.26814536126903676
CVP,CO,0.5518231877800406
CVP,DISCONNECT,0.46505928002994457
CVP,ERRCAUTER,0.14045410321405666
CVP,ERRLOWOUTPUT,0.7349540202989823
CVP,EXPCO2,0.9287028909056168
CVP,FIO2,0.5576751098449344
CVP,HR,0.09158638592520213
CVP,HRBP,0.11295264888835237
CVP,HREKG,0.10778642697234461
CVP,HRSAT,0.06622275336685769
CVP,HYPOVOLEMIA,0.29194008741707866
CVP,INSUFFANESTH,0.23859765445626194
CVP,INTUBATION,0.874307588501303
CVP,KINKEDTUBE,0.09078729726898967
CVP,LVEDVOLUME,0.0
CVP,LVFAILURE,0.1766839344634709
CVP,MINVOL,0.8772005458685139
CVP,MINVOLSET,0.9352165111661378
CVP,PAP,0.8670423944007382
CVP,PCWP,0.05749489230938412
CVP,PRESS,0.5460504725117055
CVP,PULMEMBOLUS,0.3631970084840668
CVP,PVSAT,0.41871441571127355
CVP,SAO2,0.5151037286565527
CVP,SHUNT,0.49857994535763783
CVP,STROKEVOLUME,0.4163927433391625
CVP,TPR,0.6433379593842458
CVP,VENTALV,0.7115083454721003
CVP,VENTLUNG,0.8299976187335633
CVP,VENTMACH,0.9457599149623954
CVP,VENTTUBE,0.353415940153845
DISCONNECT,ARTCO2,0.7744005513115221
DISCONNECT,BP,0.06030892601036004
DISCONNECT,CATECHOL,0.5133126763935616
DISCONNECT,CO,0.1820117177142933
DISCONNECT,HR,0.7604525846426431
DISCONNECT,MINVOLSET,0.9300164323273683
DISCONNECT,VENTALV,0.9000976319103141
DISCONNECT,VENTLUNG,0.513699958560393
DISCONNECT,VENTMACH,0.8611268079325585
DISCONNECT,VENTTUBE,0.0
ERRCAUTER,ANAPHYLAXIS,0.1696542733605627
ERRCAUTER,ARTCO2,0.7185890300249893
ERRCAUTER,BP,0.2785988920175609
ERRCAUTER,CATECHOL,0.6297306709336363
ERRCAUTER,CO,0.6275369398698455
ERRCAUTER,DISCONNECT,0.7604620268538236
ERRCAUTER,EXPCO2,0.7227250558618499
ERRCAUTER,FIO2,0.17560059808059744
ERRCAUTER,HR,0.6780878465958651
ERRCAUTER,HRSAT,0.0
ERRCAUTER,INSUFFANESTH,0.8700952805598262
ERRCAUTER,INTUBATION,0.6568832689875609
ERRCAUTER,KINKEDTUBE,0.901533342851445
ERRCAUTER,MINVOL,0.6127976111558002
ERRCAUTER,MINVOLSET,0.3677733524963399
ERRCAUTER,PAP,0.8716690913736439
ERRCAUTER,PRESS,0.43027052438196467
ERRCAUTER,PULMEMBOLUS,0.37492505941662324
ERRCAUTER,PVSAT,0.7404848672379838
ERRCAUTER,SAO2,0.5997311338707115
ERRCAUTER,SHUNT,0.3589759575003576
ERRCAUTER,TPR,0.37772306678560064
ERRCAUTER,VENTALV,0.5061004003857115
ERRCAUTER,VENTLUNG,0.5374121919351029
ERRCAUTER,VENTMACH,0.33622567140836496
ERRCAUTER,VENTTUBE,0.16395992173864857
ERRLOWOUTPUT,ANAPHYLAXIS,0.8505174776209712
ERRLOWOUTPUT,ARTCO2,0.7925012454569231
ERRLOWOUTPUT,BP,0.8464983942779312
ERRLOWOUTPUT,CATECHOL,0.7139609187489058
ERRLOWOUTPUT,CO,0.4524334945509477
ERRLOWOUTPUT,DISCONNECT,0.35313804400423476
ERRLOWOUTPUT,ERRCAUTER,0.8078081379070835
ERRLOWOUTPUT,EXPCO2,0.9304687001709016
ERRLOWOUTPUT,FIO2,0.5583744403549324
ERRLOWOUTPUT,HR,0.8491666475687997
ERRLOWOUTPUT,HRBP,0.0
ERRLOWOUTPUT,HREKG,0.9256439682300805
ERRLOWOUTPUT,HRSAT,0.8623236742580288
ERRLOWOUTPUT,INSUFFANESTH,0.33092735556886815
ERRLOWOUTPUT,INTUBATION,0.7891417871780524
ERRLOWOUTPUT,KINKEDTUBE,0.8354407014691929
ERRLOWOUTPUT,MINVOL,0.9324569279203578
ERRLOWOUTPUT,MINVOLSET,0.05385487277506745
ERRLOWOUTPUT,PAP,0.8655053759698674
ERRLOWOUTPUT,PRESS,0.9453537253814868
ERRLOWOUTPUT,PULMEMBOLUS,0.11493096081559098
ERRLOWOUTPUT,PVSAT,0.9099125917902773
ERRLOWOUTPUT,SAO2,0.8294462530198752
ERRLOWOUTPUT,SHUNT,0.2923737429883107
ERRLOWOUTPUT,TPR,0.8006570577810211
