node_i,node_j,condition,p_value
HISTORY,CVP,,0.0
HISTORY,PCWP,,0.0
HISTORY,HYPOVOLEMIA,,0.846080840774722
HISTORY,LVEDVOLUME,,0.0
HISTORY,LVFAILURE,,0.0
HISTORY,STROKEVOLUME,,0.0
HISTORY,ERRLOWOUTPUT,,0.08549956755447857
HISTORY,HRBP,,0.5087583205147648
HISTORY,HREKG,,0.9730586594943522
HISTORY,ERRCAUTER,,0.9534727242258183
HISTORY,HRSAT,,0.38520785664217966
HISTORY,INSUFFANESTH,,0.5032050523373774
HISTORY,ANAPHYLAXIS,,0.32959428095441334
HISTORY,TPR,,0.9431279199650583
HISTORY,EXPCO2,,0.8482899129287761
HISTORY,KINKEDTUBE,,0.48684936623586006
HISTORY,MINVOL,,0.23690819073918815
HISTORY,FIO2,,0.1009536040982513
HISTORY,PVSAT,,0.19359982452489954
HISTORY,SAO2,,0.08128985707317146
HISTORY,PAP,,0.006970575529276129
HISTORY,PULMEMBOLUS,,0.7213049928453086
HISTORY,SHUNT,,0.9982441761996746
HISTORY,INTUBATION,,0.7469630799135527
HISTORY,PRESS,,0.6057014909649006
HISTORY,DISCONNECT,,0.1619556940926541
HISTORY,MINVOLSET,,0.9876811191993806
HISTORY,VENTMACH,,0.968175607981951
HISTORY,VENTTUBE,,0.4886164378821217
HISTORY,VENTLUNG,,0.3448925651355852
HISTORY,VENTALV,,0.242853411937554
HISTORY,ARTCO2,,0.28634671769037306
HISTORY,CATECHOL,,0.2378465696885211
HISTORY,HR,,0.3859072991710233
HISTORY,CO,,0.0
HISTORY,BP,,8.938599416371842e-81
CVP,PCWP,,0.0
CVP,HYPOVOLEMIA,,0.0
CVP,LVEDVOLUME,,0.0
CVP,LVFAILURE,,0.0
CVP,STROKEVOLUME,,0.0
CVP,ERRLOWOUTPUT,,0.6304157500204419
CVP,HRBP,,0.6279094207128698
CVP,HREKG,,0.8062701576958708
CVP,ERRCAUTER,,0.7615262452427467
CVP,HRSAT,,0.8904166851355577
CVP,INSUFFANESTH,,0.8432970587606301
CVP,ANAPHYLAXIS,,0.9571050124346073
CVP,TPR,,0.565600859022436
CVP,EXPCO2,,0.8623062021015194
CVP,KINKEDTUBE,,0.8585458226535296
CVP,MINVOL,,0.568014095535248
CVP,FIO2,,0.2922012298131607
CVP,PVSAT,,0.7949889449123114
CVP,SAO2,,0.5351342171196543
CVP,PAP,,0.8090215500700236
CVP,PULMEMBOLUS,,0.9065729210122859
CVP,SHUNT,,0.5486815416244037
CVP,INTUBATION,,0.41514817138712423
CVP,PRESS,,0.702703190971508
CVP,DISCONNECT,,0.6358793182773805
CVP,MINVOLSET,,0.9883616910583154
CVP,VENTMACH,,0.9847653534463702
CVP,VENTTUBE,,0.8345896504738461
CVP,VENTLUNG,,0.7579946535903623
CVP,VENTALV,,0.7933733644237311
CVP,ARTCO2,,0.7934001951573944
CVP,CATECHOL,,0.5276265501161178
CVP,HR,,0.9582723967335899
CVP,CO,,0.0
CVP,BP,,2.2093024544208696e-72
PCWP,HYPOVOLEMIA,,0.0
PCWP,LVEDVOLUME,,0.0
PCWP,LVFAILURE,,0.0
PCWP,STROKEVOLUME,,0.0
PCWP,ERRLOWOUTPUT,,0.9733393534915935
PCWP,HRBP,,0.9514447805767543
PCWP,HREKG,,0.7281786942972808
PCWP,ERRCAUTER,,0.5793372563905966
PCWP,HRSAT,,0.8498979934348404
PCWP,INSUFFANESTH,,0.9247337865261397
PCWP,ANAPHYLAXIS,,0.5397528561428049
PCWP,TPR,,0.2819670271656962
PCWP,EXPCO2,,0.44381487030442235
PCWP,KINKEDTUBE,,0.7202628114871288
PCWP,MINVOL,,0.591786424315333
PCWP,FIO2,,0.40173547527114495
PCWP,PVSAT,,0.5518501924410926
PCWP,SAO2,,0.13736655446901985
PCWP,PAP,,0.9883156510563398
PCWP,PULMEMBOLUS,,0.6972042309576765
PCWP,SHUNT,,0.8837886762175885
PCWP,INTUBATION,,0.6237317186868828
PCWP,PRESS,,0.543612792923788
PCWP,DISCONNECT,,0.6481139679829926
PCWP,MINVOLSET,,0.662600618005794
PCWP,VENTMACH,,0.4526324649963377
PCWP,VENTTUBE,,0.8210172269659278
PCWP,VENTLUNG,,0.9832285441438792
PCWP,VENTALV,,0.6499076490157167
PCWP,ARTCO2,,0.8618575361482836
PCWP,CATECHOL,,0.5106453313055404
PCWP,HR,,0.7980790906102201
PCWP,CO,,0.0
PCWP,BP,,1.0303617993179565e-99
HYPOVOLEMIA,LVEDVOLUME,,0.0
HYPOVOLEMIA,LVFAILURE,,0.6533875399410511
HYPOVOLEMIA,STROKEVOLUME,,0.0
HYPOVOLEMIA,ERRLOWOUTPUT,,0.6839897492514444
HYPOVOLEMIA,HRBP,,0.8188047355334996
HYPOVOLEMIA,HREKG,,0.1836177746634655
HYPOVOLEMIA,ERRCAUTER,,0.1034466878157821
HYPOVOLEMIA,HRSAT,,0.44620050074383466
HYPOVOLEMIA,INSUFFANESTH,,0.23590867941813853
HYPOVOLEMIA,ANAPHYLAXIS,,0.5465625282204798
HYPOVOLEMIA,TPR,,0.4182133773364539
HYPOVOLEMIA,EXPCO2,,0.22320616642561977
HYPOVOLEMIA,KINKEDTUBE,,0.9074723977998462
HYPOVOLEMIA,MINVOL,,0.4867726956726285
HYPOVOLEMIA,FIO2,,0.7417313201118931
HYPOVOLEMIA,PVSAT,,0.6203311489670289
HYPOVOLEMIA,SAO2,,0.905820390291337
HYPOVOLEMIA,PAP,,0.36141733548402466
HYPOVOLEMIA,PULMEMBOLUS,,0.24206213573171942
HYPOVOLEMIA,SHUNT,,0.8826884989047448
HYPOVOLEMIA,INTUBATION,,0.50622047673995
HYPOVOLEMIA,PRESS,,0.416350006603765
HYPOVOLEMIA,DISCONNECT,,0.43997529842037286
HYPOVOLEMIA,MINVOLSET,,0.517605904431302
HYPOVOLEMIA,VENTMACH,,0.6700368639999676
HYPOVOLEMIA,VENTTUBE,,0.9774449973972251
HYPOVOLEMIA,VENTLUNG,,0.6607095135068792
HYPOVOLEMIA,VENTALV,,0.5511248315577297
HYPOVOLEMIA,ARTCO2,,0.34301201352380156
HYPOVOLEMIA,CATECHOL,,0.43182745019084856
HYPOVOLEMIA,HR,,0.6597286342727733
HYPOVOLEMIA,CO,,0.0
HYPOVOLEMIA,BP,,2.9115325418823834e-108
LVEDVOLUME,LVFAILURE,,0.0
LVEDVOLUME,STROKEVOLUME,,0.0
LVEDVOLUME,ERRLOWOUTPUT,,0.8905809465550152
LVEDVOLUME,HRBP,,0.9348187924138572
LVEDVOLUME,HREKG,,0.6771657159317224
LVEDVOLUME,ERRCAUTER,,0.5491474419877349
LVEDVOLUME,HRSAT,,0.8618737391966009
LVEDVOLUME,INSUFFANESTH,,0.9292889236317804
LVEDVOLUME,ANAPHYLAXIS,,0.4155318606926366
LVEDVOLUME,TPR,,0.20569117822372898
LVEDVOLUME,EXPCO2,,0.6989753549187498
LVEDVOLUME,KINKEDTUBE,,0.8832783445385156
LVEDVOLUME,MINVOL,,0.33735163127941153
LVEDVOLUME,FIO2,,0.610482970915784
LVEDVOLUME,PVSAT,,0.5409580429327712
LVEDVOLUME,SAO2,,0.5709746484565754
LVEDVOLUME,PAP,,0.7018953905524106
LVEDVOLUME,PULMEMBOLUS,,0.7996855532888072
LVEDVOLUME,SHUNT,,0.8759552320670702
LVEDVOLUME,INTUBATION,,0.4816472994290377
LVEDVOLUME,PRESS,,0.31423213951120094
LVEDVOLUME,DISCONNECT,,0.5904695673301741
LVEDVOLUME,MINVOLSET,,0.8267374322636654
LVEDVOLUME,VENTMACH,,0.5774583657676116
LVEDVOLUME,VENTTUBE,,0.623703713238466
LVEDVOLUME,VENTLUNG,,0.9857380597673868
LVEDVOLUME,VENTALV,,0.5682587499822056
LVEDVOLUME,ARTCO2,,0.48005639770747
LVEDVOLUME,CATECHOL,,0.589364573966046
LVEDVOLUME,HR,,0.8690412111028131
LVEDVOLUME,CO,,0.0
LVEDVOLUME,BP,,2.4822233874310946e-129
LVFAILURE,STROKEVOLUME,,0.0
LVFAILURE,ERRLOWOUTPUT,,0.479196107539302
LVFAILURE,HRBP,,0.4888594715167114
LVFAILURE,HREKG,,0.783362316462233
LVFAILURE,ERRCAUTER,,0.8951926282717568
LVFAILURE,HRSAT,,0.11989252086695161
LVFAILURE,INSUFFANESTH,,0.6078501312150519
LVFAILURE,ANAPHYLAXIS,,0.09861514829495967
LVFAILURE,TPR,,0.4934687337486676
LVFAILURE,EXPCO2,,0.8513484343120257
LVFAILURE,KINKEDTUBE,,0.7659876562380333
LVFAILURE,MINVOL,,0.13759649416153205
LVFAILURE,FIO2,,0.06148554377588123
LVFAILURE,PVSAT,,0.1636879775207942
LVFAILURE,SAO2,,0.0860965071439896
LVFAILURE,PAP,,0.020838347256512586
LVFAILURE,PULMEMBOLUS,,0.6308153726711287
LVFAILURE,SHUNT,,0.6192049496953352
LVFAILURE,INTUBATION,,0.9596079734843325
LVFAILURE,PRESS,,0.149789901853038
LVFAILURE,DISCONNECT,,0.09020249875177926
LVFAILURE,MINVOLSET,,0.8323995338069041
LVFAILURE,VENTMACH,,0.8753990165009985
LVFAILURE,VENTTUBE,,0.2851804237918589
LVFAILURE,VENTLUNG,,0.14676975074280688
LVFAILURE,VENTALV,,0.4397977118643728
LVFAILURE,ARTCO2,,0.41635768104536885
LVFAILURE,CATECHOL,,0.1969734443108627
LVFAILURE,HR,,0.17612814883927014
LVFAILURE,CO,,0.0
LVFAILURE,BP,,5.019086022621367e-120
STROKEVOLUME,ERRLOWOUTPUT,,0.08027373009374275
STROKEVOLUME,HRBP,,0.6996084292736149
STROKEVOLUME,HREKG,,0.8176458002611697
STROKEVOLUME,ERRCAUTER,,0.8065568031168004
STROKEVOLUME,HRSAT,,0.8856352417055864
STROKEVOLUME,INSUFFANESTH,,0.41773596427184456
STROKEVOLUME,ANAPHYLAXIS,,0.027016032402376253
STROKEVOLUME,TPR,,0.86981931893318
STROKEVOLUME,EXPCO2,,0.6406565877752504
STROKEVOLUME,KINKEDTUBE,,0.32062616121628035
STROKEVOLUME,MINVOL,,0.014985859428408436
