node_i,node_j,p_value
ANAPHYLAXIS,ARTCO2,0.5080983420203559
ANAPHYLAXIS,BP,0.7092220309704138
ANAPHYLAXIS,CATECHOL,0.054708219945243663
ANAPHYLAXIS,CO,0.6799351459496683
ANAPHYLAXIS,DISCONNECT,0.5024150412256134
ANAPHYLAXIS,EXPCO2,0.30867966756803544
ANAPHYLAXIS,FIO2,0.7419096868759063
ANAPHYLAXIS,HR,0.44348376551521207
ANAPHYLAXIS,INTUBATION,0.2700984170921124
ANAPHYLAXIS,KINKEDTUBE,0.8023794246857019
ANAPHYLAXIS,MINVOL,0.08348693090877433
ANAPHYLAXIS,MINVOLSET,0.2015523105313891
ANAPHYLAXIS,PAP,0.15225141166147915
ANAPHYLAXIS,PRESS,0.6100270737395799
ANAPHYLAXIS,PULMEMBOLUS,0.8595950392346491
ANAPHYLAXIS,PVSAT,0.2555682251189871
ANAPHYLAXIS,SAO2,0.15215577675528086
ANAPHYLAXIS,SHUNT,0.8447372201585189
ANAPHYLAXIS,TPR,1.945529933686609e-76
ANAPHYLAXIS,VENTALV,0.10202323794119866
ANAPHYLAXIS,VENTLUNG,0.11792035750475446
ANAPHYLAXIS,VENTMACH,0.25769527456720603
ANAPHYLAXIS,VENTTUBE,0.0925181154849957
ARTCO2,BP,0.47761777134088457
ARTCO2,CATECHOL,0.6081472219516117
ARTCO2,CO,0.2933056554041656
ARTCO2,HR,0.34224548901299595
CATECHOL,BP,0.11194048065445736
CATECHOL,CO,0.1799517742605093
CATECHOL,HR,0.0
CO,BP,7.154421428099928e-195
CVP,ANAPHYLAXIS,0.6300051750377629
CVP,ARTCO2,0.5902644150878316
CVP,BP,0.7496823268326475
CVP,CATECHOL,0.17568103542572244
CVP,CO,0.1359813470342356
CVP,DISCONNECT,0.6856130061415964
CVP,ERRCAUTER,0.6374787747218065
CVP,ERRLOWOUTPUT,0.9068328219301411
CVP,EXPCO2,0.8099205659700218
CVP,FIO2,0.43720378404001914
CVP,HR,0.103529274930486
CVP,HRBP,0.09333459651177071
CVP,HREKG,0.16190944273212116
CVP,HRSAT,0.07288544873866454
CVP,HYPOVOLEMIA,0.7471072968991721
CVP,INSUFFANESTH,0.07172994932037928
CVP,INTUBATION,0.48152937894640513
CVP,KINKEDTUBE,0.3109111054946674
CVP,LVEDVOLUME,0.0
CVP,LVFAILURE,0.2439993823169728
CVP,MINVOL,0.9182998026585261
CVP,MINVOLSET,0.6540676643431234
CVP,PAP,0.3584174575166342
CVP,PCWP,0.06473382055359639
CVP,PRESS,0.5874111325407723
CVP,PULMEMBOLUS,0.32253176637138503
CVP,PVSAT,0.7621502167536941
CVP,SAO2,0.704768934736552
CVP,SHUNT,0.29753642325226604
CVP,STROKEVOLUME,0.6351580536574433
CVP,TPR,0.6762896580398159
