node_i,node_j,condition,p_value
HISTORY,CVP,,0.0
HISTORY,PCWP,,0.0
HISTORY,HYPOVOLEMIA,,0.9695542296476231
HISTORY,LVEDVOLUME,,0.0
HISTORY,LVFAILURE,,0.0
HISTORY,STROKEVOLUME,,0.0
HISTORY,ERRLOWOUTPUT,,0.8510125718198543
HISTORY,HRBP,,0.12540297385218552
HISTORY,HREKG,,0.44759667764461963
HISTORY,ERRCAUTER,,0.6655390926352942
HISTORY,HRSAT,,0.28625868315947617
HISTORY,INSUFFANESTH,,0.3188462144748553
HISTORY,ANAPHYLAXIS,,0.8728757824979285
HISTORY,TPR,,0.8439226490981226
HISTORY,EXPCO2,,0.88976669615683
HISTORY,KINKEDTUBE,,0.8224665404135231
HISTORY,MINVOL,,0.1793648605643387
HISTORY,FIO2,,0.8143490086807997
HISTORY,PVSAT,,0.7976297045190756
HISTORY,SAO2,,0.8228438244991125
HISTORY,PAP,,0.6008040099338916
HISTORY,PULMEMBOLUS,,0.240998374695278
HISTORY,SHUNT,,0.7642381542304022
HISTORY,INTUBATION,,0.8747364483678914
HISTORY,PRESS,,0.6437405780584606
HISTORY,DISCONNECT,,0.2324466991672223
HISTORY,MINVOLSET,,0.5421797548669597
HISTORY,VENTMACH,,0.7440438817293908
HISTORY,VENTTUBE,,0.1194725087799278
HISTORY,VENTLUNG,,0.3448197957272701
HISTORY,VENTALV,,0.348890933418876
HISTORY,ARTCO2,,0.3820158032478353
HISTORY,CATECHOL,,0.6686256920908439
HISTORY,HR,,0.20854099929405337
HISTORY,CO,,6.022885015190173e-244
HISTORY,BP,,7.825707942819922e-57
CVP,PCWP,,0.0
CVP,HYPOVOLEMIA,,0.0
CVP,LVEDVOLUME,,0.0
CVP,LVFAILURE,,0.0
CVP,STROKEVOLUME,,0.0
CVP,ERRLOWOUTPUT,,0.9618166674218634
CVP,HRBP,,0.2118543828524111
CVP,HREKG,,0.12210249178933517
CVP,ERRCAUTER,,0.5389681394029622
CVP,HRSAT,,0.12073343222709351
CVP,INSUFFANESTH,,0.019093474391330842
CVP,ANAPHYLAXIS,,0.3924635430657199
CVP,TPR,,0.9513453158015481
CVP,EXPCO2,,0.8851466790483018
CVP,KINKEDTUBE,,0.4550774195690158
CVP,MINVOL,,0.9173624112219922
CVP,FIO2,,0.5328798106280787
CVP,PVSAT,,0.7904404129411426
CVP,SAO2,,0.9261214901476373
CVP,PAP,,0.08479344124053975
CVP,PULMEMBOLUS,,0.3413677578142958
CVP,SHUNT,,0.4200947369549042
CVP,INTUBATION,,0.32576387505771726
CVP,PRESS,,0.6746434237357255
CVP,DISCONNECT,,0.8980925914786958
CVP,MINVOLSET,,0.5207993118377019
CVP,VENTMACH,,0.7853447274354558
CVP,VENTTUBE,,0.21945390037397644
CVP,VENTLUNG,,0.8824956878611089
CVP,VENTALV,,0.7967694738128641
CVP,ARTCO2,,0.5296447150264201
CVP,CATECHOL,,0.29483834947050686
CVP,HR,,0.014628174232168247
CVP,CO,,1.6467622132451668e-246
CVP,BP,,1.1826716760242845e-50
PCWP,HYPOVOLEMIA,,0.0
PCWP,LVEDVOLUME,,0.0
PCWP,LVFAILURE,,0.0
PCWP,STROKEVOLUME,,0.0
PCWP,ERRLOWOUTPUT,,0.12399660121983654
PCWP,HRBP,,0.5366397901412863
PCWP,HREKG,,0.235193792763486
PCWP,ERRCAUTER,,0.1729011045968447
PCWP,HRSAT,,0.3985242817980101
PCWP,INSUFFANESTH,,0.15862555765024272
PCWP,ANAPHYLAXIS,,0.7790368304326255
PCWP,TPR,,0.9137123856895988
PCWP,EXPCO2,,0.6519750269326476
PCWP,KINKEDTUBE,,0.4949833198970771
PCWP,MINVOL,,0.12797137357705324
PCWP,FIO2,,0.479300081626141
PCWP,PVSAT,,0.9163414670109173
PCWP,SAO2,,0.9758072648780116
PCWP,PAP,,0.34377321928053
PCWP,PULMEMBOLUS,,0.6841178842502564
PCWP,SHUNT,,0.5448537168216039
PCWP,INTUBATION,,0.06957064262686845
PCWP,PRESS,,0.7693901676133184
PCWP,DISCONNECT,,0.9100931823256067
PCWP,MINVOLSET,,0.6342794142551726
PCWP,VENTMACH,,0.7373198000430559
PCWP,VENTTUBE,,0.9197969476342023
PCWP,VENTLUNG,,0.8467575314630146
PCWP,VENTALV,,0.13002018932345127
PCWP,ARTCO2,,0.06069555728284219
PCWP,CATECHOL,,0.9078795147470402
PCWP,HR,,0.06997403800306327
PCWP,CO,,0.0
PCWP,BP,,3.719142872161178e-61
HYPOVOLEMIA,LVEDVOLUME,,0.0
HYPOVOLEMIA,LVFAILURE,,0.5867681226715817
HYPOVOLEMIA,STROKEVOLUME,,0.0
HYPOVOLEMIA,ERRLOWOUTPUT,,0.6596526280454071
HYPOVOLEMIA,HRBP,,0.3268791088907381
HYPOVOLEMIA,HREKG,,0.40948128827855856
HYPOVOLEMIA,ERRCAUTER,,0.13440476322353592
HYPOVOLEMIA,HRSAT,,0.32304973708023854
HYPOVOLEMIA,INSUFFANESTH,,0.9343149325022243
HYPOVOLEMIA,ANAPHYLAXIS,,0.389303380222046
HYPOVOLEMIA,TPR,,0.5709359983364908
HYPOVOLEMIA,EXPCO2,,0.9643426849634339
HYPOVOLEMIA,KINKEDTUBE,,0.3066162873466844
HYPOVOLEMIA,MINVOL,,0.19798728829823753
HYPOVOLEMIA,FIO2,,0.15333371992379013
HYPOVOLEMIA,PVSAT,,0.9441013345838434
HYPOVOLEMIA,SAO2,,0.9017686060205831
HYPOVOLEMIA,PAP,,0.1114410242289888
HYPOVOLEMIA,PULMEMBOLUS,,0.8328844995896034
HYPOVOLEMIA,SHUNT,,0.0680415278630368
HYPOVOLEMIA,INTUBATION,,0.2978652588591001
HYPOVOLEMIA,PRESS,,0.8718504739389142
HYPOVOLEMIA,DISCONNECT,,0.14604715343316477
HYPOVOLEMIA,MINVOLSET,,0.4985526523728008
HYPOVOLEMIA,VENTMACH,,0.7722443181853981
HYPOVOLEMIA,VENTTUBE,,0.9795684583708638
HYPOVOLEMIA,VENTLUNG,,0.8708473902560092
HYPOVOLEMIA,VENTALV,,0.16560856922447942
HYPOVOLEMIA,ARTCO2,,0.74667012159913
HYPOVOLEMIA,CATECHOL,,0.5465772251415661
HYPOVOLEMIA,HR,,0.15257458098107468
HYPOVOLEMIA,CO,,0.0
HYPOVOLEMIA,BP,,1.6348003484434388e-71
LVEDVOLUME,LVFAILURE,,0.0
LVEDVOLUME,STROKEVOLUME,,0.0
LVEDVOLUME,ERRLOWOUTPUT,,0.4899050165214466
LVEDVOLUME,HRBP,,0.3190618844633289
LVEDVOLUME,HREKG,,0.0938227352560863
LVEDVOLUME,ERRCAUTER,,0.08432833425809727
LVEDVOLUME,HRSAT,,0.19570400329231036
LVEDVOLUME,INSUFFANESTH,,0.12512226741806973
LVEDVOLUME,ANAPHYLAXIS,,0.652031387643194
LVEDVOLUME,TPR,,0.7870136567986559
LVEDVOLUME,EXPCO2,,0.8616256191610466
LVEDVOLUME,KINKEDTUBE,,0.4675915527323372
LVEDVOLUME,MINVOL,,0.3075694627121377
LVEDVOLUME,FIO2,,0.7215864950599389
LVEDVOLUME,PVSAT,,0.9048844380244541
LVEDVOLUME,SAO2,,0.9958479052675624
LVEDVOLUME,PAP,,0.09349489209331253
LVEDVOLUME,PULMEMBOLUS,,0.924993434682804
LVEDVOLUME,SHUNT,,0.5526378284138989
LVEDVOLUME,INTUBATION,,0.25975330664389085
LVEDVOLUME,PRESS,,0.5247853609815096
LVEDVOLUME,DISCONNECT,,0.5656799672229247
LVEDVOLUME,MINVOLSET,,0.338873371211684
LVEDVOLUME,VENTMACH,,0.803882041390761
LVEDVOLUME,VENTTUBE,,0.5400121856486284
LVEDVOLUME,VENTLUNG,,0.7248533589456212
LVEDVOLUME,VENTALV,,0.1179294271590619
LVEDVOLUME,ARTCO2,,0.10665420325825838
LVEDVOLUME,CATECHOL,,0.8649763337470113
LVEDVOLUME,HR,,0.12531689635997564
LVEDVOLUME,CO,,0.0
LVEDVOLUME,BP,,1.1286491694548153e-80
LVFAILURE,STROKEVOLUME,,0.0
LVFAILURE,ERRLOWOUTPUT,,0.751979202797894
LVFAILURE,HRBP,,0.11791345590383348
LVFAILURE,HREKG,,0.7001938102997691
LVFAILURE,ERRCAUTER,,0.7442295787319424
LVFAILURE,HRSAT,,0.45140473537204806
LVFAILURE,INSUFFANESTH,,0.1930212319788166
LVFAILURE,ANAPHYLAXIS,,0.6887518835456898
LVFAILURE,TPR,,0.5368234807081792
LVFAILURE,EXPCO2,,0.978791323800112
LVFAILURE,KINKEDTUBE,,0.9582650135514619
LVFAILURE,MINVOL,,0.16767896287902007
LVFAILURE,FIO2,,0.4978981549495277
LVFAILURE,PVSAT,,0.9534604680237401
LVFAILURE,SAO2,,0.8886226871271952
LVFAILURE,PAP,,0.08909017256016934
LVFAILURE,PULMEMBOLUS,,0.9758405438941499
LVFAILURE,SHUNT,,0.9303233633816956
LVFAILURE,INTUBATION,,0.7123016219050005
LVFAILURE,PRESS,,0.7136427828002281
LVFAILURE,DISCONNECT,,0.3906785003260156
LVFAILURE,MINVOLSET,,0.8557335153155593
LVFAILURE,VENTMACH,,0.9418735268902523
LVFAILURE,VENTTUBE,,0.4459767389766227
LVFAILURE,VENTLUNG,,0.37650522265460856
LVFAILURE,VENTALV,,0.12111730948469439
LVFAILURE,ARTCO2,,0.21389060399803797
LVFAILURE,CATECHOL,,0.9440718067966085
LVFAILURE,HR,,0.3460845368898564
LVFAILURE,CO,,0.0
LVFAILURE,BP,,5.9448039645496e-86
STROKEVOLUME,ERRLOWOUTPUT,,0.8265935267444862
STROKEVOLUME,HRBP,,0.14503568398158498
STROKEVOLUME,HREKG,,0.781116938490902
STROKEVOLUME,ERRCAUTER,,0.8251446640036957
STROKEVOLUME,HRSAT,,0.8161307208840438
STROKEVOLUME,INSUFFANESTH,,0.6396659434823351
STROKEVOLUME,ANAPHYLAXIS,,0.8666460357030801
STROKEVOLUME,TPR,,0.9919587566122857
STROKEVOLUME,EXPCO2,,0.42921165603812683
STROKEVOLUME,KINKEDTUBE,,0.3364008313195943
STROKEVOLUME,MINVOL,,0.035079642800985314
