HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE,MINVOL,FIO2,PVSAT,SAO2,PAP,PULMEMBOLUS,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP
False,NORMAL,,False,NORMAL,False,,False,HIGH,,False,HIGH,False,False,NORMAL,,False,ZERO,NORMAL,,,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,,True,NORMAL,HIGH,False,HIGH,False,False,NORMAL,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,,NORMAL,HIGH,False,NORMAL,,,LOW,,LOW,HIGH,HIGH,HIGH,HIGH
False,,NORMAL,True,NORMAL,False,LOW,False,HIGH,HIGH,False,,False,False,,LOW,False,ZERO,NORMAL,LOW,HIGH,,False,NORMAL,,LOW,False,NORMAL,,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,NORMAL
False,NORMAL,NORMAL,False,,False,NORMAL,False,HIGH,HIGH,False,,False,False,NORMAL,LOW,False,ZERO,,LOW,LOW,,False,,,,False,,NORMAL,LOW,,ZERO,,HIGH,,HIGH,HIGH
False,,HIGH,True,HIGH,False,,False,,HIGH,False,HIGH,True,False,LOW,NORMAL,False,LOW,NORMAL,LOW,LOW,NORMAL,False,HIGH,ONESIDED,HIGH,False,NORMAL,NORMAL,,LOW,,,HIGH,HIGH,LOW,LOW
False,HIGH,HIGH,True,HIGH,False,LOW,True,,NORMAL,True,NORMAL,False,False,NORMAL,,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,
False,HIGH,HIGH,True,HIGH,False,,False,HIGH,HIGH,False,HIGH,False,False,HIGH,,False,ZERO,NORMAL,LOW,LOW,,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,,HIGH,False,HIGH,False,False,NORMAL,LOW,True,,,LOW,,NORMAL,False,NORMAL,NORMAL,ZERO,False,HIGH,,HIGH,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,,,False,HIGH,False,False,,LOW,False,ZERO,,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,,NORMAL,LOW,ZERO,ZERO,HIGH,,HIGH,,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,LOW,,False,LOW,False,False,,LOW,True,ZERO,,LOW,LOW,NORMAL,False,,,LOW,False,,,LOW,ZERO,ZERO,HIGH,,NORMAL,NORMAL,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,,False,LOW,LOW,False,LOW,True,False,NORMAL,LOW,False,,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,,LOW,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL,NORMAL
False,,,False,,False,,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,NORMAL,,LOW,LOW,NORMAL,False,HIGH,,LOW,False,NORMAL,ZERO,ZERO,,NORMAL,,HIGH,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,,False,NORMAL,,LOW,ZERO,ZERO,HIGH,,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,,False,,False,,HIGH,False,,True,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,LOW,False,NORMAL,NORMAL,LOW,False,,NORMAL,LOW,ZERO,,,HIGH,HIGH,HIGH,LOW
False,HIGH,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,True,False,NORMAL,NORMAL,False,LOW,NORMAL,LOW,,NORMAL,False,HIGH,,HIGH,False,NORMAL,,LOW,LOW,LOW,HIGH,,HIGH,,
False,,NORMAL,False,NORMAL,False,NORMAL,False,LOW,LOW,False,,False,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,HIGH,NORMAL,,False,,NORMAL,LOW,ZERO,,HIGH,HIGH,NORMAL,NORMAL,HIGH
False,NORMAL,,False,NORMAL,False,NORMAL,False,,,False,HIGH,False,False,LOW,LOW,False,NORMAL,NORMAL,,LOW,,False,NORMAL,,,False,,NORMAL,,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,NORMAL
False,,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,NORMAL,,,LOW,,False,HIGH,ONESIDED,LOW,True,,NORMAL,,ZERO,NORMAL,NORMAL,HIGH,HIGH,HIGH,NORMAL
False,NORMAL,NORMAL,True,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,,False,,,,,NORMAL,False,NORMAL,NORMAL,,False,HIGH,,,LOW,HIGH,LOW,HIGH,HIGH,HIGH,LOW
False,,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,,NORMAL,HIGH,,NORMAL,False,,NORMAL,HIGH,False,,NORMAL,,,HIGH,LOW,HIGH,HIGH,LOW,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,,HIGH,False,HIGH,False,False,,LOW,False,,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,,HIGH,HIGH,HIGH,HIGH,NORMAL
False,,LOW,False,LOW,True,LOW,False,,,False,,False,False,HIGH,,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,,NORMAL,LOW,,ZERO,HIGH,HIGH,HIGH,LOW,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,True,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,,False,,,,False,NORMAL,NORMAL,LOW,,ZERO,,HIGH,HIGH,HIGH,HIGH
False,,,False,NORMAL,False,NORMAL,False,,HIGH,False,,False,False,HIGH,,False,ZERO,,LOW,,NORMAL,False,NORMAL,NORMAL,,False,,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,,LOW,False,LOW,False,False,HIGH,,False,,NORMAL,,HIGH,NORMAL,False,NORMAL,,HIGH,True,NORMAL,NORMAL,ZERO,LOW,HIGH,LOW,NORMAL,,,HIGH
False,NORMAL,,False,NORMAL,False,NORMAL,False,,HIGH,False,,False,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,,,False,NORMAL,,LOW,,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,HIGH,True,HIGH,False,,False,HIGH,HIGH,False,HIGH,False,False,HIGH,LOW,False,ZERO,,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,,,LOW,ZERO,,,,,,
False,HIGH,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,,NORMAL,LOW,,NORMAL,False,NORMAL,NORMAL,NORMAL,False,,NORMAL,,ZERO,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW
False,HIGH,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,,False,,NORMAL,LOW,LOW,HIGH,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,,ZERO,HIGH,HIGH,HIGH,LOW,LOW
False,HIGH,HIGH,False,HIGH,False,NORMAL,False,HIGH,,False,HIGH,False,False,HIGH,LOW,False,NORMAL,,LOW,,NORMAL,False,HIGH,ONESIDED,HIGH,False,NORMAL,NORMAL,LOW,ZERO,NORMAL,NORMAL,HIGH,HIGH,,HIGH
False,NORMAL,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,LOW,NORMAL,LOW,,NORMAL,False,NORMAL,ESOPHAGEAL,HIGH,False,,NORMAL,,ZERO,LOW,HIGH,HIGH,HIGH,,LOW
False,NORMAL,NORMAL,False,,False,,False,HIGH,,True,,True,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,,NORMAL,,False,NORMAL,,,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,True,NORMAL,HIGH,False,HIGH,False,False,,NORMAL,False,,NORMAL,LOW,,,False,HIGH,ONESIDED,HIGH,False,NORMAL,NORMAL,LOW,LOW,LOW,,HIGH,HIGH,NORMAL,HIGH
False,NORMAL,NORMAL,False,,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,HIGH,,False,,,LOW,LOW,NORMAL,False,NORMAL,,,False,NORMAL,NORMAL,LOW,ZERO,ZERO,,HIGH,HIGH,,HIGH
False,,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,,LOW,LOW,,False,,,HIGH,False,NORMAL,NORMAL,,,ZERO,HIGH,,,,LOW
True,NORMAL,NORMAL,False,,False,NORMAL,False,,HIGH,False,HIGH,False,False,NORMAL,,False,,NORMAL,LOW,,,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,
True,LOW,,False,LOW,True,LOW,False,,HIGH,False,HIGH,False,False,NORMAL,,False,ZERO,LOW,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,LOW
False,HIGH,,False,,False,NORMAL,False,LOW,,False,LOW,False,False,HIGH,,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,,LOW,ZERO,ZERO,HIGH,HIGH,,NORMAL,HIGH
False,HIGH,,True,HIGH,False,,False,HIGH,NORMAL,False,HIGH,False,False,NORMAL,LOW,False,,NORMAL,,LOW,NORMAL,False,,NORMAL,LOW,True,NORMAL,ZERO,ZERO,,,LOW,HIGH,,HIGH,
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,,False,LOW,LOW,,LOW,HIGH,LOW,HIGH,,,
False,,LOW,False,LOW,False,NORMAL,False,HIGH,NORMAL,True,,False,False,,LOW,False,ZERO,,LOW,LOW,NORMAL,False,NORMAL,NORMAL,,False,NORMAL,NORMAL,LOW,ZERO,ZERO,,HIGH,HIGH,HIGH,
False,NORMAL,NORMAL,False,,False,NORMAL,True,,,False,,False,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,,HIGH,False,NORMAL,NORMAL,,ZERO,ZERO,HIGH,HIGH,HIGH,,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,,HIGH,False,HIGH,False,False,,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,,NORMAL,NORMAL,False,NORMAL,,LOW,ZERO,,HIGH,HIGH,HIGH,,LOW
False,,,False,,False,LOW,False,HIGH,NORMAL,True,NORMAL,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,,NORMAL,HIGH,HIGH,HIGH,LOW,LOW
False,HIGH,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,,LOW,HIGH,True,HIGH,,HIGH,False,,NORMAL,,ZERO,,HIGH,HIGH,HIGH,LOW,
False,,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,,False,False,,LOW,False,,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,,False,NORMAL,NORMAL,LOW,ZERO,ZERO,,,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,LOW,LOW,False,LOW,False,False,NORMAL,,True,ZERO,,LOW,LOW,NORMAL,False,NORMAL,NORMAL,ZERO,False,NORMAL,,ZERO,,ZERO,HIGH,HIGH,NORMAL,NORMAL,
False,,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,HIGH,LOW,False,ZERO,NORMAL,,,,False,NORMAL,,,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,,False,NORMAL,False,NORMAL,False,LOW,LOW,False,LOW,False,False,HIGH,LOW,False,NORMAL,,,,HIGH,False,HIGH,ONESIDED,HIGH,False,NORMAL,,,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
False,NORMAL,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,,False,False,,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,,ZERO,LOW,HIGH,LOW,,HIGH,NORMAL,NORMAL
False,NORMAL,,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,True,ZERO,,LOW,LOW,HIGH,False,,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,,HIGH,,LOW
False,NORMAL,NORMAL,False,NORMAL,False,,False,,HIGH,False,,False,False,,,False,ZERO,,LOW,LOW,NORMAL,False,HIGH,ONESIDED,HIGH,False,NORMAL,NORMAL,LOW,,,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,,False,,,False,,False,False,HIGH,LOW,False,,NORMAL,HIGH,,NORMAL,False,NORMAL,NORMAL,LOW,False,,HIGH,,LOW,HIGH,,NORMAL,NORMAL,NORMAL,
False,NORMAL,NORMAL,False,NORMAL,False,,False,,HIGH,False,,False,False,NORMAL,ZERO,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,,,,HIGH,HIGH,,NORMAL
False,LOW,,False,NORMAL,False,NORMAL,True,NORMAL,HIGH,False,HIGH,True,False,HIGH,LOW,False,,,LOW,LOW,NORMAL,False,,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,,ZERO,,HIGH,,HIGH,HIGH
False,NORMAL,HIGH,True,HIGH,False,,False,LOW,,False,HIGH,False,False,HIGH,LOW,False,,,LOW,LOW,,False,NORMAL,NORMAL,,False,,NORMAL,LOW,ZERO,,,,HIGH,,HIGH
True,LOW,LOW,False,LOW,True,LOW,True,NORMAL,HIGH,False,HIGH,False,False,NORMAL,NORMAL,True,,,,,NORMAL,False,NORMAL,ONESIDED,NORMAL,False,NORMAL,NORMAL,NORMAL,,HIGH,,HIGH,HIGH,,HIGH
False,NORMAL,HIGH,True,HIGH,False,NORMAL,False,,HIGH,False,HIGH,False,False,NORMAL,,False,LOW,NORMAL,LOW,LOW,,False,NORMAL,NORMAL,LOW,False,NORMAL,,LOW,,,HIGH,HIGH,HIGH,,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,,False,LOW,LOW,False,LOW,True,False,HIGH,,False,,NORMAL,LOW,LOW,,False,NORMAL,,,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL,HIGH
False,NORMAL,,False,NORMAL,False,NORMAL,True,,HIGH,False,,True,False,,,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,,HIGH,HIGH,LOW
False,HIGH,HIGH,True,HIGH,False,LOW,False,,,False,HIGH,False,False,LOW,ZERO,False,ZERO,NORMAL,,LOW,LOW,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,,ZERO,HIGH,HIGH,HIGH,LOW,LOW
False,NORMAL,LOW,False,NORMAL,False,,False,,HIGH,False,HIGH,False,False,,LOW,False,ZERO,,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,True,NORMAL,NORMAL,ZERO,ZERO,ZERO,HIGH,HIGH,,HIGH,
False,NORMAL,NORMAL,False,,False,,False,HIGH,HIGH,False,,False,False,,NORMAL,False,LOW,NORMAL,LOW,HIGH,NORMAL,False,HIGH,ONESIDED,NORMAL,False,NORMAL,,,,,HIGH,,,HIGH,HIGH
False,,NORMAL,False,NORMAL,False,,False,HIGH,HIGH,False,,False,False,HIGH,LOW,False,ZERO,,LOW,,NORMAL,False,NORMAL,NORMAL,HIGH,True,NORMAL,,,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,HIGH,HIGH,True,HIGH,False,,True,NORMAL,,False,,False,False,LOW,,False,HIGH,NORMAL,HIGH,,,False,NORMAL,NORMAL,HIGH,False,NORMAL,LOW,,LOW,HIGH,LOW,,,,LOW
False,NORMAL,,False,NORMAL,False,NORMAL,False,HIGH,,False,HIGH,False,False,,LOW,False,,,,LOW,NORMAL,False,NORMAL,,LOW,False,NORMAL,NORMAL,,ZERO,ZERO,,,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,NORMAL,True,NORMAL,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,,NORMAL,False,,NORMAL,,False,NORMAL,NORMAL,LOW,,ZERO,HIGH,HIGH,HIGH,HIGH,
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,LOW,LOW,False,LOW,True,False,HIGH,LOW,False,,NORMAL,,,,False,NORMAL,NORMAL,NORMAL,False,NORMAL,,,ZERO,,HIGH,NORMAL,NORMAL,NORMAL,NORMAL
False,NORMAL,NORMAL,False,,False,NORMAL,False,,HIGH,False,HIGH,False,False,HIGH,LOW,False,ZERO,,,LOW,HIGH,False,,,,False,,NORMAL,LOW,ZERO,ZERO,HIGH,,,,HIGH
