node_i,node_j,p_value
Accident,Airbag,0.24508813648521813
Accident,AntiTheft,0.906814019565938
Accident,Antilock,0.3138517750549792
Accident,CarValue,0.08663500348425954
Accident,Cushioning,0.8374932207626918
Accident,DrivHist,0.5175140742191344
Accident,DrivQuality,0.25060271398104533
Accident,DrivingSkill,0.9447328719493462
Accident,HomeBase,0.19513950073165984
Accident,ILiCost,0.12790882611537766
Accident,MakeModel,0.10762561757433896
Accident,MedCost,0.0507421183516098
Accident,Mileage,0.07266044564793298
Accident,OtherCar,0.08005927035809952
Accident,OtherCarCost,3.313066586884391e-95
Accident,PropCost,0.2024152697491336
Accident,SeniorTrain,0.24815343979555946
Accident,Theft,0.6023264281098364
Accident,ThisCarCost,0.056676915941079195
Age,Accident,0.6673421542285098
Age,Airbag,0.09666340636558676
Age,AntiTheft,0.091333762962062
Age,Antilock,0.4673536746642559
Age,CarValue,0.12398369745537283
Age,Cushioning,0.9481316892336931
Age,DrivHist,0.7147489501547478
Age,DrivQuality,0.6985596699713408
Age,DrivingSkill,0.08351838766421721
Age,HomeBase,0.8546620151089559
Age,ILiCost,0.18608590093925395
Age,MakeModel,0.23332140189599457
Age,MedCost,0.10885420841780698
Age,Mileage,0.32137054511014373
Age,OtherCar,0.9567517296768587
Age,OtherCarCost,0.822778433745169
Age,PropCost,0.4641347587802348
Age,RiskAversion,2.412644009149475e-19
Age,RuggedAuto,0.6899892594629449
Age,SeniorTrain,9.741935677422646e-102
Age,SocioEcon,1.835231922333868e-08
Age,Theft,0.32531184560737364
Age,ThisCarCost,0.27310890832746126
Age,ThisCarDam,0.7211611643764231
Age,VehicleYear,0.1579121732945959
Airbag,DrivHist,0.49819489398330985
Airbag,ILiCost,0.22429465298283105
AntiTheft,Airbag,0.5863111102792573
AntiTheft,Cushioning,0.14313070221581828
AntiTheft,DrivHist,0.3469675692221156
AntiTheft,ILiCost,0.2383130400490211
AntiTheft,MedCost,0.06268958331437066
AntiTheft,OtherCar,0.25734439646501917
AntiTheft,OtherCarCost,0.6194603035889037
AntiTheft,PropCost,0.45836607935024665
Antilock,Airbag,0.537954841310452
Antilock,AntiTheft,0.9779296140559308
Antilock,CarValue,0.11542555509585258
Antilock,Cushioning,0.10251523283009024
Antilock,DrivHist,0.9401009699177482
Antilock,DrivingSkill,0.239769697366512
Antilock,HomeBase,0.6358681778450377
Antilock,ILiCost,0.060601193863378144
Antilock,MedCost,0.37182601881821964
Antilock,OtherCar,0.12910753368688385
Antilock,OtherCarCost,0.05967303726087378
Antilock,PropCost,0.09408452395710061
Antilock,SeniorTrain,0.24609805319417355
Antilock,Theft,0.6872929985133758
Antilock,ThisCarCost,0.10286401582792344
CarValue,Airbag,0.15659307522398797
CarValue,AntiTheft,0.5436780472235333
CarValue,Cushioning,0.05934237524486108
CarValue,DrivHist,0.957681193671294
CarValue,HomeBase,0.9649563992687985
CarValue,ILiCost,0.45467763135913264
CarValue,MedCost,0.41387450639089035
CarValue,OtherCar,0.4635034694750756
CarValue,OtherCarCost,0.5213381986566807
CarValue,PropCost,0.056573696796665233
Cushioning,Airbag,6.764231195557799e-96
Cushioning,DrivHist,0.591139411256719
