node_i,node_j,condition,p_value
GoodStudent,Age,,2.8092558069391248e-182
GoodStudent,SocioEcon,,4.283199044464921e-29
GoodStudent,RiskAversion,,2.382933548940275e-12
GoodStudent,VehicleYear,,1.394657007348096e-08
GoodStudent,ThisCarDam,,0.6969097109499427
GoodStudent,RuggedAuto,,0.030097884038606814
GoodStudent,Accident,,0.18070564266389455
GoodStudent,MakeModel,,4.305351903550412e-14
GoodStudent,DrivQuality,,0.00020670632101665745
GoodStudent,Mileage,,0.8455422178068018
GoodStudent,Antilock,,3.512323658051364e-12
GoodStudent,DrivingSkill,,0.14801257431142686
GoodStudent,SeniorTrain,,5.696309766406671e-06
GoodStudent,ThisCarCost,,5.631267920982083e-07
GoodStudent,Theft,,0.18638910031092987
GoodStudent,CarValue,,2.9485657957187184e-13
GoodStudent,HomeBase,,0.0010597206790784676
GoodStudent,AntiTheft,,0.9359223824967949
GoodStudent,PropCost,,0.06900913572304833
GoodStudent,OtherCarCost,,0.2250898814775348
GoodStudent,OtherCar,,0.0006290348052222265
GoodStudent,MedCost,,0.00021173348547052833
GoodStudent,Cushioning,,0.005088271299016012
GoodStudent,Airbag,,3.3245709234143643e-07
GoodStudent,ILiCost,,0.37886540290063303
GoodStudent,DrivHist,,0.015204873758675908
Age,SocioEcon,,9.507039456345591e-23
Age,RiskAversion,,7.220825270326904e-93
Age,VehicleYear,,0.24037135589445255
Age,ThisCarDam,,0.11457106996595606
Age,RuggedAuto,,0.09060589568564058
Age,Accident,,0.15430410410955922
Age,MakeModel,,2.2337094533280885e-05
Age,DrivQuality,,7.35024844154383e-21
Age,Mileage,,0.7302015427887136
Age,Antilock,,0.182004664267262
Age,DrivingSkill,,1.3137637167279885e-07
Age,SeniorTrain,,5.297673414865034e-186
Age,ThisCarCost,,0.5005131356371384
Age,Theft,,0.6006435307790058
Age,CarValue,,0.04267079436579973
Age,HomeBase,,4.929750689841975e-10
Age,AntiTheft,,5.368216824039988e-33
Age,PropCost,,0.31807251536312836
Age,OtherCarCost,,0.45072770202553647
Age,OtherCar,,0.7575891488975169
Age,MedCost,,3.8052133571260435e-11
Age,Cushioning,,0.21084947646667893
Age,Airbag,,0.292953974550143
Age,ILiCost,,0.7805670976967107
Age,DrivHist,,4.596852634175662e-12
SocioEcon,RiskAversion,,5.032648091881239e-13
SocioEcon,VehicleYear,,2.2812450138852938e-279
SocioEcon,ThisCarDam,,2.0312742312358663e-12
SocioEcon,RuggedAuto,,4.214018865026843e-148
SocioEcon,Accident,,2.6336170849254297e-09
SocioEcon,MakeModel,,0.0
SocioEcon,DrivQuality,,0.37339130609834453
SocioEcon,Mileage,,0.21237693620569983
SocioEcon,Antilock,,0.0
SocioEcon,DrivingSkill,,0.02486105816499698
SocioEcon,SeniorTrain,,0.0031693342059207256
SocioEcon,ThisCarCost,,1.1020562218249759e-222
SocioEcon,Theft,,0.036437171726729854
SocioEcon,CarValue,,0.0
SocioEcon,HomeBase,,0.0
SocioEcon,AntiTheft,,2.230114459400219e-133
SocioEcon,PropCost,,8.36209132961513e-33
SocioEcon,OtherCarCost,,7.350351179778304e-09
SocioEcon,OtherCar,,2.0822092984511355e-163
SocioEcon,MedCost,,9.327397934134106e-29
SocioEcon,Cushioning,,2.1577450560616873e-147
SocioEcon,Airbag,,5.556309292507022e-268
SocioEcon,ILiCost,,0.809975609044786
SocioEcon,DrivHist,,0.8238466216315612
RiskAversion,VehicleYear,,0.2675809909575935
RiskAversion,ThisCarDam,,0.3864634916816982
RiskAversion,RuggedAuto,,0.16118294154929755
RiskAversion,Accident,,0.45110423636359576
RiskAversion,MakeModel,,0.03935638609942448
RiskAversion,DrivQuality,,6.877020310449775e-24
RiskAversion,Mileage,,0.7111598956035439
RiskAversion,Antilock,,0.21783036286750315
RiskAversion,DrivingSkill,,1.8150578882858055e-108
RiskAversion,SeniorTrain,,2.635094790206571e-92
RiskAversion,ThisCarCost,,0.2800660453121947
RiskAversion,Theft,,0.13518511984882256
RiskAversion,CarValue,,0.44879636065733475
RiskAversion,HomeBase,,1.7851613670105823e-238
RiskAversion,AntiTheft,,0.0
RiskAversion,PropCost,,0.6131747365118909
RiskAversion,OtherCarCost,,0.9328946546869679
RiskAversion,OtherCar,,0.09584453517352011
RiskAversion,MedCost,,0.9745463541394347
RiskAversion,Cushioning,,0.16826831378444684
RiskAversion,Airbag,,0.2998825118850665
RiskAversion,ILiCost,,0.11234906780885222
RiskAversion,DrivHist,,1.5821976466818942e-106
VehicleYear,ThisCarDam,,5.655156174284585e-09
VehicleYear,RuggedAuto,,2.2360963137125814e-65
VehicleYear,Accident,,1.6900550973249607e-08
VehicleYear,MakeModel,,7.369974910531113e-127
VehicleYear,DrivQuality,,0.3448501114502351
VehicleYear,Mileage,,0.2023307834074989
VehicleYear,Antilock,,0.0
VehicleYear,DrivingSkill,,0.07887650373043392
VehicleYear,SeniorTrain,,0.9300956853918964
VehicleYear,ThisCarCost,,5.589241995109841e-281
VehicleYear,Theft,,0.007359721899986162
VehicleYear,CarValue,,0.0
VehicleYear,HomeBase,,3.04918945481006e-88
VehicleYear,AntiTheft,,1.89626853480877e-40
VehicleYear,PropCost,,5.05897002720144e-47
VehicleYear,OtherCarCost,,0.010909839834489449
VehicleYear,OtherCar,,6.376181873844768e-26
VehicleYear,MedCost,,1.2157848023642078e-30
VehicleYear,Cushioning,,1.4173114505067556e-172
VehicleYear,Airbag,,0.0
VehicleYear,ILiCost,,0.4005509800799064
VehicleYear,DrivHist,,0.6068872075606757
ThisCarDam,RuggedAuto,,2.453840568737597e-19
ThisCarDam,Accident,,0.0
ThisCarDam,MakeModel,,6.427022405089129e-18
ThisCarDam,DrivQuality,,5.072337456941355e-18
ThisCarDam,Mileage,,1.071193805487623e-16
ThisCarDam,Antilock,,1.0070268108884391e-26
ThisCarDam,DrivingSkill,,0.0001652976788736563
ThisCarDam,SeniorTrain,,0.049594924388330144
ThisCarDam,ThisCarCost,,0.0
ThisCarDam,Theft,,0.685739726982723
ThisCarDam,CarValue,,1.863234726292063e-15
ThisCarDam,HomeBase,,0.000450286084142366
ThisCarDam,AntiTheft,,0.00026159104343457146
ThisCarDam,PropCost,,0.0
ThisCarDam,OtherCarCost,,0.0
ThisCarDam,OtherCar,,0.0009156563362720289
ThisCarDam,MedCost,,1.2593028920793737e-201
