node_i,node_j,p_value
Accident,Airbag,0.34855130619123736
Accident,AntiTheft,0.7892465883134188
Accident,Antilock,0.14166335063302898
Accident,CarValue,0.07847458157202955
Accident,Cushioning,0.09657596797955345
Accident,DrivHist,0.3926631585860904
Accident,DrivQuality,0.9722051410290775
Accident,DrivingSkill,0.9851987067445293
Accident,HomeBase,0.28439594087665626
Accident,ILiCost,0.9203965096256196
Accident,MakeModel,0.1787953263617226
Accident,MedCost,0.08989521580280142
Accident,Mileage,0.053655687608768765
Accident,OtherCar,0.16954001952007572
Accident,OtherCarCost,2.9138362286668204e-34
Accident,PropCost,0.8546315462055323
Accident,SeniorTrain,0.19942841744176948
Accident,Theft,0.5434993634125505
Accident,ThisCarCost,0.18067256608304136
Age,Accident,0.7507526369572443
Age,Airbag,0.5046792032820957
Age,AntiTheft,0.24424264001002144
Age,Antilock,0.7096437460433143
Age,CarValue,0.7312894284936741
Age,Cushioning,0.6766197686343702
Age,DrivHist,0.37644747430537717
Age,DrivQuality,0.07441878132089455
Age,DrivingSkill,0.12993223752491284
Age,HomeBase,0.06862526725083568
Age,ILiCost,0.06810938840901165
Age,MakeModel,0.07418083289876645
Age,MedCost,0.7286028541649635
Age,Mileage,0.5531326580411502
Age,OtherCar,0.6884845232462836
Age,OtherCarCost,0.6014736682548879
Age,PropCost,0.18460208678860637
Age,RiskAversion,1.109824551022536e-05
Age,RuggedAuto,0.6178374890792891
Age,SeniorTrain,1.4424389759100362e-53
Age,SocioEcon,0.015364094145598597
Age,Theft,0.2872518625256491
Age,ThisCarCost,0.7006771758765832
Age,ThisCarDam,0.8570629323413346
Age,VehicleYear,0.3048503018060494
Airbag,DrivHist,0.22559003030827834
Airbag,ILiCost,0.8370445001784237
AntiTheft,Airbag,0.6480883160536001
AntiTheft,Cushioning,0.8749182082864562
AntiTheft,DrivHist,0.3264829511257565
AntiTheft,ILiCost,0.34623682805793127
AntiTheft,MedCost,0.2423762101301244
AntiTheft,OtherCar,0.14398096638395239
AntiTheft,OtherCarCost,0.4647494289396582
AntiTheft,PropCost,0.4317170026388859
Antilock,Airbag,0.270719890864447
Antilock,AntiTheft,0.22550063303846662
Antilock,CarValue,0.5250794368601992
Antilock,Cushioning,0.08547703550173577
Antilock,DrivHist,0.5061257531560717
Antilock,DrivingSkill,0.5966572679684766
Antilock,HomeBase,0.5907082010608546
Antilock,ILiCost,0.2149158124450235
Antilock,MedCost,0.1917423944692942
Antilock,OtherCar,0.22134280201276504
Antilock,OtherCarCost,0.19660308401963067
Antilock,PropCost,0.11801470928275229
Antilock,SeniorTrain,0.07452554339997329
Antilock,Theft,0.6081375023824467
Antilock,ThisCarCost,0.08271254918179409
CarValue,Airbag,0.1644215181962404
CarValue,AntiTheft,0.9351246563961775
CarValue,Cushioning,0.2033110476992651
CarValue,DrivHist,0.7576735858717027
CarValue,HomeBase,0.1315464667733659
CarValue,ILiCost,0.5384016254250596
CarValue,MedCost,0.4972412204777322
CarValue,OtherCar,0.7906405264771739
CarValue,OtherCarCost,0.24983436178220142
CarValue,PropCost,0.06440003585170889
Cushioning,Airbag,7.703748038080046e-75
Cushioning,DrivHist,0.7394963328832314
Cushioning,ILiCost,0.1266777560346133
DrivQuality,Airbag,0.24019935487938743
DrivQuality,AntiTheft,0.06074791163260288
