node_i,node_j,condition,p_value
GoodStudent,Age,,1.855312013223141e-114
GoodStudent,SocioEcon,,4.424306914608512e-25
GoodStudent,RiskAversion,,0.002281592898272243
GoodStudent,VehicleYear,,6.319714415058664e-14
GoodStudent,ThisCarDam,,0.19705403126814844
GoodStudent,RuggedAuto,,0.0178306941381865
GoodStudent,Accident,,0.6228503362961914
GoodStudent,MakeModel,,9.248960857533718e-11
GoodStudent,DrivQuality,,0.420800557340569
GoodStudent,Mileage,,0.5937639198426046
GoodStudent,Antilock,,7.235111786064892e-13
GoodStudent,DrivingSkill,,0.7354066366646436
GoodStudent,SeniorTrain,,0.002522102892412709
GoodStudent,ThisCarCost,,0.00016832448866201628
GoodStudent,Theft,,0.09810718847401365
GoodStudent,CarValue,,3.1211106648451328e-12
GoodStudent,HomeBase,,2.6447979018646122e-06
GoodStudent,AntiTheft,,0.18181660566010144
GoodStudent,PropCost,,0.16502491121176222
GoodStudent,OtherCarCost,,0.9229957871275147
GoodStudent,OtherCar,,9.283533856252537e-05
GoodStudent,MedCost,,0.04886246571310692
GoodStudent,Cushioning,,0.0007951600639996754
GoodStudent,Airbag,,7.1313082344760054e-09
GoodStudent,ILiCost,,0.3231454640010672
GoodStudent,DrivHist,,0.6892856021992768
Age,SocioEcon,,1.2878398675057857e-12
Age,RiskAversion,,1.9023155321437126e-30
Age,VehicleYear,,0.3048503018060494
Age,ThisCarDam,,0.8570629323413346
Age,RuggedAuto,,0.6178374890792891
Age,Accident,,0.7507526369572443
Age,MakeModel,,0.003989253046732289
Age,DrivQuality,,3.960123101454086e-06
Age,Mileage,,0.5531326580411502
Age,Antilock,,0.039402175163569426
Age,DrivingSkill,,0.004319290312383139
Age,SeniorTrain,,1.5645000832955848e-100
Age,ThisCarCost,,0.7006771758765832
Age,Theft,,0.2872518625256491
Age,CarValue,,0.7312894284936741
Age,HomeBase,,0.004964845467858174
Age,AntiTheft,,3.485112944130013e-13
Age,PropCost,,0.18460208678860637
Age,OtherCarCost,,0.6014736682548879
Age,OtherCar,,0.6884845232462836
Age,MedCost,,5.895858761611745e-05
Age,Cushioning,,0.6766197686343702
Age,Airbag,,0.5046792032820957
Age,ILiCost,,0.06810938840901165
Age,DrivHist,,1.211034392848135e-08
SocioEcon,RiskAversion,,1.594536601323223e-11
SocioEcon,VehicleYear,,1.1458624512702857e-187
SocioEcon,ThisCarDam,,5.481705852237965e-08
SocioEcon,RuggedAuto,,2.0520058911195935e-82
SocioEcon,Accident,,0.0005273342765393092
SocioEcon,MakeModel,,0.0
SocioEcon,DrivQuality,,0.07516294529019504
SocioEcon,Mileage,,0.7128608495688898
SocioEcon,Antilock,,3.602675198186139e-197
SocioEcon,DrivingSkill,,0.03301530303301599
SocioEcon,SeniorTrain,,0.057766320993331746
SocioEcon,ThisCarCost,,9.796850122232364e-133
SocioEcon,Theft,,0.28247858678207927
