GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
False,Senior,Prole,,Older,,EggShell,,Economy,Normal,FiftyThou,False,,True,Thousand,False,FiveThou,City,True,Thousand,Thousand,True,Thousand,Poor,False,Thousand,Zero
False,Adult,Middle,Adventurous,Older,,EggShell,,Economy,Normal,FiftyThou,False,Normal,False,Thousand,False,FiveThou,Suburb,False,Thousand,Thousand,True,Thousand,Poor,False,Thousand,Zero
False,Adolescent,UpperMiddle,Cautious,Current,,Football,,FamilySedan,Poor,TwentyThou,True,SubStandard,False,Thousand,False,TenThou,Secure,True,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,
False,Adolescent,Prole,Adventurous,Older,,EggShell,,Economy,Excellent,FiftyThou,False,Normal,False,Thousand,False,FiveThou,City,False,TenThou,Thousand,True,Thousand,Poor,False,Thousand,Zero
False,Senior,UpperMiddle,Cautious,Older,,EggShell,,SportsCar,Excellent,FiftyThou,True,Expert,True,Thousand,False,FiveThou,Secure,True,Thousand,Thousand,True,Thousand,Fair,False,Thousand,Zero
False,Senior,Prole,Adventurous,Older,,EggShell,,Economy,Poor,,False,SubStandard,False,Thousand,False,TenThou,City,False,Thousand,Thousand,True,Thousand,Poor,False,Thousand,Many
False,Adult,Prole,Normal,Current,Mild,Football,Mild,Economy,Normal,FiftyThou,False,Normal,False,Thousand,False,TwentyThou,City,False,Thousand,Thousand,False,Thousand,Good,True,Thousand,Zero
False,Adolescent,,Adventurous,Older,Mild,EggShell,Mild,Economy,Poor,TwentyThou,False,Normal,False,Thousand,False,FiveThou,City,False,Thousand,Thousand,True,Thousand,Poor,False,Thousand,Zero
False,Adult,UpperMiddle,Normal,Current,,EggShell,,SportsCar,Normal,FiftyThou,True,Normal,False,Thousand,False,,Secure,True,Thousand,Thousand,True,Thousand,,True,Thousand,Zero
False,Senior,Prole,Normal,Older,,EggShell,,Economy,Normal,TwentyThou,False,Normal,True,Thousand,False,,Rural,False,TenThou,Thousand,False,Thousand,Fair,False,Thousand,One
